timestamp,accX,accY,accZ
58651932324000,0.84,5.05,8.54
58651982311000,0.93,5.13,8.47
58652032330000,0.69,4.94,8.43
58652082348000,0.65,5.01,8.62
58652132305000,0.93,5.01,8.54
58652182324000,0.72,5.05,8.5
58652232342000,0.69,5.09,8.66
58652282330000,0.57,5.24,8.73
58652332348000,0.61,5.18,8.62
58652382336000,1.04,5.37,8.39
58652432293000,1.23,5.24,8.39
58652482342000,1.08,5.13,8.35
58652532330000,1.23,5.24,8.28
58652582317000,0.95,5.24,8.62
58652632305000,0.76,5.22,8.62
58652682324000,1.12,5.33,8.43
58652732311000,1.31,5.33,8.28
58652782299000,1.46,5.33,8.24
58652832348000,1.33,5.28,8.31
58652882336000,1.14,5.18,8.5
58652932324000,1.08,5.09,8.54
58652982342000,0.84,5.05,8.58
58653032299000,1.04,5.05,8.5
58653082348000,0.95,5.18,8.66
58653150341000,0.65,5.18,8.54
58653202282000,0.76,5.01,8.69
58653252300000,0.8,4.94,8.66
58653252300000,0.8,4.94,8.66
58653312328000,0.84,4.9,8.66
58653362316000,0.5,4.9,8.73
58653412304000,0.15,4.9,8.81
58653462322000,0.08,4.82,8.92
58653512371000,0.27,4.79,8.77
58653562328000,0.46,4.82,8.85
58653612316000,0.46,4.9,8.77
58653662304000,0.42,4.9,8.69
58653712292000,0.5,4.9,8.73
58653762341000,0.61,4.75,8.66
58653812328000,0.38,4.9,8.77
58653862347000,0.31,4.9,8.62
58653912304000,0.53,4.9,8.69
58653962322000,0.5,4.94,8.73
58654012249000,0.5,4.94,8.62
58654062328000,0.65,4.99,8.69
58654112347000,0.5,4.86,8.66
58654162335000,0.31,4.9,8.69
58654212292000,0.57,4.86,8.69
58654262341000,0.46,4.82,8.77
58654312298000,0.42,4.86,8.77
58654362347000,0.5,4.79,8.73
58654412335000,0.42,4.75,8.77
58654462353000,0.38,4.71,8.81
58654512341000,0.34,4.79,8.85
58654562359000,0.31,4.82,8.81
58654612316000,0.5,4.82,8.77
58654662335000,0.5,4.75,8.81
58654712322000,0.34,4.67,8.85
58654762341000,0.38,4.63,8.89
58654812328000,0.19,4.75,8.77
58654862316000,0.38,4.75,8.73
58654912335000,0.46,4.79,8.85
58654962322000,0.38,4.79,8.73
58655012280000,0.57,4.82,8.77
58655062298000,0.61,4.82,8.69
58655112347000,0.42,4.75,8.77
58655162335000,0.27,4.71,8.85
58655212322000,0.31,4.71,8.89
58655262310000,0.38,4.79,8.77
58655312328000,0.46,4.82,8.81
58655362316000,0.5,4.82,8.73
58655412335000,0.57,4.75,8.77
58655462322000,0.42,4.82,8.81
58655512310000,0.46,4.82,8.81
58655562328000,0.61,4.86,8.66
58655612316000,0.69,4.86,8.62
58655662335000,0.61,4.67,8.69
58655712292000,0.57,4.75,8.69
58655762341000,0.5,4.79,8.77
58655812298000,0.53,4.86,8.77
58655862347000,0.5,4.79,8.77
58655912304000,0.53,4.75,8.77
