timestamp,X (mg),Y (mg),Z (mg)
0,-381,-853,-1
16,-498,-862,-13
32,-488,-855,28
48,-310,-1104,134
64,-340,-1172,222
80,-397,-1514,-211
96,-579,-1236,56
112,-196,-891,-140
128,-258,-910,-103
144,-286,-825,7
160,-233,-822,-55
176,-261,-784,-103
192,-294,-802,-18
208,-343,-818,9
224,-226,-942,6
240,-223,-938,-7
256,-314,-954,-66
272,-307,-975,-98
288,-231,-1052,-106
304,-353,-1255,47
320,-181,-1073,194
336,-321,-1237,66
352,-596,-1234,296
368,-76,-843,-17
384,-304,-826,38
400,-440,-773,152
416,-248,-777,54
432,-356,-794,-85
448,-334,-800,-5
464,-370,-861,11
480,-455,-913,75
496,-495,-930,52
512,-459,-858,28
528,-336,-1109,127
544,-415,-1159,235
560,-218,-1486,-93
576,-758,-1239,-174
592,-227,-892,-31
608,-198,-742,-129
624,-218,-739,-22
640,-158,-746,-41
656,-287,-751,-33
672,-216,-746,-62
688,-262,-929,-44
704,-308,-1002,-24
720,-304,-882,-132
736,-294,-1117,-107
752,-245,-1287,382
768,-242,-1406,96
784,-728,-1338,232
800,-108,-844,-39
816,-242,-729,-33
832,-341,-807,351
848,-345,-761,37
864,-361,-690,-78
880,-400,-736,-90
896,-489,-859,-6
912,-508,-864,-8
928,-429,-850,-53
944,-326,-924,118
960,-90,-1201,187
976,-370,-1448,-72
992,-667,-1342,-213
1008,-389,-1014,-4
1024,-216,-828,-112
1040,-329,-721,-65
1056,-204,-638,-59
1072,-209,-744,-160
1088,-358,-823,-38
1104,-256,-909,78
1120,-274,-984,-63
1136,-264,-951,-108
1152,-251,-943,-153
1168,-270,-1284,166
1184,-159,-1295,321
1200,-577,-1585,89
1216,-515,-1090,8
1232,-206,-808,-105
1248,-420,-789,208
1264,-256,-773,237
1280,-319,-753,82
1296,-343,-709,-172
1312,-414,-771,-20
1328,-453,-795,8
1344,-486,-864,-71
1360,-506,-828,-24
1376,-459,-1019,18
1392,-500,-1224,294
1408,-282,-1337,-52
1424,-747,-1425,-157
1440,-397,-1011,53
1456,-110,-744,-95
1472,-267,-623,-129
1488,-242,-576,-13
1504,-201,-726,-53
1520,-269,-743,24
1536,-268,-904,66
1552,-383,-977,-115
1568,-380,-883,-248
1584,-231,-1377,85
1600,-303,-1315,361
1616,-411,-1612,100
1632,-422,-1033,-130
1648,-221,-851,-42
1664,-360,-754,231
1680,-210,-786,129
1696,-358,-704,148
1712,-350,-784,-130
1728,-358,-729,-38
1744,-416,-799,-64
1760,-491,-874,35
1776,-443,-861,5
1792,-420,-970,45
1808,-319,-1225,240
1824,-366,-1375,-76
1840,-838,-1378,-49
1856,-462,-1031,-9
1872,-247,-830,-131
1888,-304,-768,-71
1904,-289,-666,19
1920,-233,-700,-69
1936,-356,-720,-87
1952,-246,-819,-59
1968,-298,-1007,58
1984,-368,-932,-58
2000,-360,-880,-124
2016,-467,-1138,-158
2032,-266,-1368,308
2048,-182,-1179,221
2064,-694,-1224,35
2080,-429,-1076,62
2096,-296,-939,42
2112,-306,-847,206
2128,-322,-869,79
2144,-387,-790,94
2160,-407,-846,163
2176,-264,-648,-87
2192,-328,-738,-4
2208,-447,-762,-37
2224,-436,-839,2
2240,-455,-756,-31
2256,-294,-1174,65
2272,-489,-1344,363
2288,-173,-1579,-34
2304,-712,-1273,-15
2320,-290,-943,-33
2336,-194,-851,-69
2352,-266,-711,29
2368,-225,-685,-34
2384,-311,-664,-137
2400,-305,-687,-63
2416,-205,-776,-122
2432,-319,-1087,56
2448,-297,-936,-61
2464,-460,-852,-232
2480,-377,-978,-202
2496,-264,-1344,425
2512,-225,-1499,229
2528,-843,-1126,240
2544,-195,-822,-200
2560,-296,-779,38
2576,-413,-898,225
2592,-438,-909,35
2608,-325,-774,143
2624,-250,-545,-95
2640,-381,-700,-101
2656,-469,-830,44
2672,-383,-868,21
2688,-520,-813,-115
2704,-516,-766,-2
2720,-338,-1069,65
2736,-527,-1224,177
2752,-394,-1516,-181
2768,-856,-1366,-160
2784,-271,-922,70
2800,-180,-718,-106
2816,-276,-665,-68
2832,-227,-645,23
2848,-253,-734,-116
2864,-288,-819,-27
2880,-214,-931,107
2896,-361,-892,-178
2912,-394,-805,-235
2928,-354,-834,-269
2944,-426,-1534,323
2960,-115,-1564,269
2976,-619,-1131,216
2992,-79,-1017,52
3008,-411,-832,256
3024,-448,-703,17
3040,-476,-859,-17
3056,-408,-879,206
3072,-221,-750,27
3088,-297,-780,-73
3104,-603,-854,176
3120,-362,-814,14
3136,-576,-851,-92
3152,-530,-725,-9
3168,-533,-973,14
3184,-329,-1208,302
3200,-108,-1601,-85
3216,-777,-1205,-166
3232,-325,-882,-57
3248,-274,-814,-151
3264,-339,-783,-103
3280,-257,-786,-55
3296,-288,-789,-121
3312,-372,-754,-78
3328,-251,-740,9
3344,-294,-834,-21
3360,-396,-807,-128
3376,-405,-835,-125
3392,-404,-967,-202
3408,-419,-1644,176
3424,-40,-1138,219
3440,-451,-1539,-150
3456,-1026,-948,551
3472,94,-831,-177
3488,-477,-807,-41
3504,-508,-916,269
3520,-405,-976,110
3536,-359,-973,132
3552,-414,-932,160
3568,-411,-892,26
3584,-436,-895,70
3600,-439,-907,105
0,-165,-1002,260
16,-165,-969,258
32,-152,-921,313
48,54,-978,364
64,328,-1100,505
80,146,-1262,10
96,-288,-1485,281
112,34,-907,362
128,267,-813,-285
144,21,-855,186
160,75,-886,180
176,41,-857,98
192,-81,-814,137
208,-23,-760,111
224,-24,-861,7
240,-61,-976,287
256,15,-931,251
