timestamp,X (mg),Y (mg),Z (mg)
0,301,-918,-285
16,297,-914,-287
32,302,-911,-297
48,327,-909,-286
64,339,-917,-297
80,314,-915,-325
96,230,-854,-321
112,175,-889,-257
128,319,-1038,-124
144,539,-1025,-161
160,316,-939,-243
176,128,-903,-203
192,243,-957,-203
208,325,-898,-155
224,328,-887,-144
240,373,-865,-112
256,362,-917,-160
272,296,-1015,-138
288,513,-1008,-27
304,493,-1143,-360
320,-197,-1137,-692
336,78,-894,-551
352,347,-834,-608
368,-20,-915,-428
384,90,-734,-262
400,319,-663,-356
416,254,-795,-357
432,286,-852,-323
448,277,-926,-439
464,187,-1001,-191
480,416,-1070,-340
496,-65,-1111,-851
512,-56,-1214,-475
528,101,-1308,-378
544,600,-916,-386
560,239,-588,-246
576,-43,-444,-185
592,133,-526,-162
608,213,-840,-421
624,307,-1113,-299
640,624,-934,-250
656,169,-655,-410
672,-354,-667,-615
688,323,-1156,-1011
704,195,-1593,-416
720,657,-1168,-422
736,620,-990,-256
752,383,-848,-174
768,179,-260,-94
784,-214,-38,-244
800,-299,-221,201
816,158,-1567,-1291
832,-202,-1694,466
848,742,-1115,-828
864,48,-1133,-102
880,96,-11,-471
896,-248,41,363
912,-127,-104,159
928,-51,-1215,-1996
944,1421,-1493,-885
960,528,-1844,-286
976,216,-1133,-352
992,266,-768,-222
1008,88,-173,-129
1024,-237,0,-15
1040,148,-207,72
1056,-219,-1387,-1393
1072,-523,-1929,232
1088,1083,-1182,-836
1104,293,-1181,-64
1120,-127,-303,-348
1136,-122,-198,89
1152,-177,-6,-75
1168,-375,-934,-696
1184,655,-1300,-245
1200,543,-1847,-485
1216,485,-1127,-290
1232,159,-1104,-310
1248,221,-650,-383
1264,184,133,-51
1280,-135,37,48
1296,-9,-669,-50
1312,677,-1998,-1030
1328,1492,-1104,-597
1344,733,-1088,112
1360,44,-838,-386
1376,-5,-322,-272
1392,27,-170,50
1408,-35,-325,69
1424,-703,-1465,-1753
1440,982,-1335,-574
1456,489,-1515,-1042
1472,345,-1209,-94
1488,384,-944,-351
1504,350,-428,-37
1520,0,72,-121
1536,-233,38,48
1552,-624,-1399,-1321
1568,-584,-1998,-924
1584,1996,-989,-692
1600,183,-1121,573
1616,-113,-760,-527
1632,198,-89,-163
1648,-6,-120,153
1664,-77,-652,-256
1680,-88,-1037,-1627
1696,576,-1732,-301
1712,745,-1437,-670
1728,10,-1159,-261
1744,435,-782,-320
1760,308,-132,-56
1776,-97,39,-127
1792,-192,-654,-100
1808,471,-1680,-787
1824,-38,-1927,-208
1840,570,-1235,-411
1856,77,-989,-328
1872,119,-153,-264
1888,-261,-29,195
1904,50,-287,-186
1920,-390,-1915,-1667
1936,1066,-1477,-703
1952,918,-1561,-399
1968,47,-1196,-65
1984,203,-908,-432
2000,119,-163,-79
2016,-104,7,-47
2032,-140,-320,-119
2048,195,-1556,-1214
2064,-69,-1945,-155
2080,975,-1374,-747
2096,117,-1057,-301
2112,272,10,-222
2128,-473,-149,99
2144,-123,-245,-220
2160,-45,-1983,-1155
2176,1289,-1021,-1452
2192,762,-1691,-179
2208,268,-1071,-216
2224,114,-1063,-342
2240,165,-146,-53
2256,-142,-28,-204
2272,-52,-132,188
2288,152,-1323,-1243
2304,-771,-1998,-508
2320,1040,-1335,-638
2336,217,-1109,-37
2352,123,-252,-242
2368,-381,-137,36
2384,-119,-200,-254
2400,-257,-1973,-1221
2416,1388,-984,-1173
2432,510,-1625,-274
2448,81,-1221,-360
2464,236,-942,-423
2480,133,-353,-51
2496,24,148,-43
2512,-157,-31,21
2528,-394,-1375,-1388
2544,-821,-1998,-944
2560,1449,-1136,-803
2576,-232,-1193,-276
2592,1865,-580,635
2608,-166,-110,-369
2624,-174,-41,250
2640,20,-758,-139
