timestamp,X (mg),Y (mg),Z (mg)
0,-811,-350,-482
16,-808,-357,-474
32,-806,-354,-478
48,-808,-354,-481
64,-805,-352,-485
80,-807,-350,-488
96,-806,-350,-484
112,-804,-351,-487
128,-806,-353,-482
144,-807,-350,-483
160,-806,-348,-490
176,-804,-354,-478
192,-805,-352,-486
208,-809,-348,-485
224,-804,-348,-488
240,-808,-348,-479
256,-802,-349,-486
272,-807,-347,-489
288,-804,-345,-490
304,-805,-347,-487
320,-806,-347,-486
336,-805,-349,-485
352,-807,-347,-484
368,-805,-347,-485
384,-807,-349,-484
400,-809,-347,-483
416,-806,-350,-477
432,-810,-348,-480
448,-808,-348,-481
464,-814,-350,-479
480,-809,-356,-472
496,-809,-348,-477
512,-805,-345,-488
528,-803,-353,-489
544,-803,-352,-492
560,-810,-351,-476
576,-811,-352,-478
592,-809,-349,-477
608,-808,-354,-479
624,-807,-353,-480
640,-805,-353,-483
656,-805,-352,-482
672,-809,-349,-483
688,-808,-350,-481
704,-811,-348,-480
720,-804,-350,-482
736,-811,-351,-487
752,-799,-351,-487
768,-806,-347,-484
784,-807,-348,-488
800,-804,-347,-489
816,-805,-347,-487
832,-804,-347,-488
848,-804,-346,-489
864,-803,-344,-492
880,-803,-347,-491
896,-805,-346,-489
912,-803,-343,-495
928,-804,-345,-489
944,-803,-344,-495
960,-804,-345,-492
976,-803,-344,-494
992,-804,-344,-489
1008,-804,-342,-496
1024,-805,-348,-482
1040,-805,-345,-494
1056,-806,-342,-494
1072,-800,-344,-496
1088,-802,-344,-490
1104,-805,-345,-490
1120,-803,-345,-495
1136,-803,-342,-492
1152,-804,-343,-492
1168,-807,-345,-488
1184,-804,-345,-489
1200,-804,-344,-490
1216,-804,-344,-490
1232,-805,-347,-486
1248,-806,-346,-486
1264,-805,-347,-484
1280,-808,-344,-490
1296,-809,-343,-490
1312,-808,-348,-481
1328,-805,-345,-493
1344,-809,-345,-482
1360,-805,-345,-489
1376,-776,-346,-483
1392,-802,-345,-489
1408,-803,-346,-491
1424,-805,-347,-487
1440,-807,-347,-486
1456,-805,-347,-487
1472,-806,-348,-486
1488,-806,-347,-482
1504,-805,-348,-487
1520,-804,-349,-488
1536,-804,-349,-487
