timestamp,X (mg),Y (mg),Z (mg)
0,-382,-930,49
16,-376,-942,68
32,-380,-950,66
48,-364,-949,61
64,-376,-946,43
80,-382,-945,56
96,-370,-953,46
112,-358,-952,56
128,-369,-940,42
144,-381,-925,21
160,-396,-946,39
176,-358,-953,42
192,-360,-956,41
208,-363,-950,29
224,-363,-949,37
240,-365,-947,34
256,-368,-941,33
272,-361,-950,39
288,-371,-951,40
304,-371,-950,49
320,-365,-948,51
336,-365,-946,56
352,-373,-947,51
368,-368,-948,56
384,-371,-944,56
400,-366,-946,58
416,-363,-945,57
432,-360,-948,54
448,-363,-951,51
464,-360,-949,46
480,-364,-949,44
496,-359,-953,32
512,-361,-948,40
528,-372,-947,-6
544,-362,-950,23
560,-340,-948,-18
576,-363,-945,0
592,-359,-952,28
608,-364,-951,26
624,-361,-947,25
640,-362,-946,19
656,-363,-948,21
672,-361,-950,16
688,-359,-948,18
704,-361,-947,13
720,-356,-950,20
736,-354,-951,18
752,-359,-953,23
768,-357,-955,19
784,-352,-958,25
800,-351,-961,28
816,-365,-954,23
832,-361,-942,30
848,-358,-939,33
864,-343,-948,50
880,-347,-949,36
896,-347,-947,42
912,-359,-948,38
928,-366,-950,36
944,-363,-940,30
960,-372,-954,26
976,-363,-949,43
992,-366,-960,43
1008,-359,-954,44
1024,-359,-947,44
1040,-368,-947,34
1056,-371,-947,40
1072,-370,-947,41
1088,-365,-956,52
1104,-358,-947,50
1120,-365,-948,49
1136,-363,-942,50
1152,-380,-946,42
1168,-383,-933,49
1184,-376,-941,54
1200,-358,-945,65
1216,-373,-939,66
1232,-367,-943,62
1248,-362,-938,64
1264,-370,-937,57
1280,-370,-941,55
1296,-365,-953,58
1312,-371,-957,60
1328,-379,-957,54
1344,-379,-950,46
1360,-382,-943,43
1376,-362,-940,40
1392,-361,-942,42
1408,-363,-943,40
1424,-360,-949,30
1440,-351,-954,39
1456,-342,-959,21
1472,-348,-960,20
1488,-348,-962,20
1504,-346,-960,7
1520,-345,-954,1
1536,-343,-954,13
1552,-337,-947,-78
1568,-334,-958,22
1584,-332,-961,27
1600,-332,-971,36
1616,-329,-968,46
1632,-337,-953,30
1648,-337,-961,45
1664,-333,-960,42
1680,-340,-955,38
1696,-345,-952,38
1712,-352,-954,36
1728,-355,-948,44
1744,-358,-948,29
1760,-364,-952,30
1776,-361,-948,29
1792,-371,-944,31
1808,-371,-951,30
1824,-367,-948,22
1840,-370,-953,14
1856,-377,-949,26
1872,-380,-941,9
1888,-380,-936,17
1904,-389,-935,13
1920,-389,-931,25
1936,-382,-938,34
1952,-388,-938,30
1968,-391,-929,37
1984,-398,-929,31
2000,-393,-934,31
2016,-385,-947,47
2032,-379,-943,46
2048,-360,-952,49
2064,-365,-947,41
2080,-351,-953,36
2096,-338,-966,37
2112,-342,-960,34
2128,-342,-965,45
2144,-355,-948,25
2160,-346,-957,30
2176,-337,-957,-11
2192,-354,-959,29
2208,-351,-958,27
2224,-356,-952,5
2240,-352,-949,23
2256,-346,-963,22
2272,-345,-957,13
2288,-353,-954,5
2304,-338,-952,13
2320,-354,-953,10
2336,-365,-943,3
2352,-367,-947,19
2368,-366,-943,8
2384,-343,-947,18
2400,-365,-944,22
2416,-368,-940,19
2432,-346,-956,31
2448,-352,-953,37
2464,-353,-953,28
2480,-342,-960,46
2496,-351,-963,37
2512,-361,-955,39
2528,-343,-950,40
2544,-355,-954,48
2560,-357,-954,54
2576,-363,-947,40
2592,-364,-944,39
2608,-358,-949,42
2624,-355,-949,45
2640,-360,-947,41
2656,-356,-950,47
2672,-347,-961,45
2688,-345,-967,47
2704,-342,-961,35
2720,-344,-954,29
2736,-348,-954,29
2752,-342,-954,20
2768,-340,-959,28
2784,-347,-953,24
2800,-345,-955,19
2816,-353,-950,38
2832,-358,-952,39
2848,-378,-945,25
2864,-375,-946,17
2880,-368,-947,34
2896,-370,-946,24
2912,-364,-947,20
2928,-369,-949,24
2944,-375,-947,29
2960,-364,-951,29
2976,-376,-948,27
2992,-366,-946,15
3008,-364,-953,23
3024,-366,-953,12
3040,-364,-939,15
3056,-357,-942,17
3072,-360,-953,22
3088,-358,-951,22
3104,-359,-954,19
3120,-364,-946,10
3136,-365,-942,11
3152,-353,-943,4
3168,-359,-951,38
3184,-352,-955,29
3200,-366,-950,25
3216,-363,-946,24
3232,-362,-949,33
3248,-365,-946,29
3264,-363,-949,34
3280,-359,-950,32
3296,-365,-950,37
3312,-369,-950,36
3328,-363,-947,49
3344,-369,-957,55
3360,-362,-948,36
3376,-374,-950,21
3392,-375,-945,30
3408,-389,-942,24
3424,-345,-952,53
3440,-333,-967,58
3456,-341,-954,38
3472,-338,-948,43
3488,-347,-954,43
3504,-349,-949,35
3520,-336,-962,58
3536,-360,-943,24
3552,-372,-945,19
3568,-367,-946,22
3584,-351,-947,20
3600,-357,-951,25
3616,-362,-953,11
3632,-352,-948,8
3648,-364,-947,11
3664,-366,-952,10
3680,-357,-952,0
3696,-363,-952,23
3712,-360,-949,16
3728,-350,-953,18
3744,-358,-945,20
3760,-378,-953,18
3776,-378,-951,28
3792,-370,-945,40
