timestamp,X (mg),Y (mg),Z (mg)
2085888.0,-469.0,-626.0,-231.0
2085940.0,-581.0,-638.0,-135.0
2086001.0,-604.0,-667.0,-173.0
2086029.0,-786.0,-883.0,-208.0
2086090.0,-770.0,-980.0,-279.0
2086150.0,-1200.0,-883.0,-309.0
2086180.0,-781.0,-627.0,-366.0
2086240.0,-881.0,-436.0,-616.0
2086300.0,-792.0,-426.0,-312.0
2086329.0,-589.0,-455.0,-212.0
2086389.0,-392.0,-508.0,-225.0
2086449.0,-448.0,-607.0,-182.0
2086480.0,-662.0,-691.0,-207.0
2086540.0,-669.0,-713.0,-257.0
2086599.0,-588.0,-704.0,-226.0
2086629.0,-629.0,-765.0,-377.0
2086690.0,-1036.0,-742.0,-560.0
2086749.0,-886.0,-828.0,-343.0
2086780.0,-666.0,-798.0,-679.0
2086840.0,-601.0,-726.0,-698.0
2086900.0,-828.0,-804.0,-702.0
2086929.0,-786.0,-564.0,-533.0
2086989.0,-711.0,-395.0,-59.0
2087049.0,-471.0,-459.0,-254.0
2087080.0,-442.0,-623.0,-221.0
2087140.0,-465.0,-714.0,-38.0
2087200.0,-409.0,-774.0,-58.0
2087230.0,-631.0,-897.0,-53.0
2087290.0,-704.0,-911.0,32.0
2087350.0,-1077.0,-867.0,-21.0
2087380.0,-843.0,-663.0,-274.0
2087440.0,-959.0,-676.0,-426.0
2087500.0,-840.0,-487.0,-388.0
2087530.0,-632.0,-414.0,-240.0
2087590.0,-389.0,-406.0,-243.0
2087650.0,-332.0,-589.0,-193.0
2087680.0,-637.0,-784.0,-167.0
2087740.0,-693.0,-810.0,-144.0
2087800.0,-568.0,-765.0,-206.0
2087829.0,-486.0,-764.0,-420.0
2087891.0,-993.0,-830.0,-800.0
2087950.0,-845.0,-841.0,-269.0
2087979.0,-653.0,-868.0,-896.0
2088039.0,-528.0,-755.0,-561.0
2088100.0,-864.0,-786.0,-730.0
2088129.0,-782.0,-571.0,-461.0
2088189.0,-589.0,-428.0,-104.0
2088250.0,-477.0,-490.0,-156.0
2088279.0,-516.0,-632.0,-79.0
2088340.0,-336.0,-681.0,105.0
2088400.0,-400.0,-762.0,62.0
2088429.0,-661.0,-910.0,23.0
2088490.0,-548.0,-937.0,69.0
2088550.0,-1092.0,-887.0,-109.0
2088579.0,-1007.0,-621.0,-131.0
2088640.0,-785.0,-725.0,-506.0
2088700.0,-882.0,-630.0,-446.0
2088729.0,-493.0,-476.0,-222.0
2088790.0,-291.0,-475.0,-336.0
2088849.0,-400.0,-658.0,-204.0
2088879.0,-604.0,-767.0,-148.0
2088939.0,-682.0,-796.0,-256.0
2089000.0,-658.0,-741.0,-232.0
2089030.0,-524.0,-809.0,-378.0
2089089.0,-974.0,-859.0,-788.0
2089149.0,-640.0,-999.0,-289.0
2089180.0,-537.0,-947.0,-831.0
2089240.0,-590.0,-809.0,-806.0
2089300.0,-1034.0,-669.0,-670.0
2089329.0,-768.0,-512.0,-344.0
2089390.0,-619.0,-421.0,-122.0
2089449.0,-457.0,-537.0,-79.0
2089479.0,-380.0,-737.0,-93.0
2089540.0,-215.0,-753.0,106.0
2089600.0,-537.0,-866.0,114.0
2089629.0,-666.0,-909.0,198.0
2089689.0,-590.0,-1048.0,19.0
2089749.0,-1015.0,-939.0,80.0
2089780.0,-811.0,-460.0,-365.0
2089840.0,-937.0,-622.0,-510.0
2089899.0,-746.0,-520.0,-214.0
2089929.0,-569.0,-431.0,-241.0
2089989.0,-366.0,-542.0,-179.0
2090050.0,-596.0,-810.0,-171.0
2090079.0,-780.0,-832.0,-219.0
2090140.0,-606.0,-697.0,-215.0
2090200.0,-560.0,-557.0,-309.0
2090229.0,-846.0,-614.0,-556.0
2090289.0,-1161.0,-779.0,-606.0
2090350.0,-849.0,-957.0,-677.0
2090379.0,-441.0,-755.0,-475.0
2090439.0,-608.0,-865.0,-675.0
2090500.0,-863.0,-763.0,-785.0
2090530.0,-780.0,-465.0,-367.0
2090590.0,-570.0,-436.0,-92.0
2090649.0,-517.0,-561.0,-203.0
2090679.0,-410.0,-705.0,-56.0
2090739.0,-218.0,-703.0,129.0
2090800.0,-555.0,-862.0,143.0
2090829.0,-619.0,-944.0,220.0
2090889.0,-614.0,-1139.0,-2.0
2090949.0,-933.0,-924.0,86.0
2090980.0,-678.0,-656.0,-246.0
2091040.0,-960.0,-726.0,-545.0
2091099.0,-624.0,-460.0,-213.0
2091129.0,-472.0,-400.0,-226.0
2091189.0,-170.0,-567.0,-293.0
2091250.0,-471.0,-738.0,-108.0
2091280.0,-754.0,-868.0,-226.0
2091340.0,-703.0,-780.0,-327.0
2091400.0,-500.0,-616.0,-271.0
2091429.0,-883.0,-726.0,-674.0
2091489.0,-954.0,-757.0,-604.0
2091550.0,-692.0,-831.0,-863.0
2091579.0,-624.0,-744.0,-634.0
2091640.0,-878.0,-867.0,-733.0
2091699.0,-830.0,-643.0,-724.0
2091729.0,-462.0,-457.0,-121.0
2091790.0,-531.0,-503.0,-161.0
2091850.0,-544.0,-613.0,-97.0
2091879.0,-439.0,-758.0,8.0
2091939.0,-298.0,-618.0,127.0
2092000.0,-493.0,-625.0,162.0
2092030.0,-703.0,-817.0,370.0
2092090.0,-561.0,-995.0,135.0
2092149.0,-1032.0,-938.0,250.0
2092180.0,-882.0,-793.0,-192.0
2092239.0,-861.0,-558.0,-417.0
2092300.0,-522.0,-291.0,-516.0
2092329.0,-793.0,-343.0,-199.0
2092389.0,-569.0,-461.0,-207.0
2092449.0,-608.0,-758.0,-293.0
2092480.0,-616.0,-783.0,-292.0
2092539.0,-758.0,-645.0,-338.0
2092599.0,-636.0,-499.0,-435.0
2092629.0,-771.0,-723.0,-852.0
2092690.0,-861.0,-785.0,-250.0
2092750.0,-821.0,-903.0,-851.0
2092780.0,-480.0,-776.0,-490.0
2092840.0,-779.0,-769.0,-760.0
2092900.0,-888.0,-757.0,-921.0
2092929.0,-594.0,-488.0,-49.0
2092990.0,-543.0,-411.0,-123.0
2093049.0,-462.0,-571.0,-136.0
2093079.0,-452.0,-656.0,101.0
2093139.0,-334.0,-679.0,106.0
2093199.0,-415.0,-732.0,188.0
2093229.0,-868.0,-779.0,67.0
2093290.0,-690.0,-1017.0,164.0
2093349.0,-956.0,-1003.0,-54.0
2093379.0,-724.0,-556.0,-215.0
2093439.0,-1005.0,-446.0,-556.0
2093500.0,-731.0,-481.0,-388.0
2093529.0,-625.0,-502.0,-232.0
2093590.0,-283.0,-575.0,-334.0
2093650.0,-482.0,-703.0,-307.0
2093679.0,-621.0,-681.0,-228.0
2093739.0,-778.0,-685.0,-363.0
2093799.0,-595.0,-698.0,-387.0
2093829.0,-725.0,-733.0,-611.0
2093920.0,-1038.0,-780.0,-759.0
2093949.0,-844.0,-867.0,-571.0
2093979.0,-550.0,-771.0,-597.0
2094039.0,-577.0,-787.0,-735.0
2094100.0,-910.0,-867.0,-699.0
2094129.0,-839.0,-532.0,-104.0
2094189.0,-381.0,-471.0,-89.0
2094249.0,-283.0,-506.0,-193.0
2094280.0,-405.0,-605.0,8.0
2094340.0,-362.0,-666.0,186.0
2094400.0,-459.0,-699.0,254.0
2094429.0,-622.0,-876.0,237.0
2094490.0,-530.0,-1028.0,94.0
2094549.0,-872.0,-1214.0,163.0
2094579.0,-891.0,-604.0,-108.0
