timestamp,X (mg),Y (mg),Z (mg)
10910,-106,-1012,101
10957,-114,-1008,110
11017,-113,-1010,99
11049,-113,-1008,109
11107,-112,-1013,103
11167,-117,-1007,102
11197,-106,-1011,106
11257,-115,-1009,107
11316,-111,-1010,107
11347,-114,-1008,104
11407,-109,-1011,101
11466,-113,-1010,104
11497,-112,-1010,108
11557,-112,-1005,107
11617,-106,-1007,115
11647,-116,-1010,94
11707,-114,-1009,105
11767,-115,-1009,103
11797,-112,-1007,108
11857,-115,-1011,105
11917,-117,-1009,101
11947,-120,-1008,108
12007,-118,-1008,106
12067,-114,-1008,102
12097,-121,-1013,96
12157,-119,-1004,114
12217,-112,-1010,96
12247,-126,-1006,99
12307,-113,-1012,108
12366,-124,-1008,100
12397,-119,-1010,105
12457,-124,-1007,99
12517,-121,-1008,108
12546,-123,-1007,96
12607,-122,-1009,99
12667,-121,-1009,101
12697,-121,-1009,100
12757,-122,-1009,101
12817,-121,-1008,104
12847,-120,-1011,93
12907,-123,-1009,103
12967,-123,-1008,104
12997,-118,-1013,103
13057,-125,-1007,96
13117,-120,-1005,104
13147,-119,-1011,99
13207,-124,-1007,100
13267,-115,-1010,101
13297,-127,-1008,100
13357,-112,-1009,103
13417,-122,-1011,101
13447,-116,-1010,109
13507,-117,-1009,104
13566,-123,-1008,98
13597,-116,-1011,106
13657,-120,-1009,99
13717,-116,-1009,106
13747,-120,-1010,102
13807,-119,-1008,109
13867,-114,-1007,99
13897,-115,-1011,107
13957,-118,-1009,108
14017,-120,-1010,101
14046,-109,-1010,114
14107,-120,-1009,101
14167,-117,-1009,103
14197,-113,-1010,108
14257,-115,-1009,103
14317,-114,-1009,106
14346,-114,-1010,108
14407,-113,-1009,109
14467,-117,-1011,104
14497,-112,-1008,109
14557,-114,-1006,104
14617,-109,-1013,103
14646,-112,-1010,107
14707,-119,-1012,108
14766,-122,-1005,106
14796,-108,-1011,101
14857,-116,-1011,87
14917,-116,-1003,112
14947,-123,-1014,89
15007,-110,-1007,98
15067,-126,-1009,102
15096,-114,-1003,103
15157,-110,-1019,95
15217,-117,-1009,108
15247,-107,-1008,95
15307,-111,-1014,95
15367,-121,-1005,97
15396,-117,-1011,106
15457,-113,-1008,85
15516,-111,-1011,105
15547,-119,-1006,91
15607,-112,-1010,100
15666,-115,-1011,100
15697,-106,-1009,98
15757,-114,-1011,86
15817,-115,-1007,110
15847,-128,-1010,90
15907,-89,-1017,110
15966,-115,-1021,79
15997,-125,-996,121
16057,-123,-1007,96
16117,-107,-1014,84
16146,-112,-1008,104
16207,-123,-1008,102
16266,-113,-1014,89
16297,-108,-1005,115
16357,-110,-1015,95
16416,-117,-1007,90
16447,-112,-1014,101
16507,-121,-1007,79
16567,-116,-1008,115
16597,-117,-1010,84
16657,-109,-1010,100
16717,-102,-1014,104
16746,-118,-1005,86
16807,-109,-1011,99
16866,-120,-1010,94
16896,-109,-1008,100
16957,-104,-1010,97
17017,-120,-1012,95
17047,-98,-1012,111
17107,-111,-1011,85
17167,-108,-1010,100
17196,-112,-1015,91
17257,-111,-1008,98
17317,-107,-1011,104
17346,-113,-1009,99
17407,-103,-1010,110
17467,-100,-1011,91
17496,-115,-1010,96
17557,-99,-1010,99
17617,-112,-1013,96
17646,-105,-1005,109
17706,-100,-1017,91
17766,-113,-1005,94
17796,-105,-1012,113
17856,-115,-1007,85
17917,-99,-1015,108
17946,-116,-1010,95
18007,-108,-1010,107
18066,-109,-1008,92
18097,-108,-1015,113
18157,-118,-1009,91
18216,-102,-1014,99
18246,-121,-1014,117
18307,-92,-1005,102
18366,-114,-1010,99
18396,-109,-1009,95
18457,-105,-1009,106
18517,-117,-1014,82
18546,-112,-1005,121
18606,-103,-1013,85
18667,-107,-1011,100
18696,-105,-1008,111
18757,-124,-1010,77
18817,-99,-1012,113
18847,-109,-1013,93
18907,-116,-1011,107
18967,-111,-1010,98
18997,-106,-1011,103
19057,-103,-1011,97
19117,-109,-1007,107
19146,-110,-1009,97
19207,-105,-1009,104
19266,-110,-1009,100
19297,-106,-1012,97
19356,-110,-1009,107
19416,-110,-1014,100
19447,-106,-1012,107
19507,-110,-1009,106
19566,-107,-1011,98
