timestamp,X (mg),Y (mg),Z (mg)
371588,-777,554,253
371607,-776,555,240
371667,-774,561,218
371728,-781,566,236
371758,-777,566,223
371818,-776,565,222
371878,-768,570,232
371908,-784,565,221
371968,-776,564,235
372028,-775,579,224
372058,-809,577,231
372118,-810,572,196
372178,-746,544,141
372208,-617,553,84
372268,-775,628,201
372328,-826,573,394
372357,-658,529,333
372418,-655,534,-24
372478,-613,535,65
372508,-623,582,302
372568,-817,635,362
372628,-791,634,189
372658,-736,660,0
372718,-746,641,234
372778,-655,629,231
372808,-716,614,-16
372868,-708,692,96
372928,-848,728,215
372958,-963,653,68
373018,-1002,685,253
373078,-1167,610,413
373108,-968,605,299
373168,-659,427,60
373228,-640,458,156
373258,-687,431,130
373318,-722,370,29
373378,-658,345,160
373408,-680,367,226
373468,-829,457,204
373528,-861,425,173
373558,-743,401,216
373618,-789,416,232
373678,-826,463,277
373708,-836,551,249
373768,-973,575,241
373828,-711,668,294
373858,-1207,1016,425
373918,-1277,729,517
373978,-704,604,208
374008,-649,355,-305
374068,-398,365,24
374128,-405,352,382
374158,-483,491,507
374218,-708,579,311
374278,-884,652,-68
374308,-996,635,-185
374368,-779,620,203
374428,-921,690,351
374458,-1034,727,326
374518,-1289,790,204
374578,-1210,599,276
374608,-748,475,174
374668,-612,351,0
374728,-566,320,65
374758,-542,321,83
374818,-597,329,27
374878,-694,339,152
374908,-710,445,279
374968,-910,486,344
375028,-858,537,350
375058,-891,722,351
375118,-1167,646,355
375178,-1003,916,459
375208,-1207,649,464
375268,-804,585,380
375328,-477,430,-1
375358,-411,441,-32
375418,-600,481,288
375478,-516,371,416
375508,-376,510,265
375568,-785,609,97
375628,-1196,719,-35
375658,-706,614,-39
375718,-680,643,190
375778,-981,832,305
375808,-1170,872,159
375868,-1364,752,146
375928,-990,593,408
375958,-676,524,224
376018,-532,386,-69
376078,-505,353,-14
376108,-660,338,185
376168,-661,308,210
376228,-716,407,209
376258,-908,469,276
376348,-851,493,340
376382,-810,468,162
376408,-802,483,185
376468,-873,709,356
376528,-969,652,237
376588,-988,961,347
376617,-1331,795,454
376678,-710,559,328
376708,-463,459,-81
376768,-452,477,-150
376829,-742,598,264
376858,-776,477,415
376918,-524,518,274
376978,-696,525,-132
377008,-841,595,-7
377068,-672,570,214
377128,-849,606,221
377158,-823,608,179
377218,-681,634,22
377278,-870,688,100
377308,-869,645,253
377368,-897,844,300
377428,-1415,635,420
377458,-849,683,326
377518,-625,465,-17
377578,-620,512,89
377607,-635,418,13
377698,-627,383,141
377728,-597,408,230
377758,-692,486,68
377818,-899,524,128
377878,-768,505,339
377938,-752,477,215
377968,-802,639,251
378028,-1081,735,384
378058,-829,809,405
378118,-1017,899,379
378178,-978,655,495
378208,-534,552,280
378268,-453,426,21
378328,-643,535,95
378358,-642,505,280
378418,-480,421,306
378478,-541,520,148
378508,-792,623,6
378568,-835,604,23
378628,-669,594,213
378657,-736,719,288
378718,-940,825,263
378778,-1301,1006,38
378808,-1377,731,294
378868,-968,667,339
378928,-654,442,-61
378958,-490,397,59
379018,-471,375,194
379078,-682,361,149
379107,-788,380,112
379168,-755,437,227
379228,-781,488,283
379257,-844,464,203
379318,-687,484,151
379378,-755,466,162
379408,-918,792,293
379468,-1090,679,316
379528,-971,954,408
379558,-1258,789,406
379618,-691,599,302
379678,-494,444,-17
379708,-503,464,16
379768,-736,617,349
379828,-846,600,432
379858,-633,525,110
379918,-589,468,-212
379978,-565,488,-4
380008,-752,588,271
380068,-809,594,157
380128,-696,512,-43
380157,-628,598,37
380218,-1029,768,231
380278,-1335,757,307
380308,-1273,831,394
380368,-1086,514,352
380428,-634,489,206
380458,-538,392,-85
380518,-603,423,15
380578,-755,382,167
380608,-670,334,53
380668,-658,380,121
380728,-780,496,223
380758,-969,510,179
380818,-769,495,71
380878,-743,444,-2
380907,-873,776,266
380968,-1134,738,298
381028,-684,955,279
381057,-1256,846,449
381118,-1123,603,724
381178,-565,503,270
381208,-456,390,-467
381268,-522,640,38
381328,-853,685,494
381358,-923,603,565
381418,-620,502,179
381507,-521,400,-286
381538,-455,494,-63
381568,-745,560,230
381628,-855,567,361
381658,-582,520,27
381718,-886,678,-133
381778,-1306,846,289
381808,-1428,866,315
381868,-1057,599,245
381929,-883,519,292
381957,-635,465,-18
382018,-506,378,-86
382078,-552,349,32
382107,-746,362,143
382168,-641,300,122
382228,-636,393,204
382258,-934,503,213
382318,-766,513,225
382378,-859,447,27
382407,-819,647,258
382498,-1191,762,334
382527,-865,782,257
382558,-1122,924,382
382618,-1128,634,540
382678,-701,579,418
382738,-488,391,-476
382768,-364,423,-156
382828,-639,432,395
382857,-618,507,403
382918,-633,527,64
382978,-890,516,122
383008,-751,655,200
383068,-791,597,-110
383128,-876,692,107
383158,-1017,850,326
383218,-1133,846,-42
383278,-1105,711,111
383308,-872,579,396
383368,-678,622,242
383428,-798,505,-28
383457,-761,554,173
383518,-801,500,201
383578,-820,512,216
383607,-831,529,159
383668,-795,504,96
383727,-737,486,148
