timestamp,X (mg),Y (mg),Z (mg)
10872,-876,419,105
10918,-854,367,217
10979,-862,367,320
11008,-876,372,228
11068,-892,379,86
11129,-900,374,77
11158,-900,379,132
11218,-884,372,134
11278,-937,356,169
11308,-1085,480,172
11368,-1256,519,221
11428,-1254,533,358
11458,-1078,439,208
11518,-712,416,164
11578,-686,426,356
11608,-817,405,529
11669,-707,362,408
11728,-704,338,144
11758,-694,341,139
11819,-694,367,235
11879,-827,424,335
11908,-934,487,367
11968,-970,544,303
12029,-972,576,273
12058,-975,587,391
12118,-968,590,420
12178,-1036,377,134
12208,-882,283,-14
12268,-841,274,293
12328,-763,309,353
12358,-707,273,170
12419,-796,257,144
12478,-768,296,274
12508,-759,319,223
12568,-881,342,125
12628,-965,391,229
12658,-992,462,278
12718,-1067,489,72
12778,-1062,534,37
12808,-1123,576,336
12868,-1000,462,315
12928,-644,414,169
12958,-693,434,311
13018,-829,451,487
13078,-649,405,290
13108,-702,359,131
13168,-709,396,183
13229,-710,437,260
13258,-793,442,233
13318,-866,484,272
13408,-880,549,296
13442,-936,593,322
13468,-998,632,351
13528,-1070,611,398
13558,-1070,476,276
13649,-840,303,101
13678,-853,305,352
13708,-789,366,386
13769,-778,318,139
13828,-719,288,118
13858,-649,320,216
13919,-718,333,192
13978,-870,385,208
14009,-949,427,239
14068,-1019,445,205
14128,-991,453,97
14158,-995,487,158
14218,-1081,637,292
14278,-1061,463,307
14308,-741,440,215
14369,-683,440,214
14428,-805,457,384
14458,-727,419,365
14519,-719,383,226
14579,-732,365,109
14608,-671,407,133
14668,-779,439,210
14729,-825,471,269
14758,-877,529,280
14818,-998,576,305
14878,-1003,658,384
14909,-1095,610,471
14969,-1055,458,362
15029,-779,238,-71
15058,-824,277,305
15118,-924,402,484
15179,-771,346,161
15208,-752,264,-37
15268,-679,302,186
15328,-688,324,238
15358,-819,349,177
15419,-886,379,152
15478,-867,407,176
15508,-863,403,157
15568,-912,455,204
15628,-1044,548,283
15658,-1433,757,264
15718,-1248,641,227
15778,-797,470,173
15808,-658,433,185
15869,-692,433,284
15929,-753,410,434
15958,-622,395,317
16018,-667,327,187
16078,-662,359,204
16108,-715,411,301
16169,-811,431,307
16228,-859,486,283
16258,-899,542,247
16318,-962,613,299
16378,-1016,670,373
16408,-1145,644,409
16468,-1107,424,124
16528,-739,284,154
16558,-774,350,423
16619,-840,371,351
16678,-802,330,46
16708,-744,304,205
16769,-665,327,274
16828,-654,326,95
16858,-774,369,59
16919,-896,448,207
16978,-928,450,263
17008,-948,445,175
17068,-1032,481,182
17128,-1166,659,246
17159,-1300,599,305
17218,-860,473,224
17279,-654,450,168
17308,-734,503,374
17368,-779,472,499
17429,-679,418,350
17458,-686,342,121
17518,-645,369,80
17579,-666,411,203
17608,-861,453,318
17668,-854,519,336
17728,-838,525,241
17758,-856,502,231
17819,-848,590,343
17879,-994,730,342
17908,-1449,665,284
17968,-876,356,229
18028,-644,262,178
18058,-873,363,435
18119,-797,426,322
18178,-744,319,-80
18208,-707,280,198
18268,-695,332,297
18328,-705,360,109
18358,-859,392,101
18419,-859,404,250
18479,-857,427,265
18508,-938,424,138
18568,-967,467,145
18628,-1046,583,192
18658,-1228,654,340
18718,-1184,514,401
18779,-813,432,288
18808,-691,450,288
18868,-722,489,403
18928,-716,419,388
18958,-726,379,236
19019,-701,349,147
19079,-647,385,218
19108,-689,414,241
19168,-799,453,257
19229,-844,482,310
19258,-841,495,283
19318,-843,522,152
19378,-895,552,149
19408,-893,617,332
19468,-1059,666,447
19529,-1224,649,456
19558,-905,356,177
19618,-656,298,231
19678,-719,355,322
19708,-921,393,280
19768,-907,364,108
19829,-800,318,228
19858,-671,358,223
19919,-713,358,18
19979,-723,364,71
20008,-837,408,238
20068,-858,414,191
20129,-894,424,98
20158,-917,438,127
20218,-926,454,202
20279,-985,506,150
20308,-1113,609,192
20368,-1231,614,395
20429,-1099,477,315
20458,-768,473,191
20518,-758,485,327
20578,-762,449,467
20608,-638,394,392
20668,-619,337,132
20729,-671,322,18
20758,-674,388,217
20819,-778,428,336
20878,-858,466,263
20908,-851,471,152
20968,-865,508,263
21029,-837,528,265
21058,-900,546,232
21119,-980,659,358
21179,-1180,663,449
21208,-1157,484,289
21268,-723,343,221
21329,-740,368,308
21358,-894,385,368
21419,-798,375,284
21479,-864,341,202
21508,-741,366,193
21568,-689,342,97
21629,-711,347,83
21658,-758,384,203
21718,-811,409,252
21779,-866,446,120
21808,-892,439,29
21868,-872,440,186
21928,-939,495,180
21958,-910,504,120
22018,-928,504,268
22078,-1013,546,322
22108,-1131,656,341
