timestamp,X (mg),Y (mg),Z (mg)
2912368,-683,350,125
2912374,-695,373,38
2912411,-778,467,187
2912592,-890,455,-148
2912593,-889,392,-1
2912637,-871,494,110
2912637,-872,446,101
2912650,-1152,512,152
2912710,-1149,466,78
2912800,-1132,506,316
2912829,-1066,591,228
2912860,-853,449,200
2912950,-714,252,219
2912979,-724,325,230
2913040,-726,364,182
2913070,-672,297,247
2913101,-468,169,94
2913161,-839,299,265
2913221,-1154,571,377
2913250,-680,351,164
2913311,-1129,383,254
2913371,-850,487,250
2913400,-689,490,218
2913551,-1616,838,235
2913552,-1450,555,-23
2913596,-812,509,-19
2913641,-751,274,125
2913670,-519,425,62
2913700,-629,471,-73
2913760,-605,314,67
2913821,-656,320,76
2913850,-716,334,142
2913911,-760,427,123
2913971,-996,373,98
2914000,-756,402,106
2914061,-1238,511,283
2914150,-1286,437,204
2914181,-1170,678,476
2914210,-991,634,202
2914271,-701,390,113
2914300,-611,77,174
2914361,-508,195,174
2914450,-521,262,80
2914483,-599,316,336
2914510,-788,580,377
2914570,-1020,602,0
2914600,-853,551,576
2914690,-927,458,161
2914720,-917,696,180
2914751,-1245,766,294
2914810,-1530,785,62
2914871,-872,475,92
2914900,-861,359,124
2915021,-642,403,-29
2915021,-548,426,52
2915062,-648,344,8
2915111,-549,345,51
2915171,-665,339,33
2915200,-807,466,142
2915260,-959,509,129
2915320,-860,509,117
2915350,-1049,564,215
2915410,-1205,656,67
2915500,-1219,599,299
2915535,-1106,618,163
2915560,-849,512,62
2915620,-723,235,200
2915651,-616,294,217
2915741,-721,345,113
2915770,-625,361,213
2915800,-638,305,284
2915860,-879,328,116
2915921,-703,459,184
2915951,-825,474,179
2916011,-899,538,261
2916071,-781,549,188
2916100,-890,644,213
2916251,-1320,630,43
2916253,-1206,660,493
2916295,-937,549,242
2916311,-762,350,145
2916370,-683,398,108
2916400,-669,393,-24
2916490,-600,329,54
2916520,-724,355,119
2916550,-587,349,40
2916610,-849,397,145
2916670,-907,495,161
2916700,-795,474,120
2916760,-858,455,131
2916850,-1515,716,188
2916879,-1182,495,167
2916910,-1346,578,271
2916970,-844,472,124
2917030,-663,375,106
2917060,-738,371,167
2917150,-870,439,179
2917176,-751,371,187
2917210,-679,332,170
2917270,-655,289,208
2917300,-763,417,171
2917360,-816,492,222
2917450,-765,505,238
2917480,-777,519,211
2917510,-687,491,227
2917660,-1028,672,263
2917698,-1912,830,387
2917699,-1371,612,-273
2917720,-827,497,77
2917750,-831,294,188
2917810,-676,441,76
2917992,-697,377,28
2917993,-714,420,161
2917994,-697,444,-45
2918036,-704,443,100
2918051,-721,383,92
2918110,-813,453,102
2918200,-766,477,90
2918227,-760,432,88
2918290,-795,443,132
2918320,-1258,656,214
2918350,-1082,524,80
2918411,-1198,434,308
2918471,-1253,653,209
2918500,-935,505,190
2918561,-629,249,157
2918621,-581,272,165
2918681,-641,294,80
2918710,-483,236,194
2918770,-651,301,217
2918800,-889,535,348
2918891,-922,576,186
2918921,-687,382,193
2918950,-1068,754,170
2919010,-1639,892,241
2919070,-1521,671,440
2919100,-986,498,140
2919161,-823,420,89
2919221,-601,490,3
2919280,-540,473,-88
2919310,-663,374,-40
2919401,-683,399,88
2919434,-646,347,119
2919461,-706,363,135
2919521,-817,484,154
2919550,-759,487,81
2919611,-760,436,99
2919671,-1204,737,414
2919700,-1191,547,-92
2919761,-1504,655,595
2919820,-925,639,148
2919850,-631,337,186
2919911,-498,139,198
2919971,-540,320,162
2920000,-785,435,188
2920061,-560,306,319
2920120,-657,321,175
2920180,-828,519,176
2920210,-851,503,365
2920331,-778,351,220
2920374,-925,603,169
2920374,-1620,1001,6
2920450,-1175,584,297
2920473,-885,524,209
2920601,-783,475,143
2920641,-500,474,90
2920642,-603,393,-15
2920661,-613,374,-21
2920780,-566,402,66
2920810,-511,400,98
2920811,-817,448,191
2920870,-895,582,100
2920900,-804,499,40
2920991,-901,506,159
2921022,-1456,821,199
2921050,-1198,494,340
2921110,-1289,561,265
2921171,-894,530,178
2921201,-596,161,166
2921261,-430,217,237
2921321,-735,389,103
2921350,-671,360,276
2921411,-460,261,128
2921471,-832,389,295
2921500,-936,620,386
2921591,-724,477,169
2921620,-857,398,126
2921681,-938,700,203
2921710,-1357,731,250
2921771,-1542,802,612
2921861,-783,492,104
2921896,-776,414,167
2921920,-811,492,75
2921950,-593,504,-33
2922010,-612,366,15
2922071,-673,384,64
2922160,-739,395,82
2922195,-630,352,75
2922250,-838,415,122
2922264,-778,534,149
2922310,-668,535,136
2922370,-858,576,144
2922400,-1509,617,321
2922461,-1048,453,355
2922521,-1812,668,266
2922550,-745,380,159
2922642,-627,186,112
2922700,-627,391,135
2922721,-574,371,197
2922761,-640,239,341
2922850,-541,335,228
2922878,-816,523,230
2922910,-891,556,219
2922970,-684,464,138
2923000,-1116,897,315
2923061,-1564,998,334
2923210,-1219,876,316
2923239,-952,711,42
2923253,-628,502,218
2923392,-552,622,147
2923395,-610,576,90
2923398,-663,511,219
2923420,-774,538,255
2923451,-754,551,272
2923511,-876,488,267
2923570,-1041,536,408
