timestamp,X (mg),Y (mg),Z (mg)
8883,-950,41,-316
8963,-952,41,-294
8992,-941,35,-305
9023,-957,37,-340
9082,-927,35,-286
9143,-973,31,-287
9172,-931,28,-349
9233,-943,22,-307
9293,-971,30,-266
9322,-963,33,-315
9382,-937,33,-334
9472,-972,37,-292
9501,-942,32,-298
9562,-948,35,-326
9592,-949,33,-303
9622,-948,37,-334
9683,-948,42,-313
9743,-929,33,-317
9772,-957,45,-368
9833,-929,40,-299
9893,-956,38,-308
9922,-941,50,-348
10012,-935,48,-337
10042,-943,52,-334
10072,-941,44,-309
10132,-936,41,-343
10193,-941,46,-324
10222,-947,43,-323
10282,-930,43,-362
10372,-948,44,-323
10403,-943,43,-310
10432,-947,44,-363
10493,-929,41,-335
10553,-944,44,-299
10582,-939,39,-341
10643,-950,43,-343
10672,-942,35,-314
10732,-938,33,-323
10793,-960,32,-318
10822,-952,31,-302
10883,-957,39,-318
10943,-937,33,-340
10972,-956,50,-321
11063,-928,43,-332
11092,-935,43,-379
11122,-934,36,-319
11183,-950,22,-286
11243,-953,24,-318
11272,-937,23,-320
11333,-950,17,-315
11393,-953,25,-331
11422,-945,20,-307
11483,-954,23,-316
11543,-946,26,-328
11572,-936,25,-328
11633,-946,26,-317
11693,-932,25,-347
11722,-930,25,-309
11783,-948,23,-329
11843,-937,20,-365
11872,-953,23,-299
11933,-927,12,-324
11993,-961,25,-363
12022,-933,11,-288
12083,-955,16,-328
12143,-931,18,-343
12173,-948,16,-313
12233,-935,18,-330
12322,-947,20,-333
12353,-936,25,-336
12382,-945,30,-315
12443,-944,32,-320
12472,-946,32,-345
12533,-948,36,-302
12593,-930,45,-318
12622,-945,50,-355
12683,-956,47,-336
12772,-935,42,-316
12803,-985,41,-285
12832,-947,43,-333
12892,-963,27,-408
12922,-914,13,-272
13013,-989,-10,-282
13042,-949,29,-330
13072,-932,-3,-338
13132,-949,-7,-360
13193,-923,-15,-290
13222,-934,-34,-277
13283,-931,-28,-334
13403,-955,-21,-345
13445,-929,-44,-304
13445,-971,-12,-317
13492,-921,-36,-257
13522,-1015,-26,-225
13583,-921,-28,-410
13643,-969,14,-299
13672,-961,-1,-190
13732,-935,8,-416
13793,-940,29,-365
13823,-958,24,-201
13883,-956,36,-352
13943,-961,25,-363
13972,-967,22,-244
14032,-961,23,-290
14122,-928,19,-343
14154,-965,33,-312
14182,-956,32,-235
14243,-969,31,-314
14272,-933,32,-351
14333,-966,22,-283
14393,-944,28,-310
14422,-967,28,-302
14483,-949,26,-292
14543,-950,27,-313
14572,-944,24,-280
14632,-957,28,-305
14693,-937,32,-332
14722,-951,20,-311
14783,-944,26,-321
14843,-928,28,-294
14902,-959,26,-293
14933,-935,32,-372
14993,-948,32,-311
15022,-945,32,-291
15083,-937,33,-350
15143,-966,24,-308
15173,-951,25,-304
15233,-948,23,-338
15293,-928,13,-319
15322,-957,21,-293
15383,-950,3,-285
15443,-939,8,-362
15472,-942,9,-320
15563,-950,-1,-229
15593,-958,10,-343
15623,-942,15,-348
15683,-961,16,-260
15743,-950,29,-298
15803,-958,32,-343
15833,-942,30,-295
15893,-952,40,-313
15922,-945,38,-317
15983,-951,37,-308
16043,-936,35,-313
16072,-961,35,-317
16133,-952,36,-329
16193,-928,33,-349
16222,-947,30,-281
16282,-963,29,-297
