timestamp,X (mg),Y (mg),Z (mg)
2950489,-972,818,95
2950512,-1239,949,71
2950512,-991,747,56
2950571,-892,439,-25
2950600,-885,352,-7
2950660,-882,495,134
2950780,-687,482,61
2950824,-518,296,115
2950824,-597,318,80
2950870,-696,406,129
2950900,-776,491,175
2950961,-867,581,174
2951080,-957,554,135
2951123,-1263,618,284
2951170,-1075,578,205
2951189,-1273,824,-148
2951202,-714,355,43
2951260,-779,368,-78
2951380,-802,636,-81
2951415,-653,519,-90
2951415,-555,492,-21
2951500,-612,433,-8
2951523,-555,432,-28
2951651,-816,573,17
2951652,-704,513,-33
2951692,-866,628,3
2951710,-893,702,53
2951771,-1109,809,-12
2951800,-1158,766,329
2951920,-838,458,-102
2951961,-912,445,90
2951961,-852,363,53
2952011,-807,567,148
2952071,-667,416,148
2952100,-577,309,105
2952161,-636,291,121
2952221,-673,413,159
2952250,-868,527,271
2952341,-949,630,169
2952400,-949,701,306
2952423,-997,705,248
2952491,-1252,909,30
2952550,-987,560,-102
2952571,-763,274,-6
2952701,-775,521,-35
2952703,-772,537,-14
2952741,-531,464,-71
2952760,-422,429,12
2952821,-525,447,-2
2952910,-609,538,16
2953001,-833,644,29
2953001,-904,637,-18
2953030,-866,625,48
2953060,-981,718,-51
2953121,-1478,1029,-204
2953151,-987,602,-56
2953241,-908,351,-6
2953271,-866,430,163
2953331,-890,549,82
2953361,-627,374,162
2953421,-590,280,129
2953451,-568,313,156
2953511,-603,403,181
2953600,-709,513,256
2953634,-962,634,81
2953661,-890,658,388
2953750,-1058,751,240
2953780,-1211,953,226
2953811,-1113,568,-248
2953871,-761,235,-18
2953901,-768,556,6
2954020,-795,588,-3
2954058,-560,434,-63
2954059,-402,389,27
2954111,-476,465,8
2954201,-565,578,-9
2954234,-964,697,28
2954442,-813,692,121
2954444,-870,658,45
2954483,-1577,1073,-156
2954483,-1023,809,-68
2954484,-947,488,-22
2954500,-801,330,110
2954561,-853,444,162
2954621,-710,410,50
2954650,-485,283,77
2954711,-549,316,120
2954771,-599,422,161
2954801,-701,503,266
2954861,-943,587,294
2954921,-927,598,159
2954951,-839,614,262
2955011,-969,662,223
2955071,-1029,615,318
2955101,-1094,810,119
2955161,-882,548,139
2955221,-944,292,27
2955251,-848,432,43
2955341,-753,408,-29
2955375,-538,407,-8
2955401,-509,414,47
2955551,-478,492,78
2955553,-704,592,-38
2955596,-841,654,153
2955763,-883,659,106
2955763,-786,643,127
2955764,-892,767,33
2955804,-1486,1029,-161
2955820,-948,587,177
2955880,-754,380,42
2955911,-847,499,222
2956000,-822,595,109
2956120,-605,436,172
2956122,-495,238,183
2956165,-491,337,166
2956210,-639,413,180
2956225,-931,651,379
2956270,-972,690,281
2956301,-905,694,301
2956361,-1063,667,323
2956421,-1087,770,163
2956451,-984,589,-23
2956511,-795,318,-31
2956600,-739,585,10
2956630,-651,561,31
2956661,-523,469,-9
2956720,-713,469,-21
2956751,-404,510,94
2956811,-671,578,-63
2956871,-846,614,87
2956900,-798,632,75
2956961,-864,650,80
2957021,-916,773,25
2957050,-1513,1006,-78
2957171,-883,550,-26
2957213,-802,375,92
2957351,-936,479,184
2957441,-649,397,82
2957441,-773,539,148
2957442,-518,267,103
2957465,-521,349,158
2957465,-631,452,143
2957500,-878,598,327
2957561,-919,589,273
2957621,-873,648,202
2957650,-1028,680,319
2957711,-1066,753,227
2957831,-1235,738,-162
2957832,-804,288,8
2957876,-845,519,18
2957921,-715,605,49
2957950,-617,525,46
2958041,-479,448,14
2958070,-492,454,101
2958101,-571,499,16
2958161,-756,619,91
2958221,-882,627,71
2958250,-935,654,40
2958311,-1018,748,-26
2958401,-1417,863,-62
2958431,-942,476,32
2958460,-841,338,31
2958521,-874,432,174
2958550,-888,547,58
2958611,-634,406,107
2958671,-571,299,103
2958702,-603,349,128
2958761,-713,436,131
2958821,-814,538,216
2958850,-851,553,235
2958911,-829,616,243
2958971,-896,657,234
2959031,-1026,692,269
2959183,-1085,729,132
2959183,-1229,771,-114
2959223,-746,438,-16
2959223,-791,324,-57
2959271,-805,580,-18
2959300,-738,432,-27
2959361,-542,440,-8
2959421,-518,451,39
2959540,-610,477,3
2959542,-718,553,8
2959580,-758,587,85
2959610,-768,575,56
2959661,-831,596,75
2959721,-847,648,13
2959750,-1383,792,-196
2959841,-1324,828,167
2959930,-963,476,92
2959963,-808,305,145
2959990,-913,493,169
2960020,-798,513,113
2960110,-559,362,154
2960133,-509,269,70
2960171,-540,295,144
2960200,-599,420,178
2960321,-844,585,354
2960361,-973,611,44
2960361,-786,548,251
2960410,-834,578,288
2960500,-981,710,303
2960530,-1243,906,63
2960652,-824,427,53
2960653,-1077,721,211
2960656,-891,503,30
2960742,-878,597,58
2960864,-491,338,5
2960865,-715,477,9
2960866,-283,300,11
2960921,-489,444,-10
2960951,-727,668,127
2961011,-1021,814,53
2961071,-759,671,193
2961101,-750,535,190
2961222,-686,634,110
2961261,-749,621,81
