timestamp,X (mg),Y (mg),Z (mg)
421928,-800,698,39
421952,-620,574,159
422012,-747,645,103
422072,-631,635,160
422102,-705,709,185
422163,-1140,884,-170
422222,-982,769,171
422312,-1412,991,-124
422345,-804,679,33
422402,-595,470,5
422421,-492,479,-97
422462,-566,394,-82
422522,-690,451,74
422552,-603,461,-69
422643,-706,475,42
422672,-750,601,-27
422702,-736,632,-2
422763,-663,651,-24
422852,-885,801,-38
422882,-1261,890,32
422912,-891,593,101
422972,-1257,894,331
423002,-753,683,-287
423063,-663,442,247
423123,-468,430,33
423152,-594,333,27
423212,-462,253,227
423273,-672,392,178
423303,-782,700,157
423362,-799,703,54
423422,-643,708,153
423452,-708,865,18
423513,-1411,989,-251
423572,-947,777,386
423602,-1140,980,-176
423663,-855,603,-24
423723,-560,495,33
423752,-479,401,-109
423812,-566,372,-106
423872,-614,417,16
423902,-569,445,-28
423993,-700,498,-18
424023,-907,630,-33
424052,-698,578,6
424112,-889,668,-38
424173,-1307,899,54
424202,-972,692,234
424263,-1397,860,232
424323,-716,523,33
424352,-507,407,193
424412,-492,451,154
424502,-825,544,171
424536,-863,472,197
424592,-555,373,35
424622,-337,507,113
424652,-736,612,-44
424712,-769,641,240
424773,-711,531,176
424802,-657,742,59
424863,-1149,1039,-15
424923,-993,1050,381
424952,-1111,987,-173
425013,-734,668,14
425073,-454,527,59
425132,-523,414,-41
425162,-494,385,-140
425223,-501,420,11
425252,-552,426,29
425313,-746,564,13
425373,-880,621,-6
425402,-669,563,65
425463,-837,705,44
425523,-1231,972,149
425552,-1202,688,77
425613,-1262,986,313
425673,-618,571,-238
425703,-575,359,297
425762,-277,369,34
425852,-574,212,66
425887,-372,212,195
425942,-509,429,157
425972,-915,849,85
426002,-672,636,171
426062,-542,742,69
426123,-1597,1163,-382
426153,-960,826,378
426213,-1424,1139,-199
426273,-749,619,10
426302,-514,588,-16
426363,-437,431,-91
426423,-441,376,-94
426453,-520,398,-46
426513,-610,455,57
426573,-795,561,-41
426603,-797,522,77
426663,-663,552,-3
426752,-836,646,-7
426785,-1288,982,137
426843,-1302,732,132
426872,-1243,1040,260
426932,-691,557,-208
426962,-335,359,257
427022,-610,421,70
427052,-541,538,181
427113,-929,611,58
427173,-773,595,93
427202,-654,584,-8
427262,-564,514,125
427322,-536,471,110
427352,-556,527,110
427413,-610,612,137
427473,-700,667,57
427533,-1409,1105,-260
427562,-1107,849,244
427623,-1231,921,-112
427653,-862,666,38
427712,-676,578,-32
427802,-397,420,-14
427835,-582,461,-124
427862,-556,485,-3
427922,-553,410,-15
427982,-658,553,54
428043,-809,638,-83
428072,-705,579,-15
428102,-763,719,51
428163,-1120,884,65
428222,-1076,768,-60
428252,-1182,789,201
428312,-1085,864,86
428402,-676,527,-29
428429,-546,442,72
428493,-448,430,109
428522,-686,416,97
428553,-570,375,211
428613,-588,502,77
428673,-700,681,37
428702,-758,694,104
428763,-594,680,76
428823,-601,720,34
428852,-1310,1025,-186
428912,-1109,767,136
428973,-1548,1100,-231
429002,-712,620,-64
429093,-632,477,27
429122,-491,477,-165
429153,-635,455,-127
429243,-596,485,-16
429272,-538,444,-22
429302,-542,526,-48
429362,-722,647,-110
429422,-742,640,-68
429452,-621,623,-81
429512,-642,691,-43
429572,-1161,1037,91
429602,-1276,817,419
429663,-1486,1073,201
429722,-928,780,-79
429752,-252,357,122
429812,-293,472,94
429873,-731,552,194
429902,-940,634,317
429963,-631,594,-39
430022,-468,435,78
430052,-352,454,-17
430112,-666,600,101
430173,-795,723,192
430202,-525,623,63
430263,-526,735,44
430322,-1432,1141,-175
430352,-1272,985,430
430412,-829,809,6
430473,-750,808,-52
430502,-580,560,34
430563,-519,438,-58
430652,-558,433,-70
430680,-635,517,60
430712,-537,556,101
430772,-450,378,-96
430803,-652,577,5
430862,-883,785,-88
430951,-731,618,2
430983,-631,668,-56
431012,-922,873,61
431072,-1306,883,-99
431102,-1415,1018,616
431163,-1127,920,-393
431222,-454,488,243
431252,-164,400,34
431313,-549,528,152
431372,-820,677,260
431402,-682,481,-57
431463,-424,476,196
431522,-493,605,-42
431552,-652,581,48
431613,-672,676,210
431672,-620,716,81
431702,-636,681,73
431763,-632,956,94
431822,-1358,841,-147
431852,-991,1055,305
431913,-788,786,264
431972,-513,661,-117
432002,-632,623,148
432062,-543,454,-126
432122,-648,574,30
432152,-589,559,-4
432212,-448,445,-32
432272,-476,444,62
432302,-669,563,22
432362,-859,592,7
432452,-399,621,-40
432472,-958,840,12
432512,-1203,976,114
432572,-1104,1041,511
432602,-1548,844,-380
432662,-427,700,304
432723,58,558,-175
432752,-775,572,291
