timestamp,X (mg),Y (mg),Z (mg)
106960.0,-767.0,-618.0,-489.0
107019.0,-833.0,-658.0,-415.0
107049.0,-831.0,-669.0,-515.0
107109.0,-829.0,-458.0,-529.0
107169.0,-708.0,-326.0,-461.0
107198.0,-888.0,-330.0,-507.0
107259.0,-797.0,-422.0,-420.0
107348.0,-723.0,-431.0,-377.0
107363.0,-669.0,-472.0,-332.0
107408.0,-701.0,-506.0,-358.0
107469.0,-681.0,-549.0,-351.0
107529.0,-689.0,-546.0,-310.0
107559.0,-640.0,-550.0,-314.0
107619.0,-682.0,-578.0,-310.0
107648.0,-734.0,-653.0,-436.0
107709.0,-897.0,-615.0,-476.0
107769.0,-927.0,-665.0,-504.0
107799.0,-901.0,-656.0,-659.0
107889.0,-729.0,-526.0,-733.0
107919.0,-701.0,-374.0,-691.0
107949.0,-825.0,-401.0,-633.0
108009.0,-674.0,-323.0,-416.0
108099.0,-473.0,-424.0,-410.0
108132.0,-527.0,-405.0,-375.0
108158.0,-515.0,-437.0,-345.0
108219.0,-746.0,-499.0,-447.0
108249.0,-711.0,-557.0,-446.0
108309.0,-894.0,-639.0,-672.0
108369.0,-1086.0,-485.0,-647.0
108399.0,-1186.0,-355.0,-658.0
108459.0,-729.0,-259.0,-659.0
108519.0,-999.0,-199.0,-640.0
108549.0,-590.0,-280.0,-386.0
108609.0,-376.0,-218.0,-296.0
108669.0,-444.0,-257.0,-226.0
108699.0,-534.0,-354.0,-344.0
108759.0,-782.0,-459.0,-371.0
108819.0,-891.0,-576.0,-458.0
108849.0,-966.0,-645.0,-562.0
108909.0,-1057.0,-528.0,-602.0
108969.0,-787.0,-434.0,-814.0
108999.0,-717.0,-268.0,-1065.0
109059.0,-993.0,-111.0,-1115.0
109119.0,-1113.0,-137.0,-586.0
109148.0,-73.0,-89.0,-11.0
109209.0,-155.0,-166.0,-81.0
109269.0,-718.0,-200.0,-527.0
109298.0,-893.0,-260.0,-757.0
109359.0,-1098.0,38.0,-914.0
109419.0,-1012.0,131.0,-222.0
109448.0,-365.0,140.0,-53.0
109509.0,-1191.0,-12.0,-940.0
109569.0,-1982.0,-31.0,-733.0
109598.0,-1026.0,-315.0,-540.0
109659.0,-1273.0,-228.0,-692.0
109719.0,-691.0,-441.0,-88.0
109749.0,-54.0,-255.0,261.0
109810.0,141.0,-99.0,-18.0
109869.0,0.0,-348.0,23.0
109899.0,-1097.0,-1019.0,-708.0
109959.0,-1900.0,-311.0,-1211.0
110019.0,-1349.0,209.0,-1557.0
110048.0,-1809.0,269.0,-930.0
110109.0,-629.0,334.0,-441.0
110169.0,119.0,541.0,-265.0
110198.0,84.0,112.0,73.0
110259.0,-121.0,50.0,-190.0
110319.0,-1998.0,-718.0,-271.0
110348.0,-809.0,-128.0,-1411.0
110409.0,-1998.0,97.0,-70.0
110469.0,-778.0,-170.0,-868.0
110499.0,-36.0,-402.0,350.0
110559.0,452.0,-214.0,463.0
110619.0,-165.0,-373.0,-199.0
110649.0,-408.0,-207.0,-169.0
110709.0,-1998.0,-208.0,-746.0
110770.0,-1811.0,201.0,-1632.0
110798.0,-1698.0,344.0,-783.0
110859.0,-933.0,167.0,-231.0
110919.0,547.0,448.0,-332.0
110949.0,-453.0,133.0,58.0
111009.0,205.0,169.0,-164.0
111069.0,-1834.0,-180.0,-395.0
111099.0,-1288.0,207.0,-1463.0
111159.0,-1998.0,58.0,-230.0
111219.0,-988.0,-152.0,-583.0
111249.0,-540.0,-282.0,-52.0
