Logged started on,17/07/2021 16:46:54
Feature,Accelerometer
Nodes,AM1V310 @324A36

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
17/07/2021 17:35:26.553,2912368,AM1V310 @324A36,186280,55FD5E017D00,-683,350,125
17/07/2021 17:35:26.554,2912374,AM1V310 @324A36,186286,49FD75012600,-695,373,38
17/07/2021 17:35:26.604,2912411,AM1V310 @324A36,186292,F6FCD301BB00,-778,467,187
17/07/2021 17:35:26.784,2912592,AM1V310 @324A36,186299,86FCC7016CFF,-890,455,-148
17/07/2021 17:35:26.784,2912593,AM1V310 @324A36,186305,87FC8801FFFF,-889,392,-1
17/07/2021 17:35:26.831,2912637,AM1V310 @324A36,186317,99FCEE016E00,-871,494,110
17/07/2021 17:35:26.831,2912637,AM1V310 @324A36,186311,98FCBE016500,-872,446,101
17/07/2021 17:35:26.844,2912650,AM1V310 @324A36,186324,80FB00029800,-1152,512,152
17/07/2021 17:35:26.904,2912710,AM1V310 @324A36,186330,83FBD2014E00,-1149,466,78
17/07/2021 17:35:26.994,2912800,AM1V310 @324A36,186336,94FBFA013C01,-1132,506,316
17/07/2021 17:35:27.023,2912829,AM1V310 @324A36,186342,D6FB4F02E400,-1066,591,228
17/07/2021 17:35:27.054,2912860,AM1V310 @324A36,186349,ABFCC101C800,-853,449,200
17/07/2021 17:35:27.144,2912950,AM1V310 @324A36,186355,36FDFC00DB00,-714,252,219
17/07/2021 17:35:27.173,2912979,AM1V310 @324A36,186361,2CFD4501E600,-724,325,230
17/07/2021 17:35:27.234,2913040,AM1V310 @324A36,186367,2AFD6C01B600,-726,364,182
17/07/2021 17:35:27.264,2913070,AM1V310 @324A36,186374,60FD2901F700,-672,297,247
17/07/2021 17:35:27.294,2913101,AM1V310 @324A36,186380,2CFEA9005E00,-468,169,94
17/07/2021 17:35:27.355,2913161,AM1V310 @324A36,186386,B9FC2B010901,-839,299,265
17/07/2021 17:35:27.415,2913221,AM1V310 @324A36,186392,7EFB3B027901,-1154,571,377
17/07/2021 17:35:27.444,2913250,AM1V310 @324A36,186399,58FD5F01A400,-680,351,164
17/07/2021 17:35:27.505,2913311,AM1V310 @324A36,186405,97FB7F01FE00,-1129,383,254
17/07/2021 17:35:27.564,2913371,AM1V310 @324A36,186411,AEFCE701FA00,-850,487,250
17/07/2021 17:35:27.594,2913400,AM1V310 @324A36,186417,4FFDEA01DA00,-689,490,218
17/07/2021 17:35:27.744,2913551,AM1V310 @324A36,186430,B0F94603EB00,-1616,838,235
17/07/2021 17:35:27.744,2913552,AM1V310 @324A36,186424,56FA2B02E9FF,-1450,555,-23
17/07/2021 17:35:27.789,2913596,AM1V310 @324A36,186436,D4FCFD01EDFF,-812,509,-19
