Logged started on,17/07/2021 17:48:17
Feature,Accelerometer
Nodes,AM1V310 @324A36

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
17/07/2021 17:55:19.187,421928,AM1V310 @324A36,73234,E0FCBA022700,-800,698,39
17/07/2021 17:55:19.217,421952,AM1V310 @324A36,73240,94FD3E029F00,-620,574,159
17/07/2021 17:55:19.278,422012,AM1V310 @324A36,73246,15FD85026700,-747,645,103
17/07/2021 17:55:19.338,422072,AM1V310 @324A36,73253,89FD7B02A000,-631,635,160
17/07/2021 17:55:19.368,422102,AM1V310 @324A36,73259,3FFDC502B900,-705,709,185
17/07/2021 17:55:19.428,422163,AM1V310 @324A36,73265,8CFB740356FF,-1140,884,-170
17/07/2021 17:55:19.488,422222,AM1V310 @324A36,73271,2AFC0103AB00,-982,769,171
17/07/2021 17:55:19.577,422312,AM1V310 @324A36,73278,7CFADF0384FF,-1412,991,-124
17/07/2021 17:55:19.611,422345,AM1V310 @324A36,73284,DCFCA7022100,-804,679,33
17/07/2021 17:55:19.667,422402,AM1V310 @324A36,73290,ADFDD6010500,-595,470,5
17/07/2021 17:55:19.686,422421,AM1V310 @324A36,73296,14FEDF019FFF,-492,479,-97
17/07/2021 17:55:19.728,422462,AM1V310 @324A36,73303,CAFD8A01AEFF,-566,394,-82
17/07/2021 17:55:19.787,422522,AM1V310 @324A36,73309,4EFDC3014A00,-690,451,74
17/07/2021 17:55:19.818,422552,AM1V310 @324A36,73315,A5FDCD01BBFF,-603,461,-69
17/07/2021 17:55:19.908,422643,AM1V310 @324A36,73321,3EFDDB012A00,-706,475,42
17/07/2021 17:55:19.937,422672,AM1V310 @324A36,73328,12FD5902E5FF,-750,601,-27
17/07/2021 17:55:19.968,422702,AM1V310 @324A36,73334,20FD7802FEFF,-736,632,-2
17/07/2021 17:55:20.028,422763,AM1V310 @324A36,73340,69FD8B02E8FF,-663,651,-24
17/07/2021 17:55:20.117,422852,AM1V310 @324A36,73346,8BFC2103DAFF,-885,801,-38
17/07/2021 17:55:20.147,422882,AM1V310 @324A36,73353,13FB7A032000,-1261,890,32
17/07/2021 17:55:20.178,422912,AM1V310 @324A36,73359,85FC51026500,-891,593,101
17/07/2021 17:55:20.237,422972,AM1V310 @324A36,73365,17FB7E034B01,-1257,894,331
17/07/2021 17:55:20.268,423002,AM1V310 @324A36,73371,0FFDAB02E1FE,-753,683,-287
17/07/2021 17:55:20.328,423063,AM1V310 @324A36,73378,69FDBA01F700,-663,442,247
17/07/2021 17:55:20.388,423123,AM1V310 @324A36,73384,2CFEAE012100,-468,430,33
17/07/2021 17:55:20.418,423152,AM1V310 @324A36,73390,AEFD4D011B00,-594,333,27
17/07/2021 17:55:20.478,423212,AM1V310 @324A36,73396,32FEFD00E300,-462,253,227
17/07/2021 17:55:20.538,423273,AM1V310 @324A36,73403,60FD8801B200,-672,392,178
17/07/2021 17:55:20.568,423303,AM1V310 @324A36,73409,F2FCBC029D00,-782,700,157
17/07/2021 17:55:20.628,423362,AM1V310 @324A36,73415,E1FCBF023600,-799,703,54
17/07/2021 17:55:20.688,423422,AM1V310 @324A36,73421,7DFDC4029900,-643,708,153
17/07/2021 17:55:20.717,423452,AM1V310 @324A36,73428,3CFD61031200,-708,865,18
17/07/2021 17:55:20.778,423513,AM1V310 @324A36,73434,7DFADD0305FF,-1411,989,-251
17/07/2021 17:55:20.838,423572,AM1V310 @324A36,73440,4DFC09038201,-947,777,386
17/07/2021 17:55:20.868,423602,AM1V310 @324A36,73446,8CFBD40350FF,-1140,980,-176
17/07/2021 17:55:20.928,423663,AM1V310 @324A36,73453,A9FC5B02E8FF,-855,603,-24
17/07/2021 17:55:20.988,423723,AM1V310 @324A36,73459,D0FDEF012100,-560,495,33
17/07/2021 17:55:21.018,423752,AM1V310 @324A36,73465,21FE910193FF,-479,401,-109
