timestamp,X (mg),Y (mg),Z (mg)
695951,-381,-853,-1
696006,-498,-862,-13
696036,-488,-855,28
696096,-310,-1104,134
696156,-340,-1172,222
696186,-397,-1514,-211
696246,-579,-1236,56
696306,-196,-891,-140
696336,-258,-910,-103
696396,-286,-825,7
696456,-233,-822,-55
696486,-261,-784,-103
696546,-294,-802,-18
696606,-343,-818,9
696667,-226,-942,6
696696,-223,-938,-7
696756,-314,-954,-66
696786,-307,-975,-98
696846,-231,-1052,-106
696906,-353,-1255,47
696966,-181,-1073,194
697026,-321,-1237,66
697056,-596,-1234,296
697086,-76,-843,-17
697146,-304,-826,38
697206,-440,-773,152
697236,-248,-777,54
697296,-356,-794,-85
697356,-334,-800,-5
697386,-370,-861,11
697446,-455,-913,75
697506,-495,-930,52
697566,-459,-858,28
697596,-336,-1109,127
697656,-415,-1159,235
697686,-218,-1486,-93
697746,-758,-1239,-174
697806,-227,-892,-31
697836,-198,-742,-129
697896,-218,-739,-22
697956,-158,-746,-41
698046,-287,-751,-33
698080,-216,-746,-62
698106,-262,-929,-44
698136,-308,-1002,-24
698196,-304,-882,-132
698256,-294,-1117,-107
698286,-245,-1287,382
698346,-242,-1406,96
698406,-728,-1338,232
698436,-108,-844,-39
698496,-242,-729,-33
698556,-341,-807,351
698616,-345,-761,37
698646,-361,-690,-78
698706,-400,-736,-90
698744,-489,-859,-6
698796,-508,-864,-8
698856,-429,-850,-53
698886,-326,-924,118
698946,-90,-1201,187
699006,-370,-1448,-72
699096,-667,-1342,-213
699129,-389,-1014,-4
699156,-216,-828,-112
699186,-329,-721,-65
699246,-204,-638,-59
699306,-209,-744,-160
699336,-358,-823,-38
699396,-256,-909,78
699456,-274,-984,-63
699485,-264,-951,-108
699546,-251,-943,-153
699606,-270,-1284,166
699636,-159,-1295,321
699696,-577,-1585,89
699757,-515,-1090,8
699786,-206,-808,-105
699846,-420,-789,208
699906,-256,-773,237
699936,-319,-753,82
699996,-343,-709,-172
700056,-414,-771,-20
700086,-453,-795,8
700146,-486,-864,-71
700206,-506,-828,-24
700236,-459,-1019,18
700296,-500,-1224,294
700386,-282,-1337,-52
700421,-747,-1425,-157
700446,-397,-1011,53
700506,-110,-744,-95
700536,-267,-623,-129
700596,-242,-576,-13
700656,-201,-726,-53
700686,-269,-743,24
700746,-268,-904,66
700836,-383,-977,-115
700868,-380,-883,-248
700896,-231,-1377,85
