timestamp,X (mg),Y (mg),Z (mg)
588760,-224,-811,133
588815,-175,-858,31
588844,-271,-871,20
588904,-357,-928,40
588965,-359,-963,-5
589054,-374,-904,-33
589084,-312,-953,76
589114,-149,-1186,41
589144,-273,-1308,26
589204,-180,-1465,-294
589265,-577,-1061,-94
589294,-105,-809,-134
589354,-165,-765,-148
589415,-172,-800,-57
589444,-133,-837,-122
589535,-219,-819,-60
589564,-147,-852,-148
589594,-104,-960,-101
589747,-201,-977,-201
589747,-180,-964,-125
589778,-207,-997,-153
589804,-163,-1239,77
589865,-166,-1252,148
589894,-144,-1162,-2
589954,-383,-1272,63
590015,-308,-1082,43
590044,-187,-839,0
590165,-298,-881,57
590203,-299,-818,91
590203,-201,-810,6
590254,-252,-809,26
590344,-258,-849,10
590375,-360,-872,-8
590404,-411,-922,-16
590464,-456,-921,21
590494,-259,-1070,50
590616,-182,-1272,138
590651,-40,-1382,-55
590651,-642,-1365,-251
590704,-298,-982,-5
590765,-57,-882,-144
590794,-206,-821,-22
590854,-111,-812,-63
590944,-124,-819,-80
590973,-218,-844,-67
591004,-189,-823,-92
591065,-174,-900,-55
591094,-201,-948,-71
591154,-152,-910,-102
591215,-173,-1034,-155
591275,-225,-1427,165
591304,-117,-1212,103
591365,-204,-1239,-14
591394,-499,-1244,111
591454,-181,-890,31
591515,-213,-838,60
591544,-274,-842,98
591604,-274,-813,65
591694,-238,-739,-41
591723,-272,-760,0
591754,-305,-851,62
591814,-368,-905,-2
591844,-399,-885,15
591905,-223,-1033,54
591995,-146,-1280,100
592027,-88,-1478,6
592054,-595,-1490,-216
592114,-271,-983,-45
592144,-96,-799,-140
592204,-183,-832,-56
592265,-108,-749,15
592294,-17,-624,-62
592356,-168,-737,-52
592415,-190,-934,-26
592444,-115,-978,-81
592504,-193,-963,-106
592565,-136,-997,-173
592594,-115,-1432,383
592655,-138,-1484,130
592715,-412,-1280,49
592774,-222,-1045,30
592804,-108,-902,165
592894,-81,-775,110
592922,-174,-842,14
592954,-236,-846,139
593014,-165,-787,2
593044,-260,-782,-72
593105,-381,-877,9
593165,-380,-898,21
593194,-454,-942,29
593286,-153,-1301,185
593318,-155,-1310,105
593344,-129,-1465,-144
593404,-613,-1244,-138
593465,-170,-954,20
593494,-66,-737,-72
593555,-164,-734,11
593615,-97,-624,-12
593674,-81,-610,12
593735,-132,-843,-52
593764,-103,-1035,-75
593794,-210,-1013,-59
593854,-213,-1103,-47
593944,-98,-1540,428
593974,-36,-1246,-22
594004,-417,-1325,39
594064,-394,-1203,139
594094,-143,-985,57
594185,-163,-700,198
594217,-124,-700,-65
594244,-159,-678,11
594304,-207,-810,72
594365,-311,-816,-93
594394,-478,-859,16
594515,-282,-982,71
594553,-261,-1507,-14
594554,-68,-1334,118
594604,-344,-1413,-227
594665,-445,-1095,-109
594694,-98,-832,-91
594785,-170,-753,-48
594815,-102,-733,-35
594844,-58,-787,-52
594904,-218,-845,-84
594965,-117,-840,-91
594994,-76,-894,-127
595055,-234,-954,-110
595115,-158,-1013,-112
595144,-164,-1343,303
595235,-52,-1287,115
595266,-334,-1443,-15
595294,-616,-1244,55
595354,-92,-913,-68
595415,-290,-824,111
595444,-220,-822,127
595535,-237,-811,44
595564,-267,-776,24
595594,-256,-769,2
595654,-266,-775,17
595715,-333,-861,0
595744,-434,-839,4
595804,-306,-979,51
595894,-125,-1395,214
595926,30,-1485,3
595954,-420,-1484,-262
596014,-349,-1071,35
596044,-30,-881,-111
596104,-177,-783,-43
596165,-79,-723,6
596225,-93,-774,-81
596254,-239,-842,-61
596315,-142,-863,-99
596344,-179,-902,-60
596405,-203,-964,-78
596464,-136,-962,-93
596616,-191,-903,-157
596704,-244,-1157,-87
596706,-90,-1297,277
596731,-71,-1356,22
596731,-529,-1255,0
596764,-199,-1009,-98
596794,-254,-919,19
596886,-279,-917,211
596914,-177,-966,0
596944,-378,-905,-50
597034,-326,-953,9
597090,-175,-824,-15
597101,-179,-787,-15
597154,-251,-752,11
597214,-294,-832,-46
597244,-387,-814,-16
597304,-426,-768,-25
597365,-341,-849,68
597394,-221,-1437,99
597486,-108,-1444,-13
597514,-380,-1439,-189
597544,-535,-1220,-112
597605,-66,-926,-33
597694,-106,-807,-59
597726,-120,-809,-53
597814,-125,-793,-97
597843,-171,-771,-168
597857,-273,-873,-105
597904,-200,-788,-115
597994,-138,-850,-148
597996,-162,-1009,-142
598054,-125,-916,-131
598115,-126,-1179,-108
598144,-116,-1380,431
598205,13,-1549,20
598265,-781,-1177,-1
598294,-260,-916,-110
598385,-276,-905,141
598414,-217,-877,163
598444,-229,-869,103
598504,-289,-798,73
598564,-252,-844,52
598594,-213,-775,-38
598655,-259,-785,-15
598715,-346,-904,75
598775,-337,-889,-15
598804,-474,-958,0
598865,-413,-930,-45
598894,-280,-1086,36
598955,-232,-1246,160
599015,94,-1474,-50
599104,-515,-1438,-132
599138,-244,-1039,81
599164,-98,-888,-54
599194,-148,-838,-52
599254,-232,-798,24
599314,-133,-843,-73
599375,-194,-741,-84
599405,-259,-784,-39
599464,-213,-874,-4
599524,-157,-969,-31
599554,-231,-968,-116
599614,-216,-831,-112
599645,-191,-1168,0
599735,-260,-1313,383
599764,-38,-1311,34
599795,-836,-1271,332
599854,-201,-1015,49
