timestamp,X (mg),Y (mg),Z (mg)
723793,-382,-930,49
723846,-376,-942,68
723906,-380,-950,66
723966,-364,-949,61
723996,-376,-946,43
724057,-382,-945,56
724086,-370,-953,46
724147,-358,-952,56
724207,-369,-940,42
724237,-381,-925,21
724297,-396,-946,39
724387,-358,-953,42
724447,-360,-956,41
724506,-363,-950,29
724530,-363,-949,37
724544,-365,-947,34
724596,-368,-941,33
724656,-361,-950,39
724687,-371,-951,40
724747,-371,-950,49
724807,-365,-948,51
724836,-365,-946,56
724957,-373,-947,51
724998,-368,-948,56
724998,-371,-944,56
725046,-366,-946,58
725106,-363,-945,57
725136,-360,-948,54
725201,-363,-951,51
725257,-360,-949,46
725317,-364,-949,44
725347,-359,-953,32
725406,-361,-948,40
725436,-372,-947,-6
725496,-362,-950,23
725556,-340,-948,-18
725587,-363,-945,0
725647,-359,-952,28
725737,-364,-951,26
725767,-361,-947,25
725796,-362,-946,19
725856,-363,-948,21
725887,-361,-950,16
725947,-359,-948,18
726006,-361,-947,13
726036,-356,-950,20
726127,-354,-951,18
726157,-359,-953,23
726217,-357,-955,19
726246,-352,-958,25
726307,-351,-961,28
726336,-365,-954,23
726396,-361,-942,30
726457,-358,-939,33
726486,-343,-948,50
726547,-347,-949,36
726607,-347,-947,42
726637,-359,-948,38
726697,-366,-950,36
726787,-363,-940,30
726819,-372,-954,26
726846,-363,-949,43
726907,-366,-960,43
726937,-359,-954,44
726996,-359,-947,44
727057,-368,-947,34
727086,-371,-947,40
727148,-370,-947,41
727207,-365,-956,52
727236,-358,-947,50
727327,-365,-948,49
727386,-363,-942,50
727408,-380,-946,42
727446,-383,-933,49
727506,-376,-941,54
727567,-358,-945,65
727596,-373,-939,66
727687,-367,-943,62
727716,-362,-938,64
727776,-370,-937,57
727837,-370,-941,55
727860,-365,-953,58
727896,-371,-957,60
727956,-379,-957,54
727986,-379,-950,46
728046,-382,-943,43
728107,-362,-940,40
728136,-361,-942,42
728227,-363,-943,40
728256,-360,-949,30
728286,-351,-954,39
728346,-342,-959,21
728407,-348,-960,20
728436,-348,-962,20
728496,-346,-960,7
728557,-345,-954,1
728587,-343,-954,13
728677,-337,-947,-78
728706,-334,-958,22
728745,-332,-961,27
728827,-332,-971,36
728857,-329,-968,46
728886,-337,-953,30
728946,-337,-961,45
729007,-333,-960,42
729067,-340,-955,38
729096,-345,-952,38
729157,-352,-954,36
729187,-355,-948,44
729246,-358,-948,29
729307,-364,-952,30
729336,-361,-948,29
729427,-371,-944,31
729456,-371,-951,30
729486,-367,-948,22
729546,-370,-953,14
729607,-377,-949,26
729636,-380,-941,9
729697,-380,-936,17
729757,-389,-935,13
729787,-389,-931,25
729877,-382,-938,34
729910,-388,-938,30
729936,-391,-929,37
729996,-398,-929,31
730087,-393,-934,31
730119,-385,-947,47
730146,-379,-943,46
730207,-360,-952,49
730236,-365,-947,41
730297,-351,-953,36
730478,-338,-966,37
730536,-342,-960,34
730536,-342,-965,45
730554,-355,-948,25
730554,-346,-957,30
730596,-337,-957,-11
730657,-354,-959,29
730687,-351,-958,27
730746,-356,-952,5
730807,-352,-949,23
730836,-346,-963,22
730897,-345,-957,13
730957,-353,-954,5
731046,-338,-952,13
731080,-354,-953,10
731137,-365,-943,3
731257,-367,-947,19
731258,-366,-943,8
731300,-343,-947,18
731300,-365,-944,22
731346,-368,-940,19
731407,-346,-956,31
731436,-352,-953,37
731496,-353,-953,28
731557,-342,-960,46
731617,-351,-963,37
731646,-361,-955,39
731707,-343,-950,40
731736,-355,-954,48
731797,-357,-954,54
731857,-363,-947,40
731887,-364,-944,39
731947,-358,-949,42
732007,-355,-949,45
732037,-360,-947,41
732097,-356,-950,47
732218,-347,-961,45
732259,-345,-967,47
732259,-342,-961,35
732307,-344,-954,29
732337,-348,-954,29
732397,-342,-954,20
732457,-340,-959,28
732486,-347,-953,24
732547,-345,-955,19
732667,-353,-950,38
732711,-358,-952,39
732711,-378,-945,25
732757,-375,-946,17
732787,-368,-947,34
732847,-370,-946,24
732907,-364,-947,20
732937,-369,-949,24
732996,-375,-947,29
733057,-364,-951,29
733087,-376,-948,27
733147,-366,-946,15
733207,-364,-953,23
733237,-366,-953,12
733297,-364,-939,15
733357,-357,-942,17
733386,-360,-953,22
733476,-358,-951,22
733502,-359,-954,19
733536,-364,-946,10
733597,-365,-942,11
733657,-353,-943,4
733687,-359,-951,38
733778,-352,-955,29
733810,-366,-950,25
733866,-363,-946,24
733896,-362,-949,33
733957,-365,-946,29
733987,-363,-949,34
734046,-359,-950,32
734107,-365,-950,37
734167,-369,-950,36
734227,-363,-947,49
734287,-369,-957,55
734309,-362,-948,36
734346,-374,-950,21
734407,-375,-945,30
734437,-389,-942,24
734496,-345,-952,53
734557,-333,-967,58
734617,-341,-954,38
734647,-338,-948,43
734767,-347,-954,43
734805,-349,-949,35
734806,-336,-962,58
734857,-360,-943,24
734917,-372,-945,19
734947,-367,-946,22
735007,-351,-947,20
735037,-357,-951,25
735097,-362,-953,11
735157,-352,-948,8
735187,-364,-947,11
735247,-366,-952,10
735307,-357,-952,0
735337,-363,-952,23
735429,-360,-949,16
735456,-350,-953,18
735486,-358,-945,20
735546,-378,-953,18
735608,-378,-951,28
735637,-370,-945,40
735697,-359,-957,46
735787,-372,-936,46
735820,-372,-946,68
735846,-389,-938,10
735907,-394,-941,17
735937,-350,-939,4
735996,-389,-943,26
736057,-388,-939,36
736087,-366,-976,53
736147,-379,-962,69
736207,-362,-948,0
736267,-348,-939,30
736296,-360,-958,68
736387,-362,-952,56
736419,-350,-946,28
736447,-369,-937,23
736507,-374,-944,44
736567,-371,-950,49
736596,-362,-953,47
736657,-368,-949,54
736687,-374,-943,57
736747,-369,-943,63
736807,-375,-943,48
736837,-366,-948,53
736897,-379,-947,55
736957,-381,-945,63
737017,-382,-939,49
737047,-393,-938,59
737107,-395,-934,51
737136,-392,-938,49
737197,-382,-946,60
737257,-379,-943,53
737317,-378,-939,51
737347,-381,-943,40
737407,-385,-944,49
737437,-394,-937,36
737496,-393,-945,40
737557,-382,-948,39
737587,-397,-935,31
737678,-393,-936,7
737707,-393,-938,22
737736,-381,-937,16
737797,-304,-937,15
737857,-517,-945,17
737887,-392,-940,0
737947,-385,-936,0
738006,-377,-940,-1
738037,-382,-940,9
738097,-380,-939,-1
738157,-363,-945,2
738186,-362,-946,2
738247,-373,-946,2
738307,-351,-950,18
738337,-340,-948,7
738397,-357,-947,37
738458,-362,-945,22
738486,-373,-949,34
738547,-383,-949,53
738607,-376,-948,23
738636,-368,-945,53
738727,-368,-945,46
738756,-352,-962,49
738786,-360,-954,50
738847,-348,-958,59
738907,-346,-953,43
738936,-347,-961,65
