timestamp,X (mg),Y (mg),Z (mg)
562899,-189,-1003,218
562954,-168,-1091,223
563014,-225,-1193,231
563074,-230,-1219,290
563104,-93,-1271,195
563164,-82,-1187,293
563194,109,-1084,72
563254,124,-893,14
563344,-6,-1015,-5
563377,-133,-921,34
563434,-77,-829,68
563463,30,-828,0
563493,-85,-836,15
563554,-128,-897,-10
563614,-187,-937,-47
563643,-128,-982,-1
563704,-140,-949,-58
563764,-198,-1039,-31
563793,-205,-1166,-49
563854,-237,-1341,116
563914,-158,-1537,84
563943,-238,-926,176
564063,29,-825,187
564105,-1,-1087,178
564106,-95,-951,164
564154,-105,-777,158
564214,-40,-802,222
564244,-69,-787,153
564334,-177,-841,155
564367,-229,-948,151
564393,-179,-987,197
564453,-184,-1055,211
564514,-199,-1142,278
564543,-186,-1281,261
564604,-65,-1320,342
564664,30,-1266,178
564693,28,-1060,146
564754,99,-858,80
564814,-44,-1026,-23
564844,-201,-880,101
564904,2,-683,54
564964,-37,-708,52
564993,-15,-858,67
565053,-69,-930,-14
565114,-167,-991,39
565144,-114,-1047,-38
565204,-187,-1064,-47
565264,-214,-1121,-71
565294,-252,-1198,65
565354,-88,-1584,180
565414,-219,-1065,216
565444,14,-899,154
565504,8,-1040,188
565564,-76,-925,168
565594,-75,-836,117
565654,-116,-751,88
565744,-156,-762,172
565775,-111,-869,150
565804,-139,-937,103
565864,-204,-982,104
565894,-251,-990,111
565954,-277,-1029,132
566014,-251,-1097,140
566134,-269,-1166,156
566177,-133,-1295,189
566177,-48,-1436,239
566194,14,-1257,206
566254,62,-992,54
566314,48,-971,-11
566344,-135,-1040,-9
566404,-123,-782,73
566464,9,-700,62
566493,-1,-756,18
566554,-31,-763,13
566614,-78,-866,-41
566643,-128,-995,-17
566704,-111,-1051,-33
566764,-130,-1081,-99
566793,-194,-1252,-99
566854,-85,-1534,171
566914,-123,-1218,52
566944,-114,-889,216
567004,41,-962,181
567064,-25,-973,141
567093,-75,-830,144
567154,-102,-783,125
567214,-76,-791,153
567243,-42,-896,100
567304,-116,-993,135
567364,-155,-1016,143
567394,-200,-995,141
567484,-152,-1034,161
567544,-193,-1101,194
567574,-214,-1190,179
567634,-113,-1217,265
567663,42,-1282,227
567694,78,-1180,134
567754,20,-943,18
567814,-174,-863,59
567844,-31,-855,22
567904,-25,-864,27
