timestamp,X (mg),Y (mg),Z (mg)
140520,161,-953,-204
140579,137,-932,-186
140640,232,-942,-160
140670,260,-936,-128
140730,223,-935,-163
140790,228,-939,-144
140819,249,-936,-139
140879,263,-947,-144
140940,222,-1044,-148
140969,249,-1191,-205
141030,73,-1190,-358
141090,29,-1022,-416
141119,19,-707,-406
141179,2,-861,-557
141240,-140,-908,-497
141269,41,-843,-214
141329,314,-794,-374
141389,216,-859,-270
141424,260,-850,-233
141479,295,-883,-290
141540,190,-972,-297
141569,194,-1058,-351
141629,350,-1118,-211
141690,289,-1085,-297
141719,5,-990,-503
141779,-168,-1171,-565
141840,132,-1228,-232
141869,380,-949,-253
141929,229,-662,-153
141990,23,-701,-118
142019,116,-740,-137
142079,65,-777,-51
142140,190,-890,-93
142170,245,-1141,-205
142229,173,-1332,108
142290,577,-1025,-204
142319,-416,-1148,-578
142379,3,-712,-673
142440,206,-879,-346
142469,3,-849,-223
142530,127,-708,-403
142590,300,-794,-188
142619,386,-844,-175
142679,338,-827,-242
142740,75,-960,-270
142770,168,-1050,-321
142829,221,-1231,-436
142890,90,-872,-187
142919,-12,-1464,-665
142979,135,-1266,-375
143040,438,-787,-192
143069,45,-579,-214
143129,-6,-649,-123
143190,102,-861,-157
143219,274,-745,-60
143279,179,-1006,-201
143340,547,-1356,-614
143369,723,-1314,-134
143429,506,-1113,-36
143489,-358,-1069,-615
143519,82,-782,-653
143579,85,-981,-166
143639,-123,-748,-165
143700,306,-721,-175
143730,392,-844,-56
143790,231,-861,-310
143819,109,-914,-251
143879,131,-1080,-19
143940,292,-1186,-240
143969,230,-1166,-278
144029,37,-1183,-297
144089,-39,-1340,-46
144119,376,-1045,-32
144179,200,-757,-145
144240,99,-647,-103
144269,81,-665,21
144329,185,-835,-20
144390,337,-883,-64
144419,177,-1060,-42
144480,153,-1389,-25
144540,513,-1536,-251
144569,50,-928,-520
144629,-281,-666,-134
144690,53,-896,-79
144719,287,-888,-173
144779,147,-911,-7
144840,222,-914,-32
144869,157,-945,0
144929,166,-979,-36
144990,131,-994,-9
145019,252,-1080,-181
145079,153,-1106,-271
145140,-110,-1030,-414
145169,-39,-1533,-88
145229,153,-1159,-198
145290,359,-753,-155
145319,-15,-730,-117
145379,-207,-446,543
145439,-34,-903,103
145469,199,-736,-141
145530,238,-1031,55
145590,105,-1265,-7
145619,480,-1304,-121
145679,410,-1171,-203
145740,-506,-1249,-774
145769,217,-835,-683
145830,-138,-963,-66
145918,45,-717,-332
145947,404,-686,-208
145979,347,-830,-103
146040,423,-868,-176
146069,329,-814,-136
146129,232,-897,-167
146190,366,-1080,-283
146219,216,-1075,-369
146279,-83,-990,-486
146340,-401,-1480,-165
146370,411,-1391,-202
146429,628,-896,-210
146490,146,-635,-80
146519,11,-647,-77
146580,89,-714,-57
146640,168,-767,-93
146669,309,-934,-146
146729,91,-1173,-297
146790,476,-1264,86
146819,527,-949,-291
146879,-479,-1449,-458
146940,20,-895,-778
146980,241,-1149,46
147029,106,-744,-293
147090,361,-628,-42
147119,398,-722,-5
147179,498,-668,-111
147240,209,-788,-219
147269,147,-1127,-306
147329,409,-1188,-265
147390,318,-947,-225
147419,-172,-1307,-352
147479,101,-1736,-270
147540,648,-961,-265
147569,273,-612,-90
147629,51,-572,-165
147690,85,-541,-106
147719,200,-665,-154
147780,272,-993,-240
147840,-8,-1370,-257
147869,712,-1200,-307
147929,12,-1149,-720
147990,-187,-961,-917
148019,-25,-1249,-185
148080,-70,-852,-434
148140,199,-564,-127
148169,410,-607,-21
148229,374,-680,-227
148289,196,-851,-66
148319,296,-1029,-127
148379,620,-1148,-164
148440,139,-1188,-370
148469,-276,-1454,-269
148529,193,-1436,-353
148590,534,-995,-157
148619,320,-497,-39
148680,-49,-497,-203
148740,42,-607,-77
148769,170,-809,-40
148830,260,-1017,-95
148890,414,-1360,-301
148919,620,-1350,-92
148980,276,-1348,-320
149040,-462,-1127,-911
149069,329,-796,-586
149130,84,-930,-40
149219,-91,-759,-349
149251,294,-616,-176
149279,439,-761,-83
149340,427,-832,-198
149369,92,-1042,-69
149430,407,-1100,-311
149490,468,-1222,-287
149529,-69,-920,-393
149580,-149,-1473,-492
149640,98,-1416,-218
149669,552,-770,-181
149730,238,-395,-45
149790,-20,-543,-274
149819,11,-698,-185
149880,186,-906,-94
149940,209,-1080,-133
149969,98,-1622,75
150030,643,-1109,-546
150090,-341,-960,-723
150119,187,-754,-591
150180,198,-902,-341
150240,-114,-818,-292
150269,262,-629,-186
150330,376,-761,-170
150390,392,-754,-134
150419,157,-852,-276
150479,161,-1147,-304
150540,585,-1140,-286
150568,341,-1258,-445
150630,-167,-957,-525
150689,-188,-1318,-462
150719,243,-1267,-280
150780,485,-770,-225
150840,158,-516,-171
150869,-59,-610,-174
150931,75,-658,-164
150989,178,-755,-125
151019,209,-1164,-312
151081,206,-1456,-147
151140,734,-1559,-418
151169,-85,-1126,-773
151230,-143,-822,-734
151290,304,-899,-271
151319,-215,-851,-381
151379,170,-571,-222
151439,355,-708,-122
151469,425,-787,-141
151529,252,-907,-200
151589,120,-1155,-154
151619,383,-1137,-375
151680,278,-1234,-257
151739,-52,-981,-530
151769,-37,-1430,-489
151830,143,-1298,-309
151890,411,-616,-116
151919,173,-532,-279
151980,-9,-622,-215
152039,111,-710,-101
152069,203,-842,-69
152130,272,-1044,-147
152189,208,-1551,-48
152219,733,-1485,-488
152280,-354,-894,-689
152340,9,-890,-632
152369,257,-871,-494
152430,-269,-840,-195
152490,229,-600,-261
152519,324,-720,-123
152580,388,-760,-85
152639,254,-833,-313
152669,-5,-1189,-245
152730,639,-1214,-324
152790,454,-1156,-453
152819,-245,-874,-449
152879,-224,-1372,-388
152940,221,-1455,-314
152969,504,-796,-186
153029,178,-372,-54
153090,-11,-535,-184
153119,116,-671,-89
153180,278,-929,-205
153240,194,-1095,-214
153269,156,-1453,12
153329,626,-1256,-490
153390,-480,-998,-660
153419,65,-742,-521
153480,165,-951,-461
153539,-266,-799,-245
153569,259,-594,-236
153630,480,-762,-197
153689,422,-814,-112
153719,321,-814,-242
153780,87,-1126,-178
153839,457,-1089,-284
153869,269,-1234,-505
153930,-127,-1019,-503
153990,-86,-1574,-392
154019,249,-1205,-253
154080,476,-600,-185
154139,97,-482,-107
154169,-17,-589,-179
154230,160,-695,-71
154290,325,-931,-126
154319,256,-1164,-272
154380,303,-1349,195
154409,283,-1100,-340
154469,-445,-1073,-620
154529,146,-852,-466
154560,54,-943,-258
154619,-219,-686,-414
154680,378,-576,-51
154710,470,-751,-120
154769,455,-805,-175
154830,189,-935,-268
154859,248,-1090,-232
154919,425,-1231,-245
154980,50,-910,-193
155009,-82,-1390,-523
155069,141,-1515,-339
155130,487,-915,-181
155159,243,-501,-110
155219,-11,-490,-119
155280,46,-552,-96
155309,243,-773,-88
155369,294,-1130,-187
155430,243,-1471,-201
155459,867,-1522,-274
155519,-128,-1099,-716
155580,-380,-939,-932
155609,279,-912,-442
155669,-80,-901,-225
155730,27,-671,-269
155759,323,-662,-95
155819,431,-736,-132
155880,321,-840,-232
155909,133,-1138,-154
155970,560,-1131,-220
156030,411,-1268,-342
156059,-134,-1019,-459
156119,-171,-1530,-438
156180,153,-1306,-296
156209,226,-696,-311
156269,-127,-529,-263
156330,-47,-618,-57
156359,205,-649,-33
156419,308,-809,-86
156480,-258,-1215,164
156509,137,-1267,-43
156569,302,-1516,-66
156630,328,-1054,-597
156659,195,-822,-659
156719,-83,-970,-159
156780,-39,-812,13
156809,-475,-581,74
156869,185,-806,-294
156930,644,-788,-273
156959,137,-938,-190
157019,50,-1158,-248
157080,502,-1193,-161
157110,7,-1070,-356
157169,1,-1224,-464
157230,19,-1522,-290
157259,337,-976,-164
157319,275,-604,-182
157379,68,-468,-129
157409,17,-626,-119
157469,134,-794,44
157530,285,-1029,-58
157559,111,-1233,-322
157619,338,-1504,-75
157680,204,-1492,-407
157709,-328,-958,-864
157769,219,-953,-319
157830,13,-937,-129
157859,78,-633,-303
157919,366,-661,-111
157979,306,-812,-113
158009,337,-855,-171
158069,209,-955,-18
158130,327,-1078,-409
158159,55,-1348,-377
158219,18,-999,-356
158280,-10,-1486,-639
158309,288,-1244,-320
158369,400,-637,-234
158430,122,-584,-166
158459,-44,-601,-95
158519,129,-667,-134
158580,185,-831,-71
158609,329,-1059,-198
158669,238,-1440,21
158730,1111,-1554,-514
158759,-416,-1181,-710
158819,-81,-894,-660
158880,201,-863,-294
158909,-141,-908,-370
158969,135,-614,-253
159030,278,-721,-147
159059,375,-832,-185
159119,320,-800,-172
159180,277,-965,-223
159209,446,-1159,-245
159270,272,-1221,-342
159329,-109,-1086,-715
159359,-432,-1321,-469
159419,163,-1257,-147
159480,254,-821,-145
159509,152,-575,-102
159569,73,-560,-68
159630,110,-664,-24
159659,146,-859,-69
159719,199,-1085,-283
159780,136,-1402,180
159809,897,-1500,-467
159869,-485,-1063,-592
159930,142,-886,-821
159959,195,-973,-401
160019,-230,-825,-154
160079,178,-555,-308
160109,226,-705,-113
160169,285,-871,-142
160229,318,-885,-240
160259,154,-1078,-223
160319,355,-1241,-243
160379,267,-1232,-359
160409,-128,-1041,-519
160469,-219,-1232,-347
160530,273,-1386,-210
160559,422,-892,-164
160619,145,-471,-136
160679,-34,-591,-101
160709,58,-707,-84
160769,158,-866,-63
160830,106,-1114,-80
160859,189,-1618,-246
160920,859,-1469,-399
160980,-39,-1138,-642
161009,-627,-998,-936
161069,254,-914,-245
161130,39,-891,-199
161159,3,-630,-187
161219,143,-672,-184
161280,321,-792,-89
161309,335,-833,-173
161369,91,-1138,-278
161459,381,-1230,-219
161491,260,-1376,-440
161519,-293,-1130,-489
161579,-412,-1450,-166
161609,144,-1224,-107
161669,178,-777,-111
161729,329,-462,-70
161759,-65,-639,-103
161820,262,-823,-4
161879,163,-909,-30
161909,246,-1004,-206
161969,151,-1433,-81
162030,429,-1392,-47
