Logged started on,24/07/2021 18:26:10
Feature,Accelerometer
Nodes,AM1V310 @324A36

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
24/07/2021 18:35:58.957,588760,AM1V310 @324A36,100057,20FFD5FC8500,-224,-811,133
24/07/2021 18:35:59.018,588815,AM1V310 @324A36,100063,51FFA6FC1F00,-175,-858,31
24/07/2021 18:35:59.047,588844,AM1V310 @324A36,100069,F1FE99FC1400,-271,-871,20
24/07/2021 18:35:59.107,588904,AM1V310 @324A36,100075,9BFE60FC2800,-357,-928,40
24/07/2021 18:35:59.168,588965,AM1V310 @324A36,100082,99FE3DFCFBFF,-359,-963,-5
24/07/2021 18:35:59.257,589054,AM1V310 @324A36,100088,8AFE78FCDFFF,-374,-904,-33
24/07/2021 18:35:59.287,589084,AM1V310 @324A36,100094,C8FE47FC4C00,-312,-953,76
24/07/2021 18:35:59.317,589114,AM1V310 @324A36,100100,6BFF5EFB2900,-149,-1186,41
24/07/2021 18:35:59.347,589144,AM1V310 @324A36,100107,EFFEE4FA1A00,-273,-1308,26
24/07/2021 18:35:59.407,589204,AM1V310 @324A36,100113,4CFF47FADAFE,-180,-1465,-294
24/07/2021 18:35:59.468,589265,AM1V310 @324A36,100119,BFFDDBFBA2FF,-577,-1061,-94
24/07/2021 18:35:59.497,589294,AM1V310 @324A36,100125,97FFD7FC7AFF,-105,-809,-134
24/07/2021 18:35:59.557,589354,AM1V310 @324A36,100132,5BFF03FD6CFF,-165,-765,-148
24/07/2021 18:35:59.617,589415,AM1V310 @324A36,100138,54FFE0FCC7FF,-172,-800,-57
24/07/2021 18:35:59.647,589444,AM1V310 @324A36,100144,7BFFBBFC86FF,-133,-837,-122
24/07/2021 18:35:59.737,589535,AM1V310 @324A36,100150,25FFCDFCC4FF,-219,-819,-60
24/07/2021 18:35:59.767,589564,AM1V310 @324A36,100157,6DFFACFC6CFF,-147,-852,-148
24/07/2021 18:35:59.797,589594,AM1V310 @324A36,100163,98FF40FC9BFF,-104,-960,-101
24/07/2021 18:35:59.948,589747,AM1V310 @324A36,100175,37FF2FFC37FF,-201,-977,-201
24/07/2021 18:35:59.947,589747,AM1V310 @324A36,100169,4CFF3CFC83FF,-180,-964,-125
24/07/2021 18:35:59.981,589778,AM1V310 @324A36,100182,31FF1BFC67FF,-207,-997,-153
24/07/2021 18:36:00.007,589804,AM1V310 @324A36,100188,5DFF29FB4D00,-163,-1239,77
24/07/2021 18:36:00.068,589865,AM1V310 @324A36,100194,5AFF1CFB9400,-166,-1252,148
24/07/2021 18:36:00.097,589894,AM1V310 @324A36,100200,70FF76FBFEFF,-144,-1162,-2
24/07/2021 18:36:00.157,589954,AM1V310 @324A36,100207,81FE08FB3F00,-383,-1272,63
24/07/2021 18:36:00.218,590015,AM1V310 @324A36,100213,CCFEC6FB2B00,-308,-1082,43
24/07/2021 18:36:00.247,590044,AM1V310 @324A36,100219,45FFB9FC0000,-187,-839,0
24/07/2021 18:36:00.367,590165,AM1V310 @324A36,100225,D6FE8FFC3900,-298,-881,57
24/07/2021 18:36:00.406,590203,AM1V310 @324A36,100232,D5FECEFC5B00,-299,-818,91
24/07/2021 18:36:00.407,590203,AM1V310 @324A36,100238,37FFD6FC0600,-201,-810,6
24/07/2021 18:36:00.457,590254,AM1V310 @324A36,100244,04FFD7FC1A00,-252,-809,26
24/07/2021 18:36:00.547,590344,AM1V310 @324A36,100250,FEFEAFFC0A00,-258,-849,10
24/07/2021 18:36:00.578,590375,AM1V310 @324A36,100257,98FE98FCF8FF,-360,-872,-8
24/07/2021 18:36:00.607,590404,AM1V310 @324A36,100263,65FE66FCF0FF,-411,-922,-16
24/07/2021 18:36:00.668,590464,AM1V310 @324A36,100269,38FE67FC1500,-456,-921,21
24/07/2021 18:36:00.697,590494,AM1V310 @324A36,100275,FDFED2FB3200,-259,-1070,50
24/07/2021 18:36:00.817,590616,AM1V310 @324A36,100282,4AFF08FB8A00,-182,-1272,138
24/07/2021 18:36:00.854,590651,AM1V310 @324A36,100288,D8FF9AFAC9FF,-40,-1382,-55
24/07/2021 18:36:00.854,590651,AM1V310 @324A36,100294,7EFDABFA05FF,-642,-1365,-251
