timestamp,accX,accY,accZ,class
48100.0,1925,2386,1983,walking
48101.0,1925,2389,1983,walking
48102.0,1923,2393,1985,walking
48103.0,1918,2386,1980,walking
48104.0,1922,2393,1978,walking
48105.0,1918,2383,1987,walking
48106.0,1927,2385,1984,walking
48107.0,1927,2384,1986,walking
48108.0,1922,2391,1985,walking
48109.0,1919,2389,1986,walking
48110.0,1935,2379,1987,walking
48111.0,1931,2382,1987,walking
48112.0,1924,2387,1982,walking
48113.0,1923,2390,1986,walking
48114.0,1929,2383,1983,walking
48115.0,1928,2383,1987,walking
48116.0,1927,2389,1983,walking
48117.0,1921,2386,1992,walking
48118.0,1921,2390,1989,walking
48119.0,1924,2380,1989,walking
48120.0,1921,2387,1990,walking
48121.0,1924,2384,1988,walking
48122.0,1925,2387,1981,walking
48123.0,1926,2386,1985,walking
48124.0,1925,2387,1987,walking
48125.0,1922,2386,1979,walking
48126.0,1925,2383,1986,walking
48127.0,1926,2388,1982,walking
48128.0,1926,2384,1983,walking
48129.0,1929,2383,1989,walking
48130.0,1923,2390,1989,walking
48131.0,1921,2389,1980,walking
48132.0,1918,2393,1987,walking
48133.0,1925,2386,1983,walking
48134.0,1924,2387,1981,walking
48135.0,1923,2385,1984,walking
48136.0,1924,2385,1987,walking
48137.0,1922,2390,1987,walking
48138.0,1924,2384,1992,walking
48139.0,1926,2393,1983,walking
48140.0,1923,2392,1976,walking
48141.0,1926,2391,1978,walking
48142.0,1922,2389,1987,walking
48143.0,1920,2386,1975,walking
48144.0,1925,2385,1980,walking
48145.0,1926,2385,1979,walking
48146.0,1922,2384,1985,walking
48147.0,1923,2382,1983,walking
48148.0,1928,2383,1984,walking
48149.0,1927,2384,1983,walking
48150.0,1922,2385,1977,walking
48151.0,1924,2389,1983,walking
48152.0,1928,2388,1983,walking
48153.0,1921,2387,1983,walking
48154.0,1918,2385,1978,walking
48155.0,1925,2383,1980,walking
48156.0,1922,2387,1979,walking
48157.0,1923,2387,1979,walking
48158.0,1920,2386,1975,walking
48159.0,1929,2388,1983,walking
48160.0,1920,2378,1980,walking
