timestamp,accX,accY,accZ,class
76599.0,2016,2389,1918,walk-talk
76600.0,1994,2400,1900,walk-talk
76601.0,1991,2423,1909,walk-talk
76602.0,2010,2417,1938,walk-talk
76603.0,2041,2407,1915,walk-talk
76604.0,2065,2411,1918,walk-talk
76605.0,2063,2416,1907,walk-talk
76606.0,2067,2375,1898,walk-talk
76607.0,2043,2381,1916,walk-talk
76608.0,2020,2396,1934,walk-talk
76609.0,2009,2396,1938,walk-talk
76610.0,2014,2405,1941,walk-talk
76611.0,2032,2411,1914,walk-talk
76612.0,2075,2402,1879,walk-talk
76613.0,2099,2406,1883,walk-talk
76614.0,2084,2410,1892,walk-talk
76615.0,2085,2381,1902,walk-talk
76616.0,2043,2374,1926,walk-talk
76617.0,2026,2379,1932,walk-talk
76618.0,2022,2377,1934,walk-talk
76619.0,1985,2403,1933,walk-talk
76620.0,1991,2417,1919,walk-talk
76621.0,1996,2433,1904,walk-talk
76622.0,2025,2414,1907,walk-talk
76623.0,2071,2394,1908,walk-talk
76624.0,2091,2382,1890,walk-talk
76625.0,2087,2374,1888,walk-talk
76626.0,2066,2377,1889,walk-talk
76627.0,2049,2387,1891,walk-talk
76628.0,2028,2392,1903,walk-talk
76629.0,2021,2399,1900,walk-talk
76630.0,2014,2395,1905,walk-talk
76631.0,2024,2396,1903,walk-talk
76632.0,2022,2396,1901,walk-talk
76633.0,2019,2400,1886,walk-talk
76634.0,2024,2403,1889,walk-talk
76635.0,2041,2382,1887,walk-talk
76636.0,2052,2379,1894,walk-talk
76637.0,2059,2386,1893,walk-talk
76638.0,2062,2383,1890,walk-talk
76639.0,2059,2399,1908,walk-talk
76640.0,2024,2413,1902,walk-talk
76641.0,2026,2406,1886,walk-talk
76642.0,2025,2389,1908,walk-talk
76643.0,2020,2385,1921,walk-talk
76644.0,2020,2387,1913,walk-talk
76645.0,2034,2377,1907,walk-talk
76646.0,2010,2382,1902,walk-talk
76647.0,2010,2381,1907,walk-talk
76648.0,2015,2376,1915,walk-talk
76649.0,2015,2371,1910,walk-talk
76650.0,2009,2378,1897,walk-talk
76651.0,2021,2379,1903,walk-talk
76652.0,2016,2386,1906,walk-talk
76653.0,2012,2389,1904,walk-talk
76654.0,2019,2392,1907,walk-talk
76655.0,2020,2385,1904,walk-talk
76656.0,2022,2382,1917,walk-talk
76657.0,2024,2376,1920,walk-talk
76658.0,2027,2381,1918,walk-talk
76659.0,2030,2384,1927,walk-talk
76660.0,2026,2387,1922,walk-talk
76661.0,2032,2392,1932,walk-talk
76662.0,2030,2395,1924,walk-talk
76663.0,2039,2403,1920,walk-talk
76664.0,2052,2409,1918,walk-talk
76665.0,2048,2418,1913,walk-talk
76666.0,2046,2430,1917,walk-talk
76667.0,2071,2437,1919,walk-talk
76668.0,2069,2447,1934,walk-talk
76669.0,2076,2447,1943,walk-talk
76670.0,2018,2378,1951,walk-talk
76671.0,2021,2377,1951,walk-talk
76672.0,2022,2377,1952,walk-talk
76673.0,2025,2378,1951,walk-talk
76674.0,2025,2375,1951,walk-talk
76675.0,2025,2373,1950,walk-talk
76676.0,2027,2372,1948,walk-talk
76677.0,2021,2379,1940,walk-talk
76678.0,2037,2378,1937,walk-talk
76679.0,2036,2377,1927,walk-talk
76680.0,2043,2369,1911,walk-talk
76681.0,2039,2376,1910,walk-talk
76682.0,2047,2382,1906,walk-talk
76683.0,2044,2391,1893,walk-talk
