timestamp,accX,accY,accZ,class
36090.0,2101,2541,2018,standing-up
36091.0,2102,2542,2020,standing-up
36092.0,2097,2537,2017,standing-up
36093.0,2102,2539,2013,standing-up
36094.0,2097,2538,2018,standing-up
36095.0,2095,2542,2015,standing-up
36096.0,2099,2535,2013,standing-up
36097.0,2098,2545,2018,standing-up
36098.0,2105,2541,2009,standing-up
36099.0,2097,2543,2013,standing-up
36100.0,2097,2541,2018,standing-up
36101.0,2104,2541,2013,standing-up
36102.0,2102,2539,2015,standing-up
36103.0,2097,2541,2015,standing-up
36104.0,2096,2538,2011,standing-up
36105.0,2095,2538,2015,standing-up
36106.0,2095,2542,2017,standing-up
36107.0,2094,2540,2016,standing-up
36108.0,2094,2545,2007,standing-up
36109.0,2096,2545,2013,standing-up
36110.0,2103,2542,2016,standing-up
36111.0,2097,2545,2024,standing-up
36112.0,2091,2536,2022,standing-up
36113.0,2097,2537,2018,standing-up
36114.0,2103,2529,2007,standing-up
36115.0,2102,2535,2012,standing-up
36116.0,2099,2536,2014,standing-up
36117.0,2100,2537,2020,standing-up
36118.0,2090,2539,2014,standing-up
36119.0,2097,2538,2018,standing-up
36120.0,2102,2543,2020,standing-up
36121.0,2101,2541,2016,standing-up
36122.0,2096,2548,2010,standing-up
36123.0,2093,2545,2014,standing-up
36124.0,2091,2544,2014,standing-up
36125.0,2088,2540,2018,standing-up
36126.0,2091,2542,2021,standing-up
36127.0,2093,2542,2025,standing-up
36128.0,2101,2543,2024,standing-up
36129.0,2099,2546,2015,standing-up
36130.0,2095,2543,2024,standing-up
36131.0,2093,2535,2025,standing-up
36132.0,2094,2531,2023,standing-up
36133.0,2096,2531,2023,standing-up
36134.0,2098,2537,2015,standing-up
36135.0,2105,2543,2014,standing-up
36136.0,2103,2547,2014,standing-up
36137.0,2105,2546,2012,standing-up
36138.0,2098,2540,2014,standing-up
36139.0,2102,2535,2018,standing-up
36140.0,2093,2539,2016,standing-up
36141.0,2107,2537,2011,standing-up
36142.0,2098,2538,2011,standing-up
36143.0,2106,2538,2007,standing-up
