user-id,timestamp,accX,accY,accZ,ActivityEncoded
24,15682931619000,1.42,5.13,-0.53,Upstairs
24,15683011484000,6.36,7.82,-4.02,Upstairs
24,15683051523000,7.63,6.13,-1.99,Upstairs
24,15683091501000,3.02,7.35,0.27,Upstairs
24,15683131510000,0.3,7.06,0.99,Upstairs
24,15683211466000,5.01,6.05,-1.76,Upstairs
24,15683251627000,3.45,6.85,-1.27,Upstairs
24,15683291513000,2.22,7.35,-1.54,Upstairs
24,15683331522000,4.25,17.43,-3.72,Upstairs
24,15683391214000,10.99,17.43,-3.72,Upstairs
24,15683432077000,4.37,3.26,0.23,Upstairs
24,15683511942000,3.15,9.04,-1.42,Upstairs
24,15683551523000,1.57,7.55,-1.65,Upstairs
24,15683591470000,1.5,5.98,-1.92,Upstairs
24,15683631510000,3.06,5.63,-1.99,Upstairs
24,15683711496000,4.37,6.89,-2.98,Upstairs
24,15683751535000,4.56,7.4,-2.41,Upstairs
24,15683791330000,4.18,9.23,-2.07,Upstairs
24,15683831339000,3.91,13.82,0.19,Upstairs
24,15683911508000,10.27,9.66,-0.15,Upstairs
24,15683951517000,6.28,10.8,0.0,Upstairs
24,15683991464000,2.11,11.99,2.56,Upstairs
24,15684031656000,4.79,10.57,-5.22,Upstairs
24,15684111521000,3.68,8.81,-2.26,Upstairs
24,15684151499000,3.91,7.12,2.14,Upstairs
24,15684191477000,2.03,6.44,0.5,Upstairs
24,15684231546000,0.65,4.6,-2.18,Upstairs
24,15684311502000,3.41,5.01,0.72,Upstairs
24,15684352060000,4.4,5.94,-0.23,Upstairs
24,15684391641000,1.88,5.98,-1.42,Upstairs
24,15684431467000,1.12,15.13,-3.6,Upstairs
24,15684511484000,13.44,16.17,-4.37,Upstairs
24,15684551523000,6.7,1.95,0.04,Upstairs
24,15684591470000,1.65,4.25,0.76,Upstairs
24,15684631540000,2.41,8.58,-0.99,Upstairs
24,15684711466000,2.3,6.05,-1.57,Upstairs
24,15684751505000,3.79,5.56,-2.07,Upstairs
24,15684791513000,4.9,5.43,-1.88,Upstairs
24,15684831522000,5.18,8.58,-2.41,Upstairs
24,15684911508000,3.02,11.41,1.99,Upstairs
24,15684951486000,5.28,12.07,-1.14,Upstairs
24,15684991464000,6.55,11.11,-2.41,Upstairs
24,15685031503000,6.47,8.81,0.04,Upstairs
24,15685111521000,4.86,9.92,-0.84,Upstairs
24,15685151499000,2.91,11.65,-1.23,Upstairs
24,15685191477000,4.44,10.19,-2.34,Upstairs
24,15685231638000,7.59,9.77,1.08,Upstairs
24,15685311502000,1.27,7.93,-0.69,Upstairs
24,15685431284000,5.82,4.4,-0.53,Upstairs
24,15685431284000,5.82,4.4,-0.53,Upstairs
24,15685431284000,5.82,5.71,-1.12,Upstairs
24,15685511453000,0.0,7.01,-4.06,Upstairs
24,15685551462000,-0.15,2.45,-3.79,Upstairs
24,15685591501000,4.56,9.34,-3.57,Upstairs
24,15685631937000,12.41,2.98,-0.5,Upstairs
24,15685711496000,5.56,6.51,-1.73,Upstairs
24,15685751627000,4.99,9.58,-2.22,Upstairs
24,15685791513000,2.34,6.24,-0.99,Upstairs
24,15685831522000,2.22,5.01,-1.88,Upstairs
24,15685911508000,4.9,6.89,-2.34,Upstairs
24,15685952066000,5.67,6.63,-3.57,Upstairs
24,15685991464000,5.67,7.78,-4.29,Upstairs
24,15686031503000,5.52,10.23,-2.34,Upstairs
24,15686111521000,7.4,8.77,2.75,Upstairs
24,15686151468000,8.43,10.8,0.3,Upstairs
24,15686191446000,6.32,10.65,-1.69,Upstairs
24,15686231516000,6.93,7.89,-3.87,Upstairs
24,15686311472000,3.95,8.58,4.33,Upstairs
24,15686351511000,0.57,8.69,-0.23,Upstairs
24,15686391489000,-0.76,6.05,-3.83,Upstairs
24,15686431497000,2.49,4.56,1.8,Upstairs
24,15686511514000,3.83,6.24,-2.11,Upstairs
24,15686551645000,-0.34,6.17,-2.87,Upstairs
24,15686591501000,0.19,3.45,-1.8,Upstairs
24,15686631662000,7.82,15.89,-1.18,Upstairs
24,15686711496000,9.49,5.71,-1.92,Upstairs
24,15686751505000,6.47,6.4,-1.18,Upstairs
24,15686791513000,2.03,9.04,-0.84,Upstairs
24,15686831522000,1.88,4.67,-0.46,Upstairs
24,15686911508000,3.02,4.56,-0.72,Upstairs
24,15686952097000,5.28,7.08,-1.42,Upstairs
24,15686991464000,5.43,6.74,-2.53,Upstairs
24,15687031656000,4.9,11.35,-0.04,Upstairs
24,15687111521000,7.55,13.25,2.03,Upstairs
24,15687151499000,8.77,8.62,-1.65,Upstairs
24,15687191477000,7.16,7.67,1.73,Upstairs
24,15687231516000,6.59,10.99,-0.65,Upstairs
24,15687311502000,5.28,6.97,-3.64,Upstairs
24,15687352182000,4.02,7.25,-4.71,Upstairs
24,15687391519000,1.27,9.53,-4.94,Upstairs
24,15687431467000,-0.8,8.43,-0.38,Upstairs
24,15687511606000,0.65,6.55,-0.15,Upstairs
24,15687551492000,5.56,6.21,-0.72,Upstairs
24,15687591470000,4.29,7.5,-0.84,Upstairs
24,15687631540000,1.99,7.01,-0.72,Upstairs
24,15687711618000,0.76,7.12,0.34,Upstairs
24,15687751505000,0.95,6.7,-0.08,Upstairs
24,15687791483000,5.48,12.45,9.34,Upstairs
24,15687831674000,12.26,11.73,-6.55,Upstairs
24,15687911478000,4.37,8.05,-0.76,Upstairs
24,15687952066000,1.73,3.02,0.46,Upstairs
24,15687991586000,4.29,8.43,-0.76,Upstairs
24,15688031534000,3.53,8.2,-4.4,Upstairs
24,15688111521000,1.73,8.28,-2.22,Upstairs
24,15688152048000,2.56,10.65,3.57,Upstairs
24,15688191599000,1.76,12.91,6.28,Upstairs
24,15688261698000,4.56,6.89,-3.3,Upstairs
24,15688301523000,4.59,5.98,-4.18,Upstairs
24,15688341501000,4.99,6.32,-2.72,Upstairs
24,15688381540000,5.05,7.78,-0.89,Upstairs
24,15688461435000,5.6,10.84,-0.53,Upstairs
24,15688501474000,7.5,9.89,-1.92,Upstairs
24,15688541513000,7.89,6.36,-0.95,Upstairs
24,15688581583000,7.21,8.31,-1.61,Upstairs
24,15688661508000,7.44,11.96,-5.33,Upstairs
24,15688701639000,4.86,12.76,-8.66,Upstairs
24,15688741525000,5.82,10.8,-6.44,Upstairs
24,15688781687000,6.4,8.89,-3.91,Upstairs
24,15688821543000,6.89,8.89,-3.91,Upstairs
24,15688911478000,5.94,7.63,-2.45,Upstairs
24,15688952036000,-1.08,4.6,-0.34,Upstairs
24,15688991464000,-0.89,1.46,1.42,Upstairs
24,15689031534000,1.04,4.06,1.38,Upstairs
24,15689111490000,8.39,3.34,-0.8,Upstairs
24,15689152048000,19.0,18.47,-5.05,Upstairs
24,15689191446000,6.85,3.02,0.89,Upstairs
24,15689231546000,-2.15,1.46,-2.34,Upstairs
24,15689311624000,4.86,11.37,-1.65,Upstairs
24,15689352060000,2.18,4.44,0.23,Upstairs
24,15689391641000,3.68,6.17,-0.31,Upstairs
24,15689431497000,5.86,6.59,-1.38,Upstairs
24,15689511575000,6.63,5.13,-3.53,Upstairs
24,15689551523000,7.74,6.89,-3.83,Upstairs
24,15689591501000,7.7,10.5,-2.22,Upstairs
24,15689631479000,6.02,10.42,3.79,Upstairs
24,15689711496000,9.15,4.33,2.14,Upstairs
24,15689752207000,5.28,6.13,-2.22,Upstairs
24,15689791513000,7.35,8.54,-4.06,Upstairs
24,15689831674000,10.27,11.54,-4.29,Upstairs
24,15689911508000,3.15,10.73,1.57,Upstairs
24,15689951517000,-0.76,7.7,0.46,Upstairs
24,15689991464000,1.18,4.79,-1.33,Upstairs
24,15690031473000,5.71,2.96,0.95,Upstairs
24,15690111521000,-0.11,5.75,-2.53,Upstairs
24,15690152048000,0.65,2.64,-2.15,Upstairs
24,15690191477000,4.94,13.33,-2.03,Upstairs
24,15690231638000,11.45,3.17,-1.95,Upstairs
24,15690311502000,5.82,6.93,-1.5,Upstairs
24,15690352060000,3.53,9.38,-1.5,Upstairs
24,15690391611000,2.22,7.31,-0.89,Upstairs
24,15690481790000,3.79,4.48,-1.54,Upstairs
24,15690481790000,3.79,4.48,-1.54,Upstairs
24,15690561472000,7.93,5.86,-3.64,Upstairs
24,15690601633000,11.03,10.19,-1.73,Upstairs
24,15690641519000,12.07,12.53,11.84,Upstairs
24,15690681528000,6.66,13.4,0.84,Upstairs
24,15690761514000,7.31,12.79,-3.3,Upstairs
24,15690801645000,10.0,8.58,-3.6,Upstairs
24,15690841501000,6.78,7.7,-0.08,Upstairs
24,15690881540000,1.57,8.05,-0.42,Upstairs
24,15690961496000,1.14,3.68,-0.93,Upstairs
24,15691001871000,3.36,4.44,-0.95,Upstairs
24,15691041483000,3.57,5.37,-0.15,Upstairs
24,15691081552000,3.45,5.63,-2.3,Upstairs
24,15691161630000,1.84,6.44,-2.56,Upstairs
24,15691201547000,12.41,18.5,-4.21,Upstairs
24,15691241678000,14.6,7.21,-0.72,Upstairs
24,15691281534000,4.59,7.27,-1.54,Upstairs
24,15691361643000,2.26,7.59,-1.61,Upstairs
24,15691401468000,2.72,5.67,-0.8,Upstairs
24,15691441477000,3.57,4.18,-1.12,Upstairs
24,15691481546000,5.41,4.48,-3.95,Upstairs
24,15691561502000,7.44,8.24,-2.64,Upstairs
24,15691601511000,11.45,13.44,3.64,Upstairs
24,15691641519000,7.93,8.73,-1.23,Upstairs
24,15691681528000,7.25,10.5,3.06,Upstairs
24,15691761514000,8.16,10.23,-1.57,Upstairs
24,15691801615000,8.16,12.3,-4.06,Upstairs
24,15691841501000,5.28,9.53,0.42,Upstairs
24,15691881510000,3.68,6.85,-1.57,Upstairs
24,15691961618000,0.61,4.21,-1.88,Upstairs
24,15692001657000,1.84,3.76,-0.61,Upstairs
24,15692041513000,3.49,4.86,0.04,Upstairs
24,15692081522000,3.95,8.08,-3.3,Upstairs
24,15692161508000,3.11,5.24,-1.14,Upstairs
24,15692201547000,7.55,15.85,-2.07,Upstairs
24,15692241525000,14.33,12.79,-3.53,Upstairs
24,15692281656000,8.54,2.34,-1.42,Upstairs
24,15692361521000,2.45,8.28,-1.61,Upstairs
24,15692401499000,2.3,7.59,-1.38,Upstairs
24,15692441477000,1.99,4.44,-0.93,Upstairs
24,15692481485000,3.3,3.99,-2.07,Upstairs
24,15692561502000,7.55,5.43,-2.98,Upstairs
24,15692601633000,9.72,11.18,-1.92,Upstairs
24,15692761331000,5.82,8.89,0.3,Upstairs
24,15692761331000,5.82,8.89,0.3,Upstairs
24,15692761331000,5.82,8.89,0.3,Upstairs
24,15692801401000,6.89,11.22,-1.27,Upstairs
24,15692841654000,7.93,8.96,-5.6,Upstairs
24,15692881662000,4.29,7.74,2.6,Upstairs
24,15692961496000,1.84,5.86,-2.22,Upstairs
24,15693001840000,0.69,4.02,-6.05,Upstairs
24,15693041483000,1.69,4.99,-0.61,Upstairs
24,15693081705000,5.52,7.21,-0.31,Upstairs
24,15693161478000,-0.27,7.44,-1.23,Upstairs
24,15693201547000,4.29,10.46,-2.49,Upstairs
24,15693241800000,14.33,18.66,-4.71,Upstairs
24,15693281503000,10.08,2.91,0.0,Upstairs
24,15693361490000,3.3,8.05,-0.69,Upstairs
24,15693401468000,3.17,7.74,-1.69,Upstairs
24,15693441477000,3.17,4.99,-1.38,Upstairs
24,15693482767000,3.15,4.29,-2.49,Upstairs
24,15693561502000,5.75,5.9,-3.21,Upstairs
24,15693601511000,7.46,9.23,-3.26,Upstairs
24,15693641519000,8.47,12.76,1.99,Upstairs
24,15693681497000,9.66,8.89,-1.88,Upstairs
24,15693761514000,8.47,9.66,0.15,Upstairs
24,15693801492000,6.89,11.11,-1.23,Upstairs
24,15693841562000,7.63,9.19,-2.49,Upstairs
24,15693881510000,4.75,8.43,0.57,Upstairs
24,15693961618000,1.99,6.74,-0.5,Upstairs
24,15694001535000,1.5,5.18,-0.89,Upstairs
24,15694041483000,3.36,3.38,-0.38,Upstairs
24,15694081644000,3.53,4.06,-0.93,Upstairs
24,15694161478000,3.36,5.41,-0.99,Upstairs
24,15694201547000,4.79,5.13,-1.42,Upstairs
24,15694241831000,9.96,16.89,-2.22,Upstairs
24,15694281656000,11.95,1.54,-1.76,Upstairs
24,15694361521000,4.4,5.05,-1.65,Upstairs
24,15694401499000,4.1,8.62,-2.18,Upstairs
24,15694441599000,3.45,7.35,-1.88,Upstairs
24,15694481516000,2.83,5.43,-1.14,Upstairs
24,15694561594000,5.48,6.09,-1.38,Upstairs
24,15694601480000,6.21,5.37,-2.07,Upstairs
24,15694641519000,6.47,5.52,-2.96,Upstairs
24,15694681497000,5.56,13.1,4.9,Upstairs
24,15694761484000,6.51,8.92,-2.91,Upstairs
24,15694801523000,9.92,8.5,-1.18,Upstairs
24,15694841470000,8.5,11.03,-3.15,Upstairs
24,15694881632000,6.32,7.44,-0.11,Upstairs
24,15694921549000,6.36,7.44,-0.11,Upstairs
24,15694990366000,8.43,7.46,-2.76,Upstairs
24,15695031595000,8.39,7.27,-5.01,Upstairs
24,15695111643000,0.99,11.35,-5.71,Upstairs
24,15695152017000,-1.33,8.73,1.46,Upstairs
24,15695191477000,-0.65,7.67,3.53,Upstairs
24,15695231546000,5.37,6.44,1.57,Upstairs
24,15695311472000,0.72,6.09,-1.08,Upstairs
24,15695351480000,-0.15,5.75,-0.76,Upstairs
24,15695391489000,1.53,6.17,0.11,Upstairs
24,15695431528000,7.31,7.4,6.59,Upstairs
24,15695511575000,17.31,11.56,-1.73,Upstairs
24,15695551523000,5.05,10.19,-0.8,Upstairs
24,15695591470000,-0.61,5.79,0.23,Upstairs
24,15695631540000,0.46,6.74,-0.95,Upstairs
24,15695711496000,5.98,7.21,-5.41,Upstairs
24,15695751505000,4.86,5.79,-1.27,Upstairs
24,15695791635000,4.79,8.08,0.38,Upstairs
24,15695831491000,0.8,12.49,5.63,Upstairs
24,15695911508000,4.18,7.7,-4.4,Upstairs
24,15695951486000,3.17,7.25,-2.18,Upstairs
24,15695991464000,3.76,8.05,0.11,Upstairs
24,15696031503000,5.18,7.86,-1.95,Upstairs
24,15696111521000,8.27,7.74,0.19,Upstairs
24,15696151499000,8.16,8.08,-2.3,Upstairs
24,15696191477000,7.27,6.32,-2.22,Upstairs
24,15696231516000,7.93,5.75,-0.65,Upstairs
24,15696311472000,8.08,11.73,-3.02,Upstairs
24,15696352213000,5.86,12.18,-6.13,Upstairs
24,15696391519000,4.02,10.42,-7.7,Upstairs
24,15696431467000,6.85,8.47,-0.19,Upstairs
24,15696511484000,5.05,9.38,-3.99,Upstairs
24,15696551431000,10.04,7.78,-0.93,Upstairs
24,15696591623000,6.93,7.44,-2.76,Upstairs
24,15696631510000,2.53,3.11,1.12,Upstairs
24,15696711496000,1.53,1.65,0.0,Upstairs
24,15696752084000,4.99,3.87,0.15,Upstairs
24,15696791635000,5.43,3.72,-0.08,Upstairs
24,15696831644000,12.6,13.82,-3.38,Upstairs
24,15696911508000,1.88,3.15,2.37,Upstairs
24,15696951517000,2.56,9.3,-0.27,Upstairs
24,15696991464000,5.63,10.08,-1.92,Upstairs
24,15697031473000,3.6,3.64,-0.57,Upstairs
24,15697111490000,5.37,5.22,-0.84,Upstairs
24,15697152048000,8.81,6.97,-2.11,Upstairs
24,15697191599000,8.05,6.09,-3.21,Upstairs
24,15697231516000,6.02,6.78,-2.11,Upstairs
24,15697311472000,4.14,10.46,0.19,Upstairs
24,15697351511000,6.89,9.89,-2.45,Upstairs
24,15697391519000,7.59,10.46,0.15,Upstairs
24,15697431497000,9.38,8.89,-0.5,Upstairs
24,15697511606000,7.89,9.0,-1.84,Upstairs
24,15697552103000,10.11,7.06,-3.41,Upstairs
24,15697591501000,6.28,9.89,-2.07,Upstairs
24,15697631510000,1.76,9.92,-0.61,Upstairs
24,15697711496000,0.72,4.18,-2.45,Upstairs
24,15697752237000,2.03,4.02,-0.89,Upstairs
24,15697791513000,4.79,5.33,-0.19,Upstairs
24,15697831430000,2.83,7.59,-2.3,Upstairs
24,15697911508000,5.94,7.78,-2.3,Upstairs
24,15697951669000,14.02,18.58,-4.52,Upstairs
24,15697991464000,7.63,4.02,-1.57,Upstairs
24,15698031473000,4.21,8.01,-1.84,Upstairs
24,15698111490000,4.33,7.55,-1.8,Upstairs
24,15698151499000,2.56,5.33,-1.42,Upstairs
24,15698191446000,3.06,5.01,-1.46,Upstairs
24,15698231485000,4.48,5.33,-3.6,Upstairs
24,15698311502000,5.52,6.24,-3.68,Upstairs
24,15698352121000,6.93,7.97,-2.98,Upstairs
24,15698391519000,10.31,11.07,3.64,Upstairs
24,15698431558000,9.0,12.11,-0.72,Upstairs
24,15698513071000,9.08,9.38,-1.54,Upstairs
24,15698551492000,11.5,7.06,-3.06,Upstairs
24,15698591470000,9.38,8.85,-2.83,Upstairs
24,15698631479000,3.17,7.31,-0.11,Upstairs
24,15698711618000,0.46,4.99,-0.46,Upstairs
24,15698752084000,0.76,2.96,-1.84,Upstairs
24,15698791635000,3.53,3.21,-1.76,Upstairs
24,15698831522000,4.06,6.63,-0.34,Upstairs
24,15698911478000,2.83,9.58,-1.5,Upstairs
24,15698951517000,5.52,8.35,-3.17,Upstairs
24,15698991586000,13.78,17.2,-4.79,Upstairs
24,15699031534000,13.57,0.8,-1.12,Upstairs
24,15699111643000,4.33,6.32,-1.42,Upstairs
24,15699151499000,5.05,8.62,-1.61,Upstairs
24,15699191477000,2.64,4.99,-0.61,Upstairs
24,15699231516000,1.95,4.14,-0.69,Upstairs
24,15699311472000,5.63,6.63,-3.21,Upstairs
24,15699352060000,6.63,6.82,-4.33,Upstairs
24,15699391519000,6.09,8.39,-2.22,Upstairs
24,15699461771000,8.85,10.46,-1.31,Upstairs
24,15699501535000,11.54,7.59,0.27,Upstairs
24,15699541513000,9.53,6.55,0.8,Upstairs
24,15699581552000,6.59,9.66,-0.93,Upstairs
24,15699661478000,6.7,9.43,-3.57,Upstairs
24,15699701486000,4.94,8.62,-0.42,Upstairs
24,15699741525000,4.1,7.97,1.14,Upstairs
24,15699781534000,2.68,4.4,-2.03,Upstairs
24,15699861490000,3.21,3.79,-0.42,Upstairs
24,15699901499000,3.68,4.99,-0.31,Upstairs
24,15699941629000,3.11,6.09,-0.65,Upstairs
24,15699981546000,3.6,5.43,-1.95,Upstairs
24,15700141275000,7.93,4.63,-1.95,Upstairs
24,15700141275000,7.93,4.63,-1.95,Upstairs
24,15700141275000,7.93,4.63,-1.95,Upstairs
24,15700181497000,6.4,7.44,-1.8,Upstairs
24,15700261667000,3.15,5.67,-0.99,Upstairs
