user-id,timestamp,accX,accY,accZ,ActivityEncoded
13,2866042277000,2.87,6.36,1.9885708,Downstairs
13,2866092235000,0.46,5.13,2.4925237,Downstairs
13,2866142253000,0.65,4.1,2.4516625,Downstairs
13,2866192271000,1.12,3.87,3.0237172,Downstairs
13,2866242229000,-3.83,10.38,0.92618364,Downstairs
13,2866292277000,7.86,7.25,2.1111538,Downstairs
13,2866342235000,-5.94,12.91,0.9942854,Downstairs
13,2866392284000,-5.2,12.37,3.1054392,Downstairs
13,2866442241000,-0.91,10.95,-2.070293,Downstairs
13,2866492229000,-0.65,12.3,1.6480621,Downstairs
13,2866542308000,-1.92,10.69,-1.7978859,Downstairs
13,2866592265000,-0.95,10.88,0.38136974,Downstairs
13,2866642284000,-1.57,7.55,-0.08172209,Downstairs
13,2866692302000,-0.42,6.74,2.3699405,Downstairs
13,2866742198000,0.23,6.93,0.88532263,Downstairs
13,2866792277000,2.83,7.89,-0.19068487,Downstairs
13,2866842204000,0.65,10.95,0.10896278,Downstairs
13,2866892284000,-1.92,9.89,2.8738933,Downstairs
13,2866942271000,-1.69,8.31,2.9147544,Downstairs
13,2866992259000,-1.04,13.67,4.7943625,Downstairs
13,2867042277000,-3.98,18.92,4.5219555,Downstairs
13,2867092265000,-1.14,11.8,4.1814466,Downstairs
13,2867142253000,-1.46,7.35,2.6423476,Downstairs
13,2867192241000,-1.92,4.82,0.6537767,Downstairs
13,2867242198000,-0.61,2.03,0.19068487,Downstairs
13,2867292338000,-1.38,0.89,0.19068487,Downstairs
13,2867342113000,1.57,10.65,1.7570249,Downstairs
13,2867342113000,1.57,10.65,1.7570249,Downstairs
13,2867442210000,-6.02,11.84,6.742072,Downstairs
13,2867442210000,-6.02,11.84,6.742072,Downstairs
13,2867492351000,-3.21,12.95,3.5957718,Downstairs
13,2867552318000,-1.42,13.8,4.099725,Downstairs
13,2867612315000,-3.26,13.25,-3.1463003,Downstairs
13,2867662242000,-2.37,11.8,-1.0760075,Downstairs
13,2867712230000,-0.19,9.04,-0.10896278,Downstairs
13,2867762248000,-1.57,7.4,1.56634,Downstairs
13,2867812297000,-1.42,4.6,0.50395286,Downstairs
13,2867862254000,0.57,7.46,2.070293,Downstairs
13,2867912303000,0.0,7.78,1.607201,Downstairs
13,2867962230000,0.61,11.56,1.8387469,Downstairs
13,2868012279000,-0.5,10.46,2.9147544,Downstairs
13,2868062266000,-2.72,11.37,6.1700177,Downstairs
13,2868112315000,-3.15,18.31,3.1054392,Downstairs
13,2868162303000,-4.9,10.42,2.3018389,Downstairs
13,2868212321000,-2.41,5.9,2.5333846,Downstairs
13,2868262279000,-2.49,4.25,1.7978859,Downstairs
13,2868312297000,-0.76,1.33,1.56634,Downstairs
13,2868362285000,4.21,7.7,0.6537767,Downstairs
13,2868412303000,-1.53,8.43,1.6480621,Downstairs
13,2868462260000,-2.26,9.53,5.8976107,Downstairs
