user-id,timestamp,accX,accY,accZ,ActivityEncoded
5,3041172314000,4.29,2.98,8.281172,Sitting
5,3041222240000,4.21,2.98,8.117727,Sitting
5,3041272198000,4.29,3.02,8.158588,Sitting
5,3041322247000,4.29,2.83,8.076866,Sitting
5,3041372356000,4.25,2.87,8.158588,Sitting
5,3041432201000,4.25,2.87,8.117727,Sitting
5,3041492229000,4.33,2.96,8.158588,Sitting
5,3041492229000,4.33,2.96,8.158588,Sitting
5,3041592236000,4.29,2.91,8.158588,Sitting
5,3041642193000,4.25,2.91,8.158588,Sitting
5,3041692242000,4.29,2.91,8.19945,Sitting
5,3041742199000,4.25,2.87,8.19945,Sitting
5,3041792248000,4.33,2.91,8.19945,Sitting
5,3041842174000,4.29,2.91,8.19945,Sitting
5,3041892254000,4.29,2.76,8.049625,Sitting
5,3041942211000,4.18,2.91,8.19945,Sitting
5,3041992199000,4.18,2.91,8.158588,Sitting
5,3042042278000,4.29,2.96,8.117727,Sitting
5,3042092266000,4.37,2.87,8.049625,Sitting
5,3042142223000,4.33,3.06,8.049625,Sitting
5,3042192272000,4.25,3.11,8.19945,Sitting
5,3042242229000,4.33,2.91,8.117727,Sitting
5,3042242229000,4.33,2.91,8.117727,Sitting
5,3042313549000,4.37,3.02,8.117727,Sitting
5,3042372387000,4.33,3.02,8.19945,Sitting
5,3042422192000,4.33,2.96,8.076866,Sitting
5,3042472301000,4.44,2.98,8.076866,Sitting
5,3042522228000,4.4,2.91,8.076866,Sitting
5,3042572308000,4.25,2.91,8.117727,Sitting
5,3042632214000,4.25,2.98,8.117727,Sitting
5,3042682201000,4.33,2.83,8.008764,Sitting
5,3042732311000,4.29,3.02,8.076866,Sitting
5,3042782238000,4.21,3.15,8.158588,Sitting
5,3042832287000,4.25,3.15,8.117727,Sitting
5,3042882214000,4.37,3.02,8.076866,Sitting
5,3042932262000,4.33,2.98,8.158588,Sitting
5,3042982220000,4.25,3.02,8.117727,Sitting
5,3043032268000,4.25,3.06,8.076866,Sitting
5,3043082226000,4.37,3.11,8.076866,Sitting
5,3043132275000,4.29,3.11,8.049625,Sitting
5,3043182201000,4.25,3.06,8.117727,Sitting
5,3043232311000,4.21,2.98,8.076866,Sitting
5,3043282238000,4.29,3.11,8.076866,Sitting
5,3043332287000,4.25,3.11,8.049625,Sitting
5,3043382244000,4.29,3.15,8.117727,Sitting
5,3043432262000,4.29,3.11,8.076866,Sitting
5,3043482311000,4.25,2.87,8.049625,Sitting
5,3043532268000,4.25,3.06,8.158588,Sitting
5,3043582287000,4.33,3.17,8.076866,Sitting
5,3043632275000,4.21,3.17,8.158588,Sitting
5,3043682201000,4.21,3.02,8.117727,Sitting
5,3043742351000,4.4,2.72,8.117727,Sitting
5,3043742351000,4.4,2.72,8.117727,Sitting
5,3043802349000,4.37,2.98,8.076866,Sitting
5,3043852428000,4.18,3.11,8.117727,Sitting
5,3043902264000,4.14,3.15,8.117727,Sitting
5,3043952343000,4.29,3.06,8.008764,Sitting
5,3044012279000,4.44,3.06,8.076866,Sitting
5,3044062237000,4.37,3.11,8.049625,Sitting
5,3044112316000,4.33,2.91,8.049625,Sitting
5,3044162243000,4.25,2.98,8.049625,Sitting
5,3044212292000,4.29,3.17,8.049625,Sitting
5,3044262218000,4.29,3.11,8.049625,Sitting
5,3044312298000,4.33,2.96,8.076866,Sitting
5,3044362286000,4.25,3.06,8.158588,Sitting
5,3044412365000,4.37,3.11,8.008764,Sitting
5,3044462231000,4.4,3.06,8.008764,Sitting
5,3044512310000,4.37,3.06,8.076866,Sitting
5,3044562237000,4.33,3.11,8.049625,Sitting
5,3044612286000,4.33,3.11,8.008764,Sitting
5,3044672771000,4.33,3.06,8.049625,Sitting
5,3044722240000,4.29,3.02,8.008764,Sitting
5,3044772228000,4.29,3.02,8.117727,Sitting
5,3044822247000,4.29,3.02,8.076866,Sitting
5,3044872234000,4.29,3.11,8.076866,Sitting
5,3044922283000,4.37,3.06,8.049625,Sitting
5,3044972271000,4.33,3.11,8.049625,Sitting
5,3045022198000,4.25,3.06,8.076866,Sitting
5,3045072277000,4.29,3.06,8.049625,Sitting
5,3045122234000,4.33,3.02,8.049625,Sitting
5,3045172253000,4.25,3.02,8.049625,Sitting
5,3045222210000,4.25,3.06,8.076866,Sitting
5,3045272259000,4.25,2.96,8.049625,Sitting
5,3045322277000,4.29,3.02,8.076866,Sitting
5,3045372265000,4.25,3.06,8.117727,Sitting
5,3045422253000,4.29,3.02,8.117727,Sitting
5,3045472271000,4.21,3.02,8.076866,Sitting
5,3045522228000,4.21,3.02,8.158588,Sitting
5,3045572277000,4.21,2.98,8.19945,Sitting
5,3045622173000,4.21,2.98,8.117727,Sitting
5,3045672344000,4.25,3.06,8.076866,Sitting
5,3045722210000,4.21,3.06,8.117727,Sitting
5,3045772259000,4.18,3.02,8.117727,Sitting
5,3045822247000,4.21,3.02,8.117727,Sitting
5,3045872295000,4.21,3.02,8.076866,Sitting
5,3045922253000,4.25,3.02,8.19945,Sitting
5,3045972271000,4.14,2.98,8.19945,Sitting
5,3046022198000,4.14,2.98,8.158588,Sitting
5,3046072277000,4.18,2.98,8.076866,Sitting
5,3046122234000,4.18,3.02,8.117727,Sitting
5,3046172283000,4.14,3.02,8.117727,Sitting
5,3046222240000,4.18,3.02,8.076866,Sitting
5,3046282299000,4.29,2.96,8.19945,Sitting
5,3046332256000,4.18,3.02,8.117727,Sitting
5,3046382336000,4.25,2.98,8.117727,Sitting
5,3046442272000,4.14,2.96,8.19945,Sitting
5,3046492168000,4.14,2.96,8.158588,Sitting
5,3046542248000,4.1,3.02,8.049625,Sitting
5,3046592236000,4.4,3.11,7.9679036,Sitting
5,3046642254000,3.99,3.26,8.499097,Sitting
5,3046692272000,4.29,2.98,8.117727,Sitting
5,3046742229000,3.79,2.34,8.117727,Sitting
5,3046792248000,4.25,3.15,8.281172,Sitting
5,3046842266000,4.33,2.96,8.008764,Sitting
5,3046892284000,4.21,3.06,8.117727,Sitting
5,3046942242000,4.21,2.91,8.117727,Sitting
5,3046992260000,4.29,2.98,8.240311,Sitting
5,3047042278000,4.25,3.17,8.158588,Sitting
5,3047092266000,4.14,3.11,8.19945,Sitting
5,3047142284000,4.1,3.06,8.158588,Sitting
5,3047192211000,4.1,2.96,8.240311,Sitting
5,3047242199000,4.14,2.96,8.240311,Sitting
5,3047292217000,4.14,2.98,8.19945,Sitting
5,3047342236000,4.18,3.02,8.19945,Sitting
5,3047392193000,4.18,3.02,8.117727,Sitting
5,3047442242000,4.14,2.98,8.117727,Sitting
5,3047492199000,4.06,3.02,8.117727,Sitting
5,3047542217000,4.14,3.02,8.117727,Sitting
5,3047592266000,4.18,2.98,8.158588,Sitting
5,3047642223000,4.21,2.98,8.158588,Sitting
5,3047692211000,4.14,3.02,8.117727,Sitting
5,3047742229000,4.1,3.06,8.19945,Sitting
5,3047792217000,4.14,3.06,8.158588,Sitting
5,3047842266000,4.1,2.98,8.158588,Sitting
5,3047892223000,4.14,3.06,8.158588,Sitting
5,3047942272000,4.1,3.02,8.158588,Sitting
5,3047992199000,4.18,3.02,8.19945,Sitting
5,3048042217000,4.14,3.02,8.19945,Sitting
5,3048092205000,4.14,3.02,8.158588,Sitting
5,3048142254000,4.14,3.06,8.19945,Sitting
5,3048192242000,4.14,3.02,8.158588,Sitting
5,3048242199000,4.14,3.02,8.19945,Sitting
5,3048292248000,4.14,2.98,8.117727,Sitting
5,3048342236000,4.18,3.02,8.117727,Sitting
5,3048392223000,4.14,3.02,8.158588,Sitting
5,3048442242000,4.18,3.02,8.19945,Sitting
5,3048492168000,4.18,3.02,8.158588,Sitting
5,3048542248000,4.14,2.98,8.158588,Sitting
5,3048592174000,4.14,3.02,8.158588,Sitting
5,3048592174000,4.14,3.02,8.158588,Sitting
5,3048592174000,4.14,3.02,8.158588,Sitting
5,3048742260000,4.1,3.06,8.158588,Sitting
5,3048742260000,4.1,3.06,8.158588,Sitting
5,3048812267000,4.18,3.02,8.19945,Sitting
5,3048862255000,4.14,3.02,8.158588,Sitting
5,3048912334000,4.14,2.98,8.158588,Sitting
5,3048972271000,4.18,3.02,8.158588,Sitting
5,3049022167000,4.14,3.02,8.158588,Sitting
5,3049072277000,4.14,2.98,8.240311,Sitting
5,3049122295000,4.1,3.02,8.158588,Sitting
5,3049172314000,4.14,2.98,8.19945,Sitting
5,3049222240000,4.14,2.98,8.158588,Sitting
5,3049272259000,4.18,3.06,8.158588,Sitting
5,3049322247000,4.14,2.98,8.158588,Sitting
5,3049372265000,4.14,3.02,8.19945,Sitting
5,3049422222000,4.1,3.02,8.158588,Sitting
5,3049472271000,4.1,3.02,8.117727,Sitting
5,3049522198000,4.14,3.02,8.19945,Sitting
5,3049572247000,4.14,2.98,8.19945,Sitting
5,3049622173000,4.14,3.02,8.19945,Sitting
5,3049672283000,4.14,2.98,8.19945,Sitting
5,3049722210000,4.1,2.98,8.19945,Sitting
5,3049772259000,4.1,3.02,8.240311,Sitting
5,3049822277000,4.06,2.96,8.19945,Sitting
5,3049872295000,4.14,2.98,8.158588,Sitting
5,3049922222000,4.14,3.02,8.19945,Sitting
5,3049972240000,4.14,3.02,8.158588,Sitting
5,3050022198000,4.14,3.02,8.117727,Sitting
5,3050072277000,4.1,3.02,8.158588,Sitting
5,3050122265000,4.14,3.02,8.158588,Sitting
5,3050122265000,4.14,3.02,8.158588,Sitting
5,3050222301000,4.14,3.06,8.158588,Sitting
5,3050282543000,4.1,3.06,8.19945,Sitting
5,3050332226000,4.1,3.02,8.117727,Sitting
5,3050382305000,4.14,3.02,8.158588,Sitting
5,3050432171000,4.14,3.02,8.117727,Sitting
5,3050482281000,4.1,3.02,8.117727,Sitting
5,3050532238000,4.14,3.02,8.158588,Sitting
5,3050582287000,4.1,2.96,8.19945,Sitting
5,3050632214000,4.14,2.98,8.19945,Sitting
5,3050682262000,4.14,3.02,8.158588,Sitting
5,3050732250000,4.1,2.98,8.19945,Sitting
5,3050782268000,4.14,3.02,8.19945,Sitting
5,3050832226000,4.1,3.02,8.19945,Sitting
5,3050882275000,4.1,3.02,8.117727,Sitting
5,3050932171000,4.1,3.02,8.158588,Sitting
5,3050982311000,4.1,2.98,8.19945,Sitting
5,3051032299000,4.14,3.02,8.240311,Sitting
5,3051082317000,4.06,2.98,8.19945,Sitting
5,3051132214000,4.1,2.98,8.240311,Sitting
5,3051132214000,4.1,2.98,8.240311,Sitting
5,3051132214000,4.1,2.98,8.240311,Sitting
5,3051292705000,4.06,2.98,8.19945,Sitting
5,3051342205000,4.1,3.02,8.240311,Sitting
5,3051342205000,4.1,3.02,8.240311,Sitting
5,3051392376000,4.1,2.98,8.117727,Sitting
5,3051452251000,4.1,2.98,8.19945,Sitting
5,3051452251000,4.1,2.98,8.19945,Sitting
5,3051562298000,4.1,3.02,8.158588,Sitting
5,3051562298000,4.1,3.02,8.158588,Sitting
5,3051562298000,4.1,3.02,8.158588,Sitting
5,3051712292000,4.1,3.02,8.19945,Sitting
5,3051772259000,4.14,2.98,8.19945,Sitting
5,3051822247000,4.1,2.98,8.117727,Sitting
5,3051872265000,4.14,3.02,8.158588,Sitting
5,3051922253000,4.1,3.02,8.19945,Sitting
5,3052022167000,4.1,2.98,8.19945,Sitting
5,3052022167000,4.1,2.98,8.19945,Sitting
5,3052072369000,4.14,3.02,8.19945,Sitting
5,3052122265000,4.1,2.98,8.158588,Sitting
5,3052172283000,4.14,2.98,8.240311,Sitting
5,3052222179000,4.02,2.98,8.240311,Sitting
