user-id,timestamp,accX,accY,accZ,ActivityEncoded
28,3194742229000,1.76,9.7,0.38136974,Standing
28,3194792278000,1.5,10.12,0.7218784,Standing
28,3194842266000,1.27,10.15,0.88532263,Standing
28,3194892284000,1.5,10.04,1.1441092,Standing
28,3194942211000,1.8,9.66,0.8036005,Standing
28,3194992260000,2.3,9.66,0.95342433,Standing
28,3195042217000,1.92,9.77,0.7627395,Standing
28,3195092297000,1.69,10.15,0.95342433,Standing
28,3195142223000,1.65,9.81,0.5720546,Standing
28,3195192272000,1.57,10.08,0.6537767,Standing
28,3195243176000,1.23,9.96,0.3405087,Standing
28,3195292278000,1.46,10.15,0.50395286,Standing
28,3195342266000,1.57,9.89,0.53119355,Standing
28,3195392223000,1.92,9.85,0.61291564,Standing
28,3195442272000,1.61,9.89,0.5720546,Standing
28,3195492199000,1.69,10.04,0.6946377,Standing
28,3195542278000,1.54,9.85,0.61291564,Standing
28,3195592266000,1.84,9.96,0.6537767,Standing
28,3195642284000,1.54,9.81,0.7627395,Standing
28,3195692242000,2.18,9.89,1.0760075,Standing
28,3195742229000,2.3,9.62,1.2666923,Standing
28,3195792278000,2.11,9.85,1.1441092,Standing
28,3195842236000,1.69,9.89,1.0351465,Standing
28,3195892284000,1.54,9.96,0.92618364,Standing
28,3195942211000,1.38,9.96,0.88532263,Standing
28,3195992229000,1.46,9.89,0.88532263,Standing
28,3196042217000,1.73,9.81,1.0760075,Standing
28,3196092266000,2.11,9.77,1.1441092,Standing
28,3196142223000,1.84,9.77,1.3075534,Standing
28,3196192272000,1.76,9.89,1.0760075,Standing
28,3196242229000,1.57,9.89,0.88532263,Standing
28,3196302380000,1.65,9.96,0.7218784,Standing
28,3196352276000,1.69,9.85,0.84446156,Standing
28,3196402233000,1.65,9.96,1.0351465,Standing
28,3196452251000,1.76,9.77,1.2258313,Standing
28,3196502239000,1.95,9.85,1.3075534,Standing
28,3196552288000,1.8,9.72,1.3075534,Standing
28,3196602215000,1.73,9.85,1.0351465,Standing
28,3196652233000,1.57,9.92,1.2666923,Standing
28,3196702221000,1.69,9.81,1.0760075,Standing
28,3196752270000,1.54,9.92,1.1168685,Standing
28,3196802227000,1.38,9.85,0.9942854,Standing
28,3196852276000,1.27,10.0,1.0351465,Standing
28,3196902203000,1.5,9.89,1.0351465,Standing
28,3196952251000,1.95,9.81,1.0760075,Standing
28,3197002209000,2.11,9.72,1.0760075,Standing
28,3197052258000,1.95,9.81,1.2666923,Standing
28,3197102215000,2.03,9.72,1.3756552,Standing
28,3197152233000,2.15,9.72,1.2666923,Standing
28,3197202221000,1.92,9.85,1.3075534,Standing
28,3197252270000,1.8,9.81,1.2666923,Standing
28,3197302227000,1.73,9.85,1.2258313,Standing
28,3197352276000,1.73,9.81,1.0351465,Standing
28,3197402233000,1.61,9.92,0.95342433,Standing
28,3197452251000,1.69,9.85,0.88532263,Standing
28,3197502209000,1.54,9.96,0.88532263,Standing
28,3197552288000,1.69,9.85,1.0760075,Standing
28,3197602215000,1.76,9.81,0.95342433,Standing
28,3197652233000,1.8,9.89,1.0760075,Standing
28,3197702221000,1.95,9.77,1.0760075,Standing
28,3197752270000,1.8,9.85,1.0351465,Standing
28,3197802227000,1.76,9.92,0.95342433,Standing
28,3197852306000,1.65,10.0,1.0351465,Standing
28,3197902203000,1.8,9.89,1.1849703,Standing
28,3197952251000,2.07,9.81,1.1849703,Standing
28,3198002239000,2.11,9.72,1.2258313,Standing
28,3198052258000,1.92,9.89,1.1168685,Standing
28,3198102245000,1.73,9.85,1.1849703,Standing
28,3198152203000,1.76,9.85,1.1168685,Standing
28,3198202251000,1.73,9.81,1.1849703,Standing
28,3198252209000,1.84,9.81,1.1168685,Standing
28,3198302288000,1.8,9.77,1.0351465,Standing
28,3198352215000,1.73,9.85,1.0760075,Standing
28,3198402233000,1.69,9.89,1.1168685,Standing
28,3198452221000,1.65,9.85,1.1441092,Standing
28,3198502209000,1.69,9.85,1.1441092,Standing
28,3198552227000,1.61,9.89,1.1168685,Standing
28,3198602306000,1.76,9.89,1.0760075,Standing
28,3198652233000,1.76,9.92,1.0351465,Standing
28,3198702343000,1.73,9.89,1.0760075,Standing
28,3198752239000,1.76,9.85,0.9942854,Standing
28,3198802258000,1.69,9.89,0.92618364,Standing
28,3198852215000,1.73,9.89,1.0760075,Standing
28,3198902233000,1.69,9.92,0.9942854,Standing
28,3198952251000,1.76,9.89,0.9942854,Standing
28,3199002270000,1.73,9.85,0.88532263,Standing
28,3199052258000,1.69,9.85,0.84446156,Standing
28,3199102245000,1.65,9.92,0.7627395,Standing
28,3199152233000,1.54,10.0,0.8036005,Standing
28,3199202251000,1.73,9.85,0.7627395,Standing
28,3199252178000,1.73,9.92,0.7627395,Standing
28,3199302258000,1.69,9.92,0.84446156,Standing
28,3199352215000,1.76,9.89,0.7627395,Standing
28,3199402264000,1.73,9.89,0.8036005,Standing
28,3199452251000,1.76,9.89,0.7627395,Standing
28,3199502239000,1.69,9.89,0.8036005,Standing
28,3199552227000,1.69,9.96,0.7627395,Standing
28,3199602245000,1.69,9.85,0.84446156,Standing
28,3199652233000,1.8,9.89,0.8036005,Standing
28,3199702251000,1.76,9.89,0.92618364,Standing
28,3199752209000,1.84,9.85,0.8036005,Standing
28,3199802258000,1.76,9.85,0.88532263,Standing
28,3199852245000,1.8,9.92,0.7627395,Standing
28,3199902264000,1.76,9.85,0.84446156,Standing
28,3199952221000,1.76,9.92,0.61291564,Standing
28,3200002239000,1.76,9.89,0.92618364,Standing
28,3200052227000,1.8,9.92,0.6946377,Standing
28,3200102245000,1.8,9.81,0.92618364,Standing
28,3200152233000,1.76,9.92,0.6946377,Standing
28,3200202282000,1.8,9.81,0.92618364,Standing
