user-id,timestamp,accX,accY,accZ,ActivityEncoded
24,14258501627000,6.21,16.89,-1.46,Walking
24,14258541788000,-1.42,10.15,4.06,Walking
24,14258621500000,-1.76,5.09,-0.42,Walking
24,14258661508000,-0.15,2.98,2.98,Walking
24,14258701639000,3.3,2.49,1.38,Walking
24,14258741556000,6.17,6.24,-4.79,Walking
24,14258861826000,7.27,10.73,-0.34,Walking
24,14258903787000,4.33,6.02,0.76,Walking
24,14258903787000,4.33,6.02,0.76,Walking
24,14258941538000,2.98,6.4,0.57,Walking
24,14259021646000,7.08,9.11,-0.61,Walking
24,14259061502000,3.79,5.41,-2.18,Walking
24,14259101633000,3.72,6.47,-0.95,Walking
24,14259141580000,2.68,4.9,0.11,Walking
24,14259221628000,4.75,4.1,0.08,Walking
24,14259261514000,8.05,5.41,-0.72,Walking
24,14259301615000,10.11,5.28,-0.65,Walking
24,14259341562000,9.62,3.02,0.38,Walking
24,14259421549000,8.39,12.98,0.04,Walking
24,14259461588000,11.8,19.0,-1.95,Walking
24,14259501566000,7.21,16.63,-3.49,Walking
24,14259541666000,1.8,9.89,-0.93,Walking
24,14259621500000,1.8,6.66,-0.53,Walking
24,14259661539000,1.88,5.37,1.12,Walking
24,14259701517000,2.98,4.44,2.07,Walking
24,14259741556000,4.59,3.99,0.76,Walking
24,14259821512000,8.92,2.37,-4.18,Walking
24,14259861521000,14.25,2.64,-1.27,Walking
24,14259901621000,6.82,2.76,0.0,Walking
24,14259941568000,8.77,10.34,-0.08,Walking
24,14260021616000,2.53,12.11,2.03,Walking
24,14260061533000,2.91,8.16,-2.68,Walking
24,14260101511000,7.44,10.46,-6.36,Walking
24,14260141641000,6.36,6.47,-5.75,Walking
24,14260221567000,5.75,6.21,-2.11,Walking
24,14260261514000,5.24,5.83,-0.76,Walking
24,14260301523000,6.32,5.94,2.37,Walking
24,14260341684000,5.6,3.72,3.21,Walking
24,14260421518000,6.05,6.02,-2.79,Walking
24,14260461527000,6.09,4.67,-2.11,Walking
24,14260501505000,7.35,4.75,-2.34,Walking
24,14260541544000,9.89,6.17,0.38,Walking
24,14260621500000,8.58,1.65,3.26,Walking
24,14260661508000,9.08,12.15,-0.04,Walking
24,14260701669000,16.13,19.34,-4.48,Walking
24,14260741525000,9.43,16.44,-3.79,Walking
24,14260821512000,7.35,3.83,2.18,Walking
24,14260861521000,-0.34,7.08,4.79,Walking
24,14260901529000,-1.76,6.93,-0.93,Walking
24,14260941568000,-1.38,4.9,0.61,Walking
24,14261021524000,6.93,5.05,0.42,Walking
24,14261061502000,14.33,4.86,-6.93,Walking
24,14261101511000,15.85,1.14,-2.72,Walking
24,14261141550000,8.5,3.06,0.53,Walking
24,14261221536000,10.5,9.96,-0.53,Walking
24,14261261545000,7.93,11.73,0.61,Walking
24,14261301645000,5.98,10.57,-1.8,Walking
24,14261341776000,6.36,11.75,-6.74,Walking
24,14261421518000,1.88,5.43,-0.65,Walking
24,14261461618000,2.07,4.67,0.34,Walking
24,14261501505000,3.34,3.3,2.07,Walking
24,14261541574000,3.49,3.02,0.57,Walking
24,14261621591000,8.69,5.37,-1.08,Walking
24,14261661539000,10.95,5.18,-1.33,Walking
24,14261701517000,12.3,3.53,-0.53,Walking
24,14261741586000,11.3,2.72,0.11,Walking
24,14261821604000,12.6,15.7,-3.6,Walking
24,14261861612000,13.21,19.53,-6.32,Walking
24,14261901529000,3.98,15.36,-6.89,Walking
24,14261941660000,1.8,6.47,4.25,Walking
24,14262021524000,-0.04,6.17,-0.89,Walking
24,14262061502000,-0.34,5.13,-1.27,Walking
24,14262101541000,-0.84,5.63,0.23,Walking
24,14262141580000,3.53,5.67,3.91,Walking
24,14262221658000,17.24,-0.99,-7.01,Walking
24,14262261575000,14.9,-1.8,-2.3,Walking
24,14262301523000,7.12,7.06,3.6,Walking
24,14262341562000,16.02,14.6,1.14,Walking
24,14262421518000,0.3,14.41,-4.4,Walking
24,14262461496000,-1.65,10.46,-3.53,Walking
24,14262501505000,2.87,8.89,-3.26,Walking
24,14262541574000,7.21,7.5,-1.65,Walking
24,14262621500000,6.66,3.45,6.05,Walking
24,14262661630000,6.24,4.79,-2.03,Walking
24,14262701517000,5.28,5.9,-1.57,Walking
24,14262741525000,7.74,6.02,1.65,Walking
24,14262821573000,9.08,4.82,-4.48,Walking
24,14262861521000,13.06,3.76,-1.57,Walking
24,14262901621000,11.18,4.94,-1.12,Walking
24,14262941599000,14.33,16.09,-2.49,Walking
24,14263021585000,-1.14,12.87,0.0,Walking
24,14263061624000,0.95,5.83,3.15,Walking
24,14263101480000,1.73,3.38,-0.57,Walking
24,14263141550000,2.11,1.46,-0.99,Walking
24,14263221475000,-1.08,7.82,-1.23,Walking
24,14263261514000,1.95,8.12,3.21,Walking
24,14263301584000,8.47,4.52,0.15,Walking
24,14263341532000,14.56,0.93,-8.2,Walking
24,14263421518000,4.37,-0.42,-0.04,Walking
24,14263461496000,4.71,8.05,0.91,Walking
24,14263501779000,16.74,18.31,-2.6,Walking
24,14263501779000,16.74,18.31,-2.6,Walking
24,14263621439000,0.11,6.85,-6.66,Walking
24,14263661691000,3.72,10.38,-4.4,Walking
24,14263701517000,1.08,6.4,-2.22,Walking
24,14263741647000,3.53,7.44,-1.92,Walking
24,14263821512000,6.21,6.21,-0.57,Walking
24,14263861551000,6.85,5.79,-1.08,Walking
