timestamp,X (mg),Y (mg),Z (mg)
3032297,-691,577,194
3032381,-993,653,109
3032411,-655,502,317
3032441,-765,526,-18
3032531,-1074,651,142
3032652,-1063,603,148
3032653,-1112,803,561
3032686,-1510,754,439
3032741,-695,593,-64
3032760,-361,223,267
3032800,-653,206,127
3032890,-682,330,202
3032909,-549,413,275
3032980,-724,428,377
3033010,-917,529,285
3033040,-758,584,-68
3033100,-888,514,221
3033161,-679,567,228
3033190,-975,899,319
3033281,-1513,686,96
3033310,-1235,964,205
3033400,-685,637,9
3033429,-697,396,72
3033461,-547,457,145
3033491,-389,394,-81
3033550,-496,341,-38
3033611,-650,411,154
3033641,-826,570,114
3033761,-793,477,18
3033762,-881,436,230
3033800,-1345,770,73
3033910,-1084,499,250
3033945,-1498,765,470
3033946,-684,591,210
3034031,-714,438,117
3034061,-640,319,92
3034091,-509,175,132
3034150,-500,70,120
3034211,-498,298,151
3034241,-869,798,496
3034300,-964,740,439
3034361,-640,558,-348
3034391,-999,867,29
3034450,-1320,1154,421
3034541,-1280,749,-475
3034574,-904,638,356
3034631,-728,504,143
3034661,-397,496,23
3034691,-308,491,-7
3034750,-476,344,22
3034811,-536,415,85
3034841,-731,481,200
3034901,-857,488,103
3034961,-925,477,112
3034991,-944,546,234
3035051,-1362,815,228
3035202,-1460,739,371
3035202,-987,828,290
3035247,-748,481,197
3035263,-418,271,119
3035290,-704,329,196
3035350,-649,343,184
3035411,-447,218,155
3035440,-375,300,177
3035501,-825,665,318
3035561,-1087,702,343
3035621,-671,522,-320
3035651,-1316,1222,350
3035711,-1357,830,-1257
3035741,-1146,814,511
3035801,-851,509,148
3035861,-257,376,11
3035891,-146,393,-75
3035951,-295,275,-66
3036041,-481,382,31
3036072,-717,522,137
3036101,-1054,502,30
3036161,-902,464,148
3036191,-1173,796,300
3036251,-1229,647,353
3036311,-1473,854,294
3036371,-824,696,247
3036401,-680,369,122
3036461,-576,212,121
3036521,-314,130,47
3036551,-475,119,195
3036611,-514,398,157
3036641,-705,686,452
3036701,-968,670,338
3036761,-668,587,-385
3036791,-1148,1154,215
3036851,-1544,1160,125
3036911,-1120,684,400
3036941,-703,642,18
