timestamp,X (mg),Y (mg),Z (mg)
426862,512,-491,739
426883,474,-485,719
426943,458,-500,743
427004,449,-510,722
427033,490,-514,711
427094,483,-534,670
427155,411,-545,715
427183,460,-553,690
427244,446,-570,678
427304,441,-586,700
427333,464,-624,662
427394,406,-659,700
427454,430,-665,675
427483,460,-696,843
427544,534,-622,996
427604,453,-560,763
427633,194,-510,1056
427693,578,-472,964
427753,472,-473,669
427783,308,-447,306
427844,273,-366,525
427904,296,-427,576
427933,511,-550,646
427994,490,-563,707
428054,594,-666,982
428084,695,-640,859
428144,1091,-254,1079
428203,783,-136,718
428233,624,-203,1001
428293,583,-292,549
428354,430,-298,149
428383,71,-324,364
428444,377,-463,539
428504,543,-586,410
428533,572,-669,684
428594,573,-573,1445
428654,944,-642,1051
428683,1199,-301,1062
428744,302,-344,1269
428804,252,-365,848
428833,631,-123,466
428894,-32,-245,40
428954,185,-199,442
428983,528,-350,752
429044,775,-422,942
429103,981,-333,1138
429133,833,-440,974
429194,1016,-181,759
429254,809,-260,1153
429283,697,-321,844
429344,477,-209,104
429404,61,-208,89
429433,204,-396,514
429494,346,-577,366
429555,589,-666,685
429583,614,-489,1237
429644,1062,-526,1482
429704,1221,-307,1036
429733,369,2,1272
429794,240,-139,1082
429854,847,-132,291
429883,573,-205,-22
429944,0,-252,369
430004,456,-289,889
430033,620,-458,921
430094,1082,-435,1026
430154,998,-354,1049
430183,968,-163,846
430244,849,-179,1220
430304,963,-238,626
430333,550,-159,81
430394,-12,-273,244
430454,299,-377,436
430484,293,-430,222
430544,501,-529,651
430604,983,-380,1516
430634,1341,-554,1105
430694,978,-103,1107
430754,-95,-267,1390
430783,560,-161,971
430844,796,-155,227
430905,175,-182,-138
430934,132,-171,393
430993,619,-377,941
431054,750,-480,1020
431083,938,-511,1036
431144,991,-448,1303
431204,883,0,546
431234,816,-269,1282
431294,821,-223,486
431354,206,-135,9
431383,-37,-244,253
431444,149,-328,432
431503,548,-556,453
431533,1030,-636,1165
431594,1159,-321,1565
431654,1160,-605,1069
431684,488,-132,1090
431743,-172,-312,1306
431804,667,-65,432
431834,585,-125,40
431894,23,-193,-119
431954,384,-361,670
431984,823,-414,1228
432044,1064,-446,985
432105,940,-379,1092
432133,1012,-91,804
432194,947,-217,1306
432254,800,-199,531
432283,300,-204,-65
432343,-85,-238,66
432404,52,-392,362
432434,519,-607,510
432494,937,-588,864
432554,1013,-293,1752
432583,934,-583,926
432644,676,-157,1090
432704,280,-251,1531
432734,457,-118,625
432794,420,-94,-65
432854,61,-165,-219
432883,413,-399,598
432944,791,-441,1294
433004,1044,-283,1208
433034,841,-465,1084
433094,1079,-172,744
433154,805,-237,1271
433183,485,-268,643
433244,217,-172,37
433304,56,-317,93
433334,171,-425,390
433393,457,-619,599
433454,865,-727,1154
433484,1029,-456,1313
433544,634,-678,1025
433604,793,-312,1320
433633,356,-219,1103
433694,100,-166,664
433754,464,-49,80
433783,183,-258,-228
433843,409,-320,729
433904,949,-320,1511
433933,1133,-175,1040
433994,945,-264,871
434054,990,-171,645
434083,781,-228,1515
434144,554,-257,729
434204,205,-232,-80
434233,-114,-243,-202
434294,95,-446,164
434353,643,-669,911
434383,831,-588,1406
434443,867,-413,1541
434504,1024,-209,1454
434533,657,-203,1074
434594,403,-179,1088
434654,257,-180,293
434684,227,-109,-74
434744,32,-202,90
434804,376,-384,795
434833,1057,-277,1148
434894,1152,-190,1137
434954,1006,-393,1214
434983,1029,-66,966
435044,988,-196,1272
435104,677,-139,323
435134,-157,-221,-161
435194,187,-307,266
435254,67,-490,409
435283,678,-652,719
435344,923,-491,1401
435404,1216,-472,1322
435433,971,-280,1037
435494,494,-136,1178
435584,-141,-246,1260
435617,588,-49,185
435645,443,-202,-252
435704,46,-272,-66
435733,804,-256,1178
435794,997,-246,1258
435854,1016,-539,487
435883,1452,109,1189
435944,724,-511,1205
436004,656,-270,762
436033,254,-174,-116
436094,-145,-280,-102
436154,75,-434,283
436183,506,-697,601
436244,775,-742,1195
436304,881,-504,1750
436333,998,-417,1273
436394,680,-248,976
436454,305,-272,980
436483,100,-149,273
436544,313,-118,-26
436604,60,-277,-95
436633,663,-377,1148
436694,1104,-233,1147
436754,1123,-66,1136
436783,1258,-235,812
436844,899,22,864
436904,524,-265,1258
436934,344,-79,92
436994,-12,-82,-51
437054,50,-382,172
437083,646,-611,888
437144,884,-508,998
437204,727,-429,1270
437233,100,-472,166
437294,392,-379,569
437354,666,248,1789
437383,1649,773,1998
437444,1004,507,1312
437504,513,295,606
437533,-99,518,-251
437593,-406,469,-470
437654,179,462,290
437683,742,-107,1119
437744,1899,835,1781
437804,1681,482,1844
437834,591,-259,678
437894,34,-294,306
437954,-838,-402,-338
437983,183,-375,-174
438044,-257,-1190,209
438104,1511,1725,1957
438134,1764,1863,1998
438194,757,581,823
438254,373,772,68
438283,-1442,421,-742
438344,373,415,145
438404,289,62,453
438433,1261,345,1302
438493,1898,1140,1998
438554,1342,227,1534
438583,547,-339,360
438644,-47,-318,150
438704,-948,-240,-355
438734,144,-201,88
438794,188,-1165,571
438854,1629,1562,1977
438883,1870,1663,1998
438944,665,279,797
439004,460,679,98
439034,-589,344,-695
439093,179,348,-60
439154,702,-466,491
439183,1545,441,1464
439244,1838,875,1998
439304,973,11,1210
439333,576,-282,486
439394,120,-255,147
439454,-1321,-299,-613
439483,140,-464,-151
439544,721,-267,833
439604,1988,1916,1998
439633,1391,1507,1998
439694,646,525,542
439754,503,742,-2
439783,-512,519,-254
439844,274,384,243
439904,654,-339,531
439933,1376,223,1180
439994,1904,861,1998
440054,1062,241,1253
440083,380,-155,515
440143,-143,-216,167
440204,-1532,-314,-571
440233,182,-592,-13
440293,957,242,976
440353,1634,1827,1998
440383,1437,965,1967
440443,821,440,487
