Logged started on,10/07/2021 19:41:39
Feature,Accelerometer
Nodes,AM1V310 @324A36

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
10/07/2021 19:41:50.708,11088,AM1V310 @324A36,3637,E7FFE8FC9102,-25,-792,657
10/07/2021 19:41:50.769,11138,AM1V310 @324A36,3643,CFFFE4FC9302,-49,-796,659
10/07/2021 19:41:50.828,11198,AM1V310 @324A36,3650,DDFFD8FC4F02,-35,-808,591
10/07/2021 19:41:50.858,11227,AM1V310 @324A36,3656,E2FFF7FC4702,-30,-777,583
10/07/2021 19:41:50.919,11288,AM1V310 @324A36,3662,F3FFDBFC9102,-13,-805,657
10/07/2021 19:41:50.978,11348,AM1V310 @324A36,3668,F0FFF5FC4A02,-16,-779,586
10/07/2021 19:41:51.008,11378,AM1V310 @324A36,3675,F4FFEAFCF901,-12,-790,505
10/07/2021 19:41:51.068,11438,AM1V310 @324A36,3681,4100E6FC0A02,65,-794,522
10/07/2021 19:41:51.128,11498,AM1V310 @324A36,3687,E3FFD7FC7202,-29,-809,626
10/07/2021 19:41:51.158,11528,AM1V310 @324A36,3693,D9FFCBFC1202,-39,-821,530
10/07/2021 19:41:51.218,11588,AM1V310 @324A36,3700,F1FFC2FC2C02,-15,-830,556
10/07/2021 19:41:51.278,11648,AM1V310 @324A36,3706,0500BFFCF701,5,-833,503
10/07/2021 19:41:51.308,11678,AM1V310 @324A36,3712,D5FF7EFC4802,-43,-898,584
10/07/2021 19:41:51.368,11738,AM1V310 @324A36,3718,0900A0FC7B02,9,-864,635
10/07/2021 19:41:51.429,11798,AM1V310 @324A36,3725,0F004BFC4802,15,-949,584
10/07/2021 19:41:51.459,11828,AM1V310 @324A36,3731,DDFFEBFB1A03,-35,-1045,794
10/07/2021 19:41:51.518,11888,AM1V310 @324A36,3737,60FFDFFC1903,-160,-801,793
10/07/2021 19:41:51.578,11948,AM1V310 @324A36,3743,72FE7CFDA901,-398,-644,425
10/07/2021 19:41:51.608,11978,AM1V310 @324A36,3750,84FE0FFD7903,-380,-753,889
10/07/2021 19:41:51.669,12038,AM1V310 @324A36,3756,7B002CFD9403,123,-724,916
10/07/2021 19:41:51.729,12098,AM1V310 @324A36,3762,2B01A4FD9901,299,-604,409
10/07/2021 19:41:51.759,12128,AM1V310 @324A36,3768,DCFE71FD8E02,-292,-655,654
10/07/2021 19:41:51.819,12188,AM1V310 @324A36,3775,FCFE37FD3E03,-260,-713,830
10/07/2021 19:41:51.878,12248,AM1V310 @324A36,3781,190012FDBE01,25,-750,446
10/07/2021 19:41:51.908,12278,AM1V310 @324A36,3787,A3FF42FDF201,-93,-702,498
10/07/2021 19:41:51.968,12338,AM1V310 @324A36,3793,6DFFB0FCB302,-147,-848,691
10/07/2021 19:41:52.028,12398,AM1V310 @324A36,3800,AEFF5CFCC303,-82,-932,963
10/07/2021 19:41:52.058,12427,AM1V310 @324A36,3806,C0FF7EFCEC02,-64,-898,748
10/07/2021 19:41:52.118,12488,AM1V310 @324A36,3812,3101E5FC6C03,305,-795,876
10/07/2021 19:41:52.178,12548,AM1V310 @324A36,3818,5A0076FDEE02,90,-650,750
10/07/2021 19:41:52.208,12578,AM1V310 @324A36,3825,36FF43FD6104,-202,-701,1121
10/07/2021 19:41:52.269,12638,AM1V310 @324A36,3831,DC00CFFD2B03,220,-561,811
10/07/2021 19:41:52.328,12698,AM1V310 @324A36,3837,9900F7FD2B01,153,-521,299
10/07/2021 19:41:52.358,12728,AM1V310 @324A36,3843,94FFAEFDCD00,-108,-594,205
10/07/2021 19:41:52.419,12788,AM1V310 @324A36,3850,CFFF20FDF101,-49,-736,497
10/07/2021 19:41:52.478,12848,AM1V310 @324A36,3856,EBFFA4FC6A01,-21,-860,362
10/07/2021 19:41:52.508,12878,AM1V310 @324A36,3862,D5FF00FD2902,-43,-768,553
10/07/2021 19:41:52.568,12938,AM1V310 @324A36,3868,DAFFC0FC2702,-38,-832,551
10/07/2021 19:41:52.628,12998,AM1V310 @324A36,3875,AEFF24FC9E03,-82,-988,926
10/07/2021 19:41:52.659,13028,AM1V310 @324A36,3881,A00045FC1104,160,-955,1041
10/07/2021 19:41:52.719,13088,AM1V310 @324A36,3887,1BFFA7FC4A02,-229,-857,586
10/07/2021 19:41:52.778,13148,AM1V310 @324A36,3893,B3FDA8FC3703,-589,-856,823
10/07/2021 19:41:52.808,13177,AM1V310 @324A36,3900,E4FED4FC8504,-284,-812,1157
10/07/2021 19:41:52.869,13238,AM1V310 @324A36,3906,AD00E3FDA103,173,-541,929
10/07/2021 19:41:52.928,13298,AM1V310 @324A36,3912,000181FEAA01,256,-383,426
10/07/2021 19:41:52.959,13328,AM1V310 @324A36,3918,8DFF61FE3801,-115,-415,312
10/07/2021 19:41:53.018,13388,AM1V310 @324A36,3925,90FFC9FD9F02,-112,-567,671
10/07/2021 19:41:53.078,13448,AM1V310 @324A36,3931,C9FF1EFDAC01,-55,-738,428
10/07/2021 19:41:53.108,13478,AM1V310 @324A36,3937,5BFFC0FC3B02,-165,-832,571
10/07/2021 19:41:53.168,13539,AM1V310 @324A36,3943,A3FF79FC5803,-93,-903,856
10/07/2021 19:41:53.228,13598,AM1V310 @324A36,3950,C6FF04FC7203,-58,-1020,882
10/07/2021 19:41:53.258,13628,AM1V310 @324A36,3956,7C0192FDDF03,380,-622,991
10/07/2021 19:41:53.319,13688,AM1V310 @324A36,3962,E2FF89FD0405,-30,-631,1284
10/07/2021 19:41:53.378,13748,AM1V310 @324A36,3968,D0FF61FD6003,-48,-671,864
10/07/2021 19:41:53.408,13778,AM1V310 @324A36,3975,810086FDCE01,129,-634,462
10/07/2021 19:41:53.469,13838,AM1V310 @324A36,3981,4BFF94FDAC01,-181,-620,428
10/07/2021 19:41:53.528,13898,AM1V310 @324A36,3987,A2FFB7FD9D01,-94,-585,413
10/07/2021 19:41:53.559,13928,AM1V310 @324A36,3993,030065FD9101,3,-667,401
