Logged started on,13/07/2021 14:54:33
Feature,Accelerometer
Nodes,AM1V310 @324A36

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
13/07/2021 14:55:28.730,54934,AM1V310 @324A36,13814,F9FC1302CE00,-775,531,206
13/07/2021 14:55:28.761,54958,AM1V310 @324A36,13820,E2FC1002B500,-798,528,181
13/07/2021 14:55:28.821,55019,AM1V310 @324A36,13826,CAFC06021201,-822,518,274
13/07/2021 14:55:28.881,55079,AM1V310 @324A36,13833,EDFC2D023001,-787,557,304
13/07/2021 14:55:28.911,55108,AM1V310 @324A36,13839,BFFC2E02AA00,-833,558,170
13/07/2021 14:55:28.971,55169,AM1V310 @324A36,13845,E8FC0C027D00,-792,524,125
13/07/2021 14:55:29.031,55230,AM1V310 @324A36,13851,20FDE1010F01,-736,481,271
13/07/2021 14:55:29.061,55258,AM1V310 @324A36,13858,6CFDAE012401,-660,430,292
13/07/2021 14:55:29.121,55319,AM1V310 @324A36,13864,B3FD9501BB00,-589,405,187
13/07/2021 14:55:29.181,55379,AM1V310 @324A36,13870,3BFD1502D300,-709,533,211
13/07/2021 14:55:29.211,55409,AM1V310 @324A36,13876,BFFC36026301,-833,566,355
13/07/2021 14:55:29.271,55469,AM1V310 @324A36,13883,11FD0D023D01,-751,525,317
13/07/2021 14:55:29.331,55529,AM1V310 @324A36,13889,C4FC29027600,-828,553,118
13/07/2021 14:55:29.361,55559,AM1V310 @324A36,13895,AEFC2F02BE00,-850,559,190
13/07/2021 14:55:29.421,55619,AM1V310 @324A36,13901,09FD66020F01,-759,614,271
13/07/2021 14:55:29.481,55679,AM1V310 @324A36,13908,DAFC65024E00,-806,613,78
13/07/2021 14:55:29.511,55709,AM1V310 @324A36,13914,1CFD4602A400,-740,582,164
13/07/2021 14:55:29.571,55769,AM1V310 @324A36,13920,18FD5C02E700,-744,604,231
13/07/2021 14:55:29.630,55829,AM1V310 @324A36,13926,91FC6B027700,-879,619,119
13/07/2021 14:55:29.661,55859,AM1V310 @324A36,13933,89FC5E02BA00,-887,606,186
13/07/2021 14:55:29.721,55919,AM1V310 @324A36,13939,7CFC6A021201,-900,618,274
13/07/2021 14:55:29.781,55979,AM1V310 @324A36,13945,D8FB12026D01,-1064,530,365
13/07/2021 14:55:29.811,56009,AM1V310 @324A36,13951,3AFC1E026801,-966,542,360
13/07/2021 14:55:29.871,56069,AM1V310 @324A36,13958,03FDCC01F800,-765,460,248
13/07/2021 14:55:29.931,56129,AM1V310 @324A36,13964,06FDB501D800,-762,437,216
13/07/2021 14:55:29.961,56159,AM1V310 @324A36,13970,35FDAA019F00,-715,426,159
13/07/2021 14:55:30.021,56219,AM1V310 @324A36,13976,51FD96014D00,-687,406,77
13/07/2021 14:55:30.081,56279,AM1V310 @324A36,13983,2DFD5C018F00,-723,348,143
13/07/2021 14:55:30.111,56309,AM1V310 @324A36,13989,75FDA501B200,-651,421,178
13/07/2021 14:55:30.171,56369,AM1V310 @324A36,13995,EEFCDE01C300,-786,478,195
13/07/2021 14:55:30.231,56429,AM1V310 @324A36,14001,91FCDB011801,-879,475,280
13/07/2021 14:55:30.260,56458,AM1V310 @324A36,14008,FEFCE301C600,-770,483,198
13/07/2021 14:55:30.321,56518,AM1V310 @324A36,14014,82FCEA017800,-894,490,120
13/07/2021 14:55:30.381,56579,AM1V310 @324A36,14020,E5FCF1011901,-795,497,281
13/07/2021 14:55:30.411,56609,AM1V310 @324A36,14026,84FC1D02E000,-892,541,224
13/07/2021 14:55:30.471,56669,AM1V310 @324A36,14033,37FC7002B700,-969,624,183
13/07/2021 14:55:30.531,56730,AM1V310 @324A36,14039,74FCCE018101,-908,462,385
13/07/2021 14:55:30.561,56759,AM1V310 @324A36,14045,F1FC8B02DE01,-783,651,478
13/07/2021 14:55:30.621,56819,AM1V310 @324A36,14051,D9FBD902B701,-1063,729,439
13/07/2021 14:55:30.681,56879,AM1V310 @324A36,14058,81FC0B020901,-895,523,265
13/07/2021 14:55:30.710,56908,AM1V310 @324A36,14064,A0FDD401F4FF,-608,468,-12
13/07/2021 14:55:30.771,56969,AM1V310 @324A36,14070,4EFD90011600,-690,400,22
13/07/2021 14:55:30.831,57029,AM1V310 @324A36,14076,71FDEE013401,-655,494,308
13/07/2021 14:55:30.860,57058,AM1V310 @324A36,14083,C3FDBC01E500,-573,444,229
13/07/2021 14:55:30.921,57119,AM1V310 @324A36,14089,2BFDB001E800,-725,432,232
13/07/2021 14:55:30.981,57179,AM1V310 @324A36,14095,23FDFF010D01,-733,511,269
13/07/2021 14:55:31.011,57208,AM1V310 @324A36,14101,09FD33028D00,-759,563,141
13/07/2021 14:55:31.071,57269,AM1V310 @324A36,14108,39FC7F027B00,-967,639,123
13/07/2021 14:55:31.131,57329,AM1V310 @324A36,14114,B3FC5902FD00,-845,601,253
13/07/2021 14:55:31.161,57358,AM1V310 @324A36,14120,D1FC5C02F900,-815,604,249
13/07/2021 14:55:31.221,57419,AM1V310 @324A36,14126,92FC6802E600,-878,616,230
13/07/2021 14:55:31.281,57479,AM1V310 @324A36,14133,96FC4502DA00,-874,581,218
13/07/2021 14:55:31.311,57509,AM1V310 @324A36,14139,52FC6502DE00,-942,613,222
13/07/2021 14:55:31.371,57569,AM1V310 @324A36,14145,A6FB3B026201,-1114,571,354
13/07/2021 14:55:31.431,57629,AM1V310 @324A36,14151,E5FBF301A201,-1051,499,418
13/07/2021 14:55:31.461,57658,AM1V310 @324A36,14158,61FD8D01CF00,-671,397,207
13/07/2021 14:55:31.521,57719,AM1V310 @324A36,14164,92FD92017500,-622,402,117
13/07/2021 14:55:31.581,57779,AM1V310 @324A36,14170,7BFD72016D00,-645,370,109
13/07/2021 14:55:31.611,57809,AM1V310 @324A36,14176,84FD4B015200,-636,331,82
13/07/2021 14:55:31.671,57869,AM1V310 @324A36,14183,72FD75015F00,-654,373,95
13/07/2021 14:55:31.731,57929,AM1V310 @324A36,14189,CEFCC401EA00,-818,452,234
13/07/2021 14:55:31.761,57958,AM1V310 @324A36,14195,6AFCEE010E01,-918,494,270
13/07/2021 14:55:31.821,58019,AM1V310 @324A36,14201,ADFCB101A800,-851,433,168
13/07/2021 14:55:31.881,58079,AM1V310 @324A36,14208,F3FC0502BE00,-781,517,190
13/07/2021 14:55:31.911,58109,AM1V310 @324A36,14214,F1FBC0025C01,-1039,704,348
13/07/2021 14:55:31.971,58169,AM1V310 @324A36,14220,E0FB3402A301,-1056,564,419
13/07/2021 14:55:32.031,58229,AM1V310 @324A36,14226,67FCF402F101,-921,756,497
13/07/2021 14:55:32.061,58259,AM1V310 @324A36,14233,CEFB41020A02,-1074,577,522
13/07/2021 14:55:32.121,58319,AM1V310 @324A36,14239,16FD61026D01,-746,609,365
13/07/2021 14:55:32.181,58379,AM1V310 @324A36,14245,8CFDF301F7FF,-628,499,-9
13/07/2021 14:55:32.211,58409,AM1V310 @324A36,14251,3CFDDB012D00,-708,475,45
13/07/2021 14:55:32.271,58469,AM1V310 @324A36,14258,A8FDDD010301,-600,477,259
13/07/2021 14:55:32.331,58529,AM1V310 @324A36,14264,DCFDA5011701,-548,421,279
13/07/2021 14:55:32.360,58558,AM1V310 @324A36,14270,96FDBF012601,-618,447,294
13/07/2021 14:55:32.421,58619,AM1V310 @324A36,14276,6DFD12028A00,-659,530,138
13/07/2021 14:55:32.481,58679,AM1V310 @324A36,14283,95FC3E024700,-875,574,71
13/07/2021 14:55:32.510,58708,AM1V310 @324A36,14289,62FC7402A500,-926,628,165
13/07/2021 14:55:32.601,58799,AM1V310 @324A36,14295,75FC8802C400,-907,648,196
13/07/2021 14:55:32.630,58828,AM1V310 @324A36,14301,B1FC6A028A00,-847,618,138
13/07/2021 14:55:32.661,58858,AM1V310 @324A36,14308,28FD54027000,-728,596,112
13/07/2021 14:55:32.721,58919,AM1V310 @324A36,14314,8AFC3F02D300,-886,575,211
13/07/2021 14:55:32.781,58979,AM1V310 @324A36,14320,57FC65024001,-937,613,320
13/07/2021 14:55:32.811,59008,AM1V310 @324A36,14326,85FB72025D01,-1147,626,349
13/07/2021 14:55:32.871,59069,AM1V310 @324A36,14333,60FBE5011101,-1184,485,273
13/07/2021 14:55:32.931,59129,AM1V310 @324A36,14339,FDFCE8018E00,-771,488,142
13/07/2021 14:55:32.961,59159,AM1V310 @324A36,14345,20FDB6014B00,-736,438,75
13/07/2021 14:55:33.021,59219,AM1V310 @324A36,14351,3AFDB001B700,-710,432,183
13/07/2021 14:55:33.081,59279,AM1V310 @324A36,14358,6EFD4A017900,-658,330,121
13/07/2021 14:55:33.111,59309,AM1V310 @324A36,14364,7DFD4F017A00,-643,335,122
13/07/2021 14:55:33.171,59369,AM1V310 @324A36,14370,3AFD62017900,-710,354,121
13/07/2021 14:55:33.231,59429,AM1V310 @324A36,14376,24FDAF017000,-732,431,112
13/07/2021 14:55:33.261,59459,AM1V310 @324A36,14383,78FCF501E700,-904,501,231
13/07/2021 14:55:33.321,59519,AM1V310 @324A36,14389,B7FCDD013101,-841,477,305
13/07/2021 14:55:33.381,59579,AM1V310 @324A36,14395,BEFCF901A000,-834,505,160
13/07/2021 14:55:33.411,59608,AM1V310 @324A36,14401,C5FCFC019700,-827,508,151
13/07/2021 14:55:33.471,59669,AM1V310 @324A36,14408,80FC73022301,-896,627,291
13/07/2021 14:55:33.531,59729,AM1V310 @324A36,14414,D9FB80020101,-1063,640,257
13/07/2021 14:55:33.561,59758,AM1V310 @324A36,14420,91FC8A021C01,-879,650,284
