timestamp,accX,accY,accZ,class
69595.0,1904,2390,2010,stairs
69596.0,1908,2390,2009,stairs
69597.0,1907,2390,2005,stairs
69598.0,1899,2387,1999,stairs
69599.0,1906,2387,2008,stairs
69600.0,1902,2387,2005,stairs
69601.0,1900,2389,2006,stairs
69602.0,1907,2389,2008,stairs
69603.0,1903,2389,2002,stairs
69604.0,1900,2387,2003,stairs
69605.0,1903,2387,2005,stairs
69606.0,1899,2384,2006,stairs
69607.0,1901,2391,2006,stairs
69608.0,1899,2387,2006,stairs
69609.0,1898,2387,2009,stairs
69610.0,1907,2382,2007,stairs
69611.0,1904,2386,2001,stairs
69612.0,1899,2386,2007,stairs
69613.0,1899,2386,2008,stairs
69614.0,1899,2385,2003,stairs
69615.0,1905,2388,2005,stairs
69616.0,1897,2386,2002,stairs
69617.0,1904,2389,2008,stairs
69618.0,1904,2389,2010,stairs
69619.0,1900,2383,2004,stairs
69620.0,1898,2392,2008,stairs
69621.0,1901,2387,2005,stairs
69622.0,1900,2391,2009,stairs
69623.0,1903,2389,2006,stairs
69624.0,1902,2384,2007,stairs
69625.0,1904,2387,2007,stairs
69626.0,1902,2387,2007,stairs
69627.0,1900,2387,2001,stairs
69628.0,1904,2387,2007,stairs
69629.0,1898,2389,2008,stairs
69630.0,1903,2387,2005,stairs
69631.0,1901,2385,2003,stairs
69632.0,1902,2381,2005,stairs
69633.0,1897,2387,2006,stairs
69634.0,1899,2389,2004,stairs
69635.0,1906,2391,2003,stairs
69636.0,1907,2391,2003,stairs
69637.0,1901,2383,2003,stairs
69638.0,1904,2379,2007,stairs
69639.0,1906,2386,2003,stairs
69640.0,1907,2387,2006,stairs
69641.0,1901,2384,2001,stairs
69642.0,1904,2383,2005,stairs
69643.0,1902,2390,2006,stairs
69644.0,1904,2383,2002,stairs
69645.0,1899,2392,2004,stairs
69646.0,1908,2385,2011,stairs
69647.0,1908,2389,2006,stairs
69648.0,1900,2387,2007,stairs
69649.0,1899,2391,2004,stairs
69650.0,1905,2386,2005,stairs
69651.0,1902,2389,2002,stairs
69652.0,1907,2384,2002,stairs
69653.0,1899,2384,1999,stairs
69654.0,1904,2384,2006,stairs
69655.0,1901,2383,2005,stairs
69656.0,1898,2388,2002,stairs
69657.0,1897,2392,2003,stairs
69658.0,1903,2387,2000,stairs
