timestamp,accX,accY,accZ,class
38488.0,1895,2390,2024,walking
38489.0,1889,2389,2022,walking
38490.0,1886,2383,2027,walking
38491.0,1888,2382,2028,walking
38492.0,1889,2385,2027,walking
38493.0,1892,2386,2023,walking
38494.0,1893,2381,2020,walking
38495.0,1897,2388,2030,walking
38496.0,1893,2384,2027,walking
38497.0,1894,2387,2030,walking
38498.0,1892,2386,2023,walking
38499.0,1901,2380,2028,walking
38500.0,1896,2387,2025,walking
38501.0,1899,2388,2028,walking
38502.0,1894,2382,2027,walking
38503.0,1889,2385,2026,walking
38504.0,1895,2385,2027,walking
38505.0,1897,2385,2024,walking
38506.0,1895,2384,2031,walking
38507.0,1895,2392,2025,walking
38508.0,1895,2382,2028,walking
38509.0,1896,2387,2021,walking
38510.0,1901,2383,2031,walking
38511.0,1901,2387,2023,walking
38512.0,1895,2391,2028,walking
38513.0,1896,2387,2020,walking
38514.0,1895,2382,2030,walking
38515.0,1898,2386,2026,walking
38516.0,1894,2383,2023,walking
38517.0,1895,2385,2029,walking
38518.0,1891,2387,2025,walking
38519.0,1897,2385,2029,walking
38520.0,1894,2383,2025,walking
38521.0,1894,2382,2025,walking
38522.0,1887,2385,2031,walking
38523.0,1894,2389,2025,walking
38524.0,1895,2385,2031,walking
38525.0,1896,2389,2028,walking
38526.0,1897,2387,2031,walking
38527.0,1891,2387,2024,walking
38528.0,1897,2383,2024,walking
38529.0,1898,2390,2031,walking
38530.0,1900,2383,2024,walking
38531.0,1893,2381,2025,walking
38532.0,1896,2384,2028,walking
38533.0,1895,2387,2026,walking
38534.0,1897,2385,2025,walking
38535.0,1893,2386,2026,walking
38536.0,1896,2386,2029,walking
38537.0,1892,2386,2020,walking
38538.0,1893,2384,2031,walking
38539.0,1896,2387,2025,walking
38540.0,1894,2383,2032,walking
38541.0,1888,2389,2024,walking
38542.0,1891,2387,2028,walking
38543.0,1894,2388,2021,walking
38544.0,1893,2385,2031,walking
38545.0,1898,2384,2029,walking
38546.0,1895,2386,2024,walking
38547.0,1895,2381,2031,walking
38548.0,1898,2382,2028,walking
38549.0,1899,2386,2026,walking
38550.0,1894,2388,2023,walking
38551.0,1897,2385,2023,walking
38552.0,1891,2382,2031,walking
38553.0,1895,2388,2021,walking
38554.0,1889,2382,2025,walking
38555.0,1898,2385,2021,walking
38556.0,1897,2389,2030,walking
38557.0,1891,2388,2024,walking
38558.0,1894,2390,2026,walking
38559.0,1898,2386,2025,walking
38560.0,1897,2381,2028,walking
38561.0,1899,2386,2024,walking
38562.0,1897,2382,2024,walking
38563.0,1901,2385,2030,walking
38564.0,1893,2385,2025,walking
38565.0,1899,2384,2026,walking
38566.0,1895,2390,2023,walking
38567.0,1888,2385,2029,walking
38568.0,1892,2385,2029,walking
38569.0,1895,2384,2021,walking
38570.0,1895,2385,2033,walking
38571.0,1898,2386,2024,walking
38572.0,1891,2383,2028,walking
38573.0,1904,2381,2023,walking
38574.0,1897,2385,2025,walking
