timestamp,accX,accY,accZ,class
104300.0,2143,2339,1959,0
104300.0,2146,2341,1960,0
104300.0,2144,2338,1959,0
104300.0,2145,2340,1964,0
104300.0,2145,2340,1957,0
104300.0,2141,2339,1959,0
104310.0,2145,2344,1961,0
104310.0,2143,2342,1961,0
104310.0,2142,2344,1957,0
104310.0,2145,2334,1955,0
104310.0,2147,2339,1957,0
104310.0,2145,2339,1960,0
104310.0,2145,2343,1959,0
104310.0,2143,2340,1961,0
104310.0,2142,2337,1957,0
104320.0,2145,2340,1964,0
104320.0,2144,2347,1960,0
104320.0,2149,2345,1956,0
104320.0,2147,2342,1961,0
104320.0,2144,2338,1956,0
104320.0,2142,2341,1959,0
104320.0,2145,2343,1957,0
104320.0,2145,2337,1960,0
104320.0,2145,2339,1956,0
104320.0,2149,2342,1964,0
104320.0,2148,2342,1963,0
104330.0,2140,2338,1958,0
104330.0,2144,2340,1953,0
104330.0,2146,2340,1960,0
104330.0,2143,2335,1959,0
104330.0,2149,2341,1958,0
104330.0,2150,2337,1955,0
104330.0,2150,2336,1954,0
104330.0,2143,2339,1952,0
104330.0,2145,2341,1954,0
104340.0,2143,2335,1956,0
104340.0,2146,2334,1953,0
104340.0,2146,2337,1954,0
104340.0,2149,2341,1955,0
104340.0,2144,2333,1946,0
104340.0,2149,2341,1955,0
104340.0,2143,2344,1957,0
104340.0,2153,2344,1953,0
104340.0,2148,2340,1954,0
104340.0,2150,2339,1948,0
104340.0,2142,2339,1955,0
104350.0,2142,2340,1947,0
104350.0,2144,2339,1955,0
104350.0,2147,2337,1953,0
104350.0,2143,2336,1950,0
104350.0,2143,2342,1950,0
104350.0,2147,2339,1945,0
104350.0,2144,2339,1948,0
104350.0,2145,2338,1950,0
104350.0,2141,2336,1947,0
104360.0,2146,2339,1949,0
104360.0,2143,2338,1945,0
104360.0,2147,2342,1949,0
104360.0,2144,2337,1947,0
104360.0,2143,2333,1953,0
104360.0,2137,2337,1951,0
104360.0,2144,2336,1953,0
104360.0,2146,2338,1947,0
104360.0,2145,2339,1946,0
104360.0,2144,2337,1943,0
104360.0,2145,2339,1945,0
104370.0,2146,2339,1944,0
104370.0,2147,2335,1949,0
104370.0,2141,2337,1949,0
104370.0,2144,2342,1947,0
104370.0,2147,2339,1947,0
104370.0,2145,2343,1945,0
104370.0,2145,2337,1939,0
104370.0,2146,2336,1943,0
104370.0,2143,2340,1947,0
104380.0,2146,2342,1955,0
104380.0,2144,2339,1950,0
104380.0,2151,2339,1942,0
104380.0,2144,2331,1947,0
104380.0,2147,2335,1949,0
104380.0,2146,2339,1951,0
104380.0,2146,2342,1952,0
104380.0,2142,2336,1946,0
104380.0,2150,2339,1948,0
104380.0,2151,2340,1945,0
104380.0,2148,2337,1945,0
104390.0,2147,2337,1946,0
104390.0,2146,2340,1947,0
104390.0,2149,2335,1954,0
104390.0,2149,2340,1950,0
104390.0,2147,2338,1951,0
104390.0,2151,2333,1950,0
104390.0,2147,2339,1957,0
104390.0,2149,2335,1955,0
104390.0,2145,2338,1949,0
104400.0,2149,2333,1954,0
104400.0,2152,2335,1958,0
104400.0,2151,2342,1952,0
104400.0,2151,2341,1948,0
104400.0,2153,2338,1953,0
104400.0,2147,2338,1956,0
104400.0,2150,2338,1959,0
104400.0,2147,2339,1955,0
104400.0,2150,2335,1956,0
104400.0,2149,2335,1955,0
104400.0,2145,2341,1956,0
104410.0,2151,2340,1957,0
104410.0,2151,2336,1953,0
104410.0,2152,2337,1955,0
104410.0,2150,2337,1959,0
104410.0,2147,2337,1957,0
104410.0,2150,2333,1955,0
104410.0,2144,2332,1955,0
104410.0,2154,2334,1963,0
104410.0,2145,2336,1959,0
104420.0,2145,2335,1965,0
104420.0,2148,2339,1957,0
104420.0,2149,2336,1959,0
104420.0,2148,2339,1952,0
104420.0,2153,2335,1951,0
104420.0,2157,2338,1955,0
104420.0,2152,2339,1955,0
104420.0,2153,2337,1955,0
104420.0,2153,2335,1957,0
104420.0,2157,2337,1958,0
104420.0,2149,2335,1956,0
104430.0,2150,2338,1954,0
104430.0,2151,2334,1958,0
104430.0,2152,2336,1957,0
104430.0,2151,2336,1953,0
104430.0,2145,2334,1957,0
104430.0,2144,2337,1954,0
104430.0,2146,2337,1955,0
104430.0,2149,2341,1954,0
104430.0,2151,2339,1958,0
104440.0,2145,2338,1957,0
104440.0,2150,2334,1954,0
104440.0,2144,2339,1954,0
104440.0,2146,2333,1951,0
104440.0,2149,2339,1952,0
104440.0,2141,2337,1957,0
104440.0,2148,2339,1954,0
104440.0,2148,2339,1953,0
104440.0,2143,2339,1952,0
104440.0,2149,2336,1951,0
104440.0,2148,2338,1955,0
104450.0,2141,2338,1951,0
104450.0,2151,2338,1954,0
104450.0,2152,2333,1949,0
104450.0,2145,2340,1955,0
104450.0,2152,2341,1953,0
104450.0,2149,2334,1948,0
104450.0,2147,2334,1956,0
104450.0,2145,2340,1950,0
104450.0,2145,2341,1950,0
104460.0,2147,2338,1949,0
104460.0,2146,2337,1948,0
104460.0,2147,2336,1949,0
104460.0,2146,2337,1954,0
104460.0,2146,2337,1948,0
104460.0,2146,2338,1947,0
104460.0,2152,2336,1951,0
104460.0,2145,2337,1945,0
104460.0,2145,2330,1948,0
104460.0,2143,2342,1948,0
104460.0,2148,2335,1950,0
104470.0,2149,2337,1950,0
104470.0,2151,2339,1946,0
104470.0,2155,2342,1951,0
104470.0,2151,2337,1947,0
104470.0,2152,2337,1945,0
104470.0,2148,2337,1949,0
104470.0,2147,2337,1943,0
104470.0,2148,2340,1948,0
104470.0,2148,2338,1946,0
104480.0,2151,2340,1947,0
104480.0,2144,2337,1949,0
104480.0,2149,2340,1944,0
104480.0,2147,2337,1947,0
104480.0,2144,2336,1951,0
104480.0,2145,2340,1946,0
104480.0,2147,2333,1946,0
104480.0,2146,2337,1947,0
104480.0,2151,2337,1945,0
104480.0,2151,2341,1942,0
104480.0,2154,2336,1949,0
104490.0,2150,2336,1949,0
104490.0,2143,2334,1947,0
104490.0,2143,2335,1949,0
104490.0,2145,2341,1951,0
104490.0,2144,2339,1945,0
104490.0,2145,2338,1948,0
104490.0,2143,2343,1951,0
104490.0,2149,2342,1954,0
104490.0,2147,2335,1952,0
104500.0,2148,2340,1951,0
104500.0,2141,2342,1954,0
104500.0,2149,2342,1949,0
104500.0,2143,2339,1954,0
104500.0,2145,2340,1955,0
104500.0,2147,2337,1958,0
104500.0,2146,2344,1954,0
104500.0,2142,2341,1956,0
104500.0,2145,2339,1954,0
104500.0,2145,2343,1952,0
104500.0,2143,2339,1959,0
104510.0,2142,2338,1951,0
104510.0,2142,2337,1960,0
104510.0,2146,2336,1960,0
104510.0,2144,2343,1953,0
104510.0,2143,2339,1958,0
104510.0,2140,2341,1957,0
104510.0,2144,2340,1957,0
104510.0,2149,2343,1957,0
104510.0,2138,2338,1957,0
104520.0,2143,2336,1956,0
104520.0,2147,2334,1958,0
104520.0,2145,2338,1953,0
104520.0,2144,2341,1953,0
104520.0,2144,2343,1958,0
104520.0,2146,2340,1961,0
104520.0,2145,2343,1955,0
104520.0,2144,2336,1956,0
104520.0,2143,2339,1954,0
104520.0,2145,2338,1955,0
104520.0,2145,2340,1952,0
104530.0,2149,2336,1951,0
104530.0,2151,2339,1960,0
104530.0,2145,2340,1954,0
104530.0,2150,2339,1957,0
104530.0,2149,2343,1953,0
104530.0,2147,2344,1949,0
104530.0,2140,2337,1951,0
104530.0,2149,2335,1952,0
104530.0,2144,2341,1943,0
104540.0,2147,2338,1955,0
104540.0,2151,2339,1957,0
104540.0,2143,2343,1955,0
104540.0,2144,2339,1951,0
104540.0,2144,2343,1950,0
104540.0,2145,2344,1948,0
104540.0,2147,2343,1949,0
104540.0,2144,2341,1947,0
104540.0,2145,2337,1948,0
104540.0,2145,2337,1952,0
104540.0,2142,2338,1949,0
104550.0,2143,2338,1948,0
104550.0,2144,2338,1951,0
104550.0,2146,2341,1950,0
104550.0,2145,2340,1949,0
104550.0,2133,2333,1951,0
104550.0,2134,2334,1950,0
104550.0,2143,2344,1954,0
104550.0,2145,2336,1949,0
104550.0,2145,2341,1948,0
104560.0,2146,2342,1946,0
104560.0,2145,2340,1942,0
104560.0,2146,2341,1950,0
104560.0,2149,2335,1946,0
104560.0,2139,2337,1948,0
104560.0,2145,2345,1945,0
104560.0,2149,2332,1949,0
104560.0,2149,2333,1952,0
104560.0,2144,2339,1946,0
104560.0,2147,2335,1945,0
104560.0,2141,2338,1943,0
104570.0,2142,2339,1949,0
104570.0,2144,2336,1946,0
104570.0,2147,2341,1948,0
138000.0,2144,2324,1975,0
