timestamp,accX,accY,accZ,class
44150.0,1990,2283,1760,standing-up
44151.0,1996,2285,1756,standing-up
44152.0,1989,2281,1755,standing-up
44153.0,1989,2281,1758,standing-up
44154.0,1990,2285,1758,standing-up
44155.0,1983,2287,1760,standing-up
44156.0,1988,2283,1756,standing-up
44157.0,1988,2284,1761,standing-up
44158.0,1991,2286,1748,standing-up
44159.0,1994,2281,1754,standing-up
44160.0,1987,2285,1760,standing-up
44161.0,1992,2281,1757,standing-up
44162.0,1989,2281,1758,standing-up
44163.0,1994,2285,1758,standing-up
44164.0,1991,2286,1753,standing-up
44165.0,1988,2279,1754,standing-up
44166.0,1990,2283,1758,standing-up
44167.0,1989,2284,1759,standing-up
44168.0,1988,2287,1757,standing-up
44169.0,1986,2285,1756,standing-up
44170.0,1989,2288,1756,standing-up
44171.0,1992,2283,1757,standing-up
44172.0,1992,2282,1762,standing-up
44173.0,1991,2287,1761,standing-up
44174.0,1985,2282,1756,standing-up
44175.0,1987,2287,1755,standing-up
44176.0,1992,2281,1757,standing-up
44177.0,1992,2284,1759,standing-up
44178.0,1987,2280,1754,standing-up
44179.0,1990,2286,1756,standing-up
44180.0,1990,2283,1753,standing-up
44181.0,1990,2286,1762,standing-up
44182.0,1987,2282,1756,standing-up
44183.0,1989,2283,1757,standing-up
44184.0,1996,2285,1753,standing-up
44185.0,1989,2288,1752,standing-up
44186.0,1985,2282,1760,standing-up
44187.0,1988,2282,1757,standing-up
44188.0,1989,2282,1756,standing-up
44189.0,1995,2284,1757,standing-up
44190.0,1991,2284,1755,standing-up
44191.0,1988,2284,1758,standing-up
44192.0,1991,2278,1758,standing-up
44193.0,1994,2278,1754,standing-up
44194.0,1992,2283,1755,standing-up
44195.0,1989,2277,1758,standing-up
44196.0,1991,2287,1754,standing-up
44197.0,1989,2281,1754,standing-up
44198.0,1988,2281,1755,standing-up
44199.0,1994,2286,1760,standing-up
44200.0,1986,2279,1763,standing-up
44201.0,1989,2280,1763,standing-up
44202.0,1989,2278,1753,standing-up
44203.0,1985,2283,1758,standing-up
44204.0,1989,2285,1754,standing-up
44205.0,1988,2278,1757,standing-up
44206.0,1985,2283,1753,standing-up
44207.0,1989,2280,1759,standing-up
44208.0,1990,2283,1752,standing-up
44209.0,1987,2275,1759,standing-up
44210.0,1993,2284,1758,standing-up
44211.0,1995,2278,1757,standing-up
44212.0,1990,2283,1758,standing-up
44213.0,1989,2283,1757,standing-up
44214.0,1991,2283,1759,standing-up
44215.0,1990,2280,1751,standing-up
44216.0,1985,2283,1756,standing-up
44217.0,1988,2282,1758,standing-up
44218.0,1986,2284,1761,standing-up
44219.0,1998,2280,1760,standing-up
44220.0,1989,2287,1756,standing-up
44221.0,1991,2282,1760,standing-up
44222.0,1991,2282,1761,standing-up
44223.0,1989,2284,1756,standing-up
44224.0,1987,2285,1755,standing-up
44225.0,1986,2281,1753,standing-up
44226.0,1990,2284,1759,standing-up
44227.0,1981,2281,1755,standing-up
44228.0,1988,2282,1755,standing-up
44229.0,1995,2282,1757,standing-up
44230.0,1995,2283,1755,standing-up
44231.0,1990,2283,1757,standing-up
44232.0,1993,2279,1752,standing-up
44233.0,1989,2283,1759,standing-up
44234.0,1990,2280,1759,standing-up
44235.0,1989,2280,1754,standing-up
44236.0,1991,2279,1756,standing-up
44237.0,1990,2281,1756,standing-up
44238.0,1987,2281,1760,standing-up
44239.0,1986,2279,1755,standing-up
44240.0,1993,2281,1754,standing-up
44241.0,1986,2280,1760,standing-up
44242.0,1983,2280,1751,standing-up
44243.0,1987,2279,1753,standing-up
44244.0,1987,2279,1758,standing-up
44245.0,1992,2284,1757,standing-up
44246.0,1993,2279,1754,standing-up
44247.0,1989,2284,1757,standing-up
44248.0,1989,2281,1759,standing-up
44249.0,1994,2284,1753,standing-up
44250.0,1989,2282,1753,standing-up
44251.0,1991,2283,1756,standing-up
44252.0,1992,2285,1752,standing-up
44253.0,1985,2287,1758,standing-up
44254.0,1989,2285,1750,standing-up
44255.0,1986,2281,1754,standing-up
44256.0,1994,2281,1757,standing-up
44257.0,1990,2282,1755,standing-up
44258.0,1991,2287,1756,standing-up
44259.0,1986,2279,1756,standing-up
44260.0,1989,2283,1758,standing-up
44261.0,1987,2279,1753,standing-up
44262.0,1987,2283,1754,standing-up
44263.0,1986,2283,1759,standing-up
44264.0,1988,2285,1762,standing-up
44265.0,1987,2277,1758,standing-up
44266.0,1991,2280,1759,standing-up
44267.0,1985,2282,1754,standing-up
44268.0,1985,2284,1760,standing-up
44269.0,1993,2279,1753,standing-up
44270.0,1982,2284,1749,standing-up
