timestamp,accX,accY,accZ,class
47640.0,2090,2373,2047,standing
47641.0,2088,2383,2049,standing
47642.0,2064,2344,1960,standing
47643.0,2085,2375,2023,standing
47644.0,2102,2348,2030,standing
47645.0,2102,2356,2038,standing
47646.0,2109,2352,2029,standing
47647.0,2097,2355,2041,standing
47648.0,2111,2357,2015,standing
47649.0,2093,2351,2022,standing
47650.0,2062,2358,2022,standing
47651.0,2056,2376,2018,standing
47652.0,2044,2360,2004,standing
47653.0,2049,2360,1997,standing
47654.0,2053,2350,2009,standing
47655.0,2080,2349,2007,standing
47656.0,2101,2351,2001,standing
47657.0,2091,2363,2008,standing
47658.0,2088,2379,2013,standing
47659.0,2080,2381,2025,standing
47660.0,2059,2365,2027,standing
47661.0,2067,2359,2028,standing
47662.0,2073,2364,2020,standing
47663.0,2070,2371,2027,standing
47664.0,2094,2369,2035,standing
47665.0,2143,2359,2026,standing
47666.0,2077,2376,1956,standing
47667.0,2043,2380,1979,standing
47668.0,2019,2402,1995,standing
47669.0,2015,2392,2053,standing
47670.0,2081,2411,2088,standing
47671.0,2052,2388,2046,standing
47672.0,2081,2377,2022,standing
47673.0,2097,2367,2016,standing
47674.0,2103,2349,2014,standing
47675.0,2102,2349,2039,standing
47676.0,2099,2365,2050,standing
47677.0,2104,2376,2058,standing
47678.0,2105,2383,2065,standing
47679.0,2101,2382,2066,standing
47680.0,2109,2381,2066,standing
47681.0,2107,2378,2064,standing
47682.0,2111,2375,2053,standing
47683.0,2113,2373,2052,standing
47684.0,2120,2374,2049,standing
47685.0,2129,2366,2045,standing
47686.0,2137,2360,2045,standing
47687.0,2136,2349,2051,standing
47688.0,2125,2351,2047,standing
47689.0,2107,2354,2060,standing
47690.0,2109,2366,2068,standing
47691.0,2114,2382,2072,standing
47692.0,2113,2398,2051,standing
47693.0,2121,2387,2044,standing
47694.0,2127,2368,2037,standing
47695.0,2131,2364,2017,standing
47696.0,2132,2360,2011,standing
47697.0,2136,2357,2002,standing
47698.0,2127,2358,2005,standing
47699.0,2130,2359,2028,standing
47700.0,2136,2360,2034,standing
47701.0,2127,2352,2043,standing
47702.0,2159,2350,2032,standing
