timestamp,accX,accY,accZ,class
84800.0,2099,2363,1999,walk-talk
84801.0,2107,2361,2002,walk-talk
84802.0,2104,2366,1998,walk-talk
84803.0,2104,2362,1992,walk-talk
84804.0,2103,2369,1994,walk-talk
84805.0,2105,2370,1997,walk-talk
84806.0,2101,2361,1999,walk-talk
84807.0,2102,2358,1998,walk-talk
84808.0,2107,2361,2001,walk-talk
84809.0,2104,2361,1999,walk-talk
84810.0,2107,2368,2003,walk-talk
84811.0,2099,2371,1999,walk-talk
84812.0,2100,2364,1998,walk-talk
84813.0,2103,2366,1999,walk-talk
84814.0,2103,2366,1997,walk-talk
84815.0,2101,2366,1999,walk-talk
84816.0,2102,2365,2000,walk-talk
84817.0,2101,2367,2008,walk-talk
84818.0,2103,2365,1998,walk-talk
84819.0,2104,2366,1999,walk-talk
84820.0,2107,2369,2001,walk-talk
84821.0,2109,2367,1997,walk-talk
84822.0,2104,2368,1995,walk-talk
84823.0,2104,2364,1996,walk-talk
84824.0,2103,2368,1998,walk-talk
84825.0,2101,2364,2001,walk-talk
84826.0,2102,2365,2000,walk-talk
84827.0,2107,2357,1997,walk-talk
84828.0,2103,2362,1999,walk-talk
84829.0,2104,2366,2006,walk-talk
84830.0,2103,2356,1998,walk-talk
84831.0,2104,2359,1999,walk-talk
84832.0,2100,2365,1994,walk-talk
84833.0,2105,2361,1999,walk-talk
84834.0,2103,2362,1995,walk-talk
84835.0,2111,2363,2001,walk-talk
84836.0,2106,2365,1998,walk-talk
84837.0,2101,2365,2001,walk-talk
84838.0,2106,2366,2003,walk-talk
84839.0,2106,2363,1999,walk-talk
84840.0,2107,2363,1999,walk-talk
84841.0,2106,2359,1998,walk-talk
84842.0,2100,2363,1997,walk-talk
84843.0,2099,2361,1997,walk-talk
84844.0,2107,2363,2001,walk-talk
84845.0,2104,2370,2000,walk-talk
84846.0,2105,2367,2001,walk-talk
84847.0,2099,2365,2001,walk-talk
84848.0,2103,2359,1997,walk-talk
84849.0,2101,2362,1997,walk-talk
84850.0,2102,2366,2000,walk-talk
84851.0,2099,2364,1997,walk-talk
84852.0,2103,2366,2001,walk-talk
84853.0,2108,2359,2000,walk-talk
84854.0,2102,2353,2004,walk-talk
84855.0,2105,2355,2001,walk-talk
84856.0,2106,2360,1993,walk-talk
84857.0,2106,2369,1996,walk-talk
84858.0,2103,2374,2001,walk-talk
84859.0,2104,2376,2006,walk-talk
84860.0,2105,2377,2005,walk-talk
84861.0,2104,2374,2002,walk-talk
84862.0,2098,2369,2000,walk-talk
84863.0,2100,2367,1995,walk-talk
84864.0,2101,2366,1991,walk-talk
84865.0,2098,2360,1990,walk-talk
84866.0,2107,2360,1995,walk-talk
84867.0,2113,2362,1996,walk-talk
84868.0,2117,2365,1997,walk-talk
84869.0,2113,2363,2003,walk-talk
84870.0,2111,2365,2005,walk-talk
84871.0,2109,2365,2009,walk-talk
84872.0,2101,2370,2008,walk-talk
84873.0,2105,2369,1999,walk-talk
84874.0,2105,2368,2001,walk-talk
84875.0,2104,2365,2003,walk-talk
84876.0,2103,2361,1996,walk-talk
84877.0,2099,2362,1996,walk-talk
84878.0,2101,2366,1997,walk-talk
84879.0,2104,2367,1994,walk-talk
84880.0,2103,2365,1994,walk-talk
84881.0,2108,2368,1990,walk-talk
84882.0,2109,2365,1990,walk-talk
84883.0,2103,2367,1994,walk-talk
84884.0,2104,2367,1998,walk-talk
84885.0,2106,2364,1991,walk-talk
84886.0,2103,2358,1996,walk-talk
84887.0,2100,2358,1994,walk-talk
84888.0,2092,2360,1997,walk-talk
84889.0,2094,2365,1996,walk-talk
84890.0,2092,2364,1996,walk-talk
84891.0,2096,2368,1991,walk-talk
84892.0,2095,2365,1995,walk-talk
84893.0,2094,2364,1995,walk-talk
84894.0,2096,2360,1998,walk-talk
84895.0,2101,2360,1999,walk-talk
84896.0,2098,2358,2002,walk-talk
84897.0,2105,2363,2001,walk-talk
84898.0,2096,2365,2000,walk-talk
84899.0,2100,2370,1997,walk-talk
84900.0,2102,2370,1990,walk-talk
84901.0,2102,2369,1997,walk-talk
84902.0,2100,2371,1988,walk-talk
84903.0,2096,2365,1992,walk-talk
84904.0,2101,2375,1994,walk-talk
84905.0,2103,2370,1990,walk-talk
84906.0,2106,2365,1994,walk-talk
84907.0,2107,2369,1996,walk-talk
84908.0,2102,2362,2001,walk-talk
84909.0,2104,2369,2004,walk-talk
84910.0,2106,2363,2003,walk-talk
84911.0,2105,2364,2002,walk-talk
84912.0,2104,2367,2004,walk-talk
84913.0,2107,2362,1997,walk-talk
84914.0,2103,2363,2003,walk-talk
84915.0,2103,2362,2002,walk-talk
84916.0,2109,2364,2002,walk-talk
84917.0,2109,2369,1999,walk-talk
