timestamp,accX,accY,accZ,class
58460.0,2026,2516,1952,walking
58461.0,2017,2516,1949,walking
58462.0,2015,2519,1949,walking
58463.0,2017,2516,1950,walking
58464.0,2020,2517,1942,walking
58465.0,2019,2519,1950,walking
58466.0,2022,2516,1950,walking
58467.0,2021,2522,1950,walking
58468.0,2018,2521,1952,walking
58469.0,2017,2516,1946,walking
58470.0,2019,2514,1948,walking
58471.0,2018,2517,1952,walking
58472.0,2021,2514,1946,walking
58473.0,2013,2518,1953,walking
58474.0,2022,2515,1951,walking
58475.0,2021,2518,1945,walking
58476.0,2020,2518,1949,walking
58477.0,2021,2516,1948,walking
58478.0,2016,2517,1948,walking
58479.0,2016,2515,1949,walking
58480.0,2018,2511,1947,walking
58481.0,2019,2509,1946,walking
58482.0,2023,2513,1948,walking
58483.0,2022,2516,1955,walking
58484.0,2019,2515,1948,walking
58485.0,2019,2518,1949,walking
58486.0,2021,2523,1957,walking
58487.0,2020,2513,1954,walking
58488.0,2015,2519,1949,walking
58489.0,2020,2519,1952,walking
58490.0,2017,2520,1949,walking
58491.0,2020,2522,1954,walking
58492.0,2019,2521,1956,walking
58493.0,2023,2515,1953,walking
58494.0,2021,2518,1950,walking
58495.0,2021,2517,1948,walking
58496.0,2023,2522,1950,walking
58497.0,2015,2519,1956,walking
58498.0,2021,2515,1951,walking
58499.0,2026,2515,1954,walking
58500.0,2019,2521,1949,walking
58501.0,2026,2518,1951,walking
58502.0,2016,2517,1948,walking
58503.0,2016,2515,1949,walking
58504.0,2019,2513,1950,walking
58505.0,2019,2521,1951,walking
58506.0,2018,2519,1952,walking
58507.0,2024,2517,1950,walking
58508.0,2016,2515,1950,walking
58509.0,2021,2521,1949,walking
58510.0,2024,2516,1948,walking
58511.0,2019,2519,1948,walking
58512.0,2021,2519,1950,walking
58513.0,2023,2516,1951,walking
58514.0,2022,2521,1945,walking
58515.0,2024,2512,1951,walking
58516.0,2020,2515,1946,walking
58517.0,2021,2514,1945,walking
58518.0,2022,2516,1946,walking
58519.0,2017,2516,1948,walking
58520.0,2016,2513,1950,walking
58521.0,2022,2517,1948,walking
58522.0,2026,2514,1953,walking
58523.0,2022,2514,1949,walking
58524.0,2022,2521,1948,walking
58525.0,2023,2520,1947,walking
58526.0,2020,2518,1948,walking
58527.0,2019,2511,1948,walking
58528.0,2020,2518,1949,walking
58529.0,2020,2514,1947,walking
58530.0,2018,2515,1942,walking
58531.0,2026,2517,1947,walking
58532.0,2020,2523,1948,walking
58533.0,2021,2515,1951,walking
58534.0,2019,2515,1948,walking
58535.0,2018,2516,1947,walking
58536.0,2024,2518,1949,walking
58537.0,2020,2515,1947,walking
58538.0,2019,2515,1951,walking
58539.0,2023,2516,1949,walking
58540.0,2017,2517,1951,walking
58541.0,2012,2520,1947,walking
58542.0,2023,2519,1943,walking
58543.0,2024,2516,1947,walking
58544.0,2018,2519,1951,walking
58545.0,2011,2514,1952,walking
58546.0,2020,2517,1947,walking
58547.0,2015,2520,1951,walking
58548.0,2013,2515,1954,walking
