timestamp,accX,accY,accZ,class
87299.0,2030,2346,2058,stand-talk
87300.0,2029,2351,2057,stand-talk
87301.0,2034,2348,2053,stand-talk
87302.0,2034,2346,2059,stand-talk
87303.0,2029,2350,2053,stand-talk
87304.0,2024,2349,2054,stand-talk
87305.0,2029,2352,2052,stand-talk
87306.0,2025,2354,2050,stand-talk
87307.0,2029,2351,2048,stand-talk
87308.0,2022,2345,2050,stand-talk
87309.0,2027,2349,2054,stand-talk
87310.0,2025,2349,2050,stand-talk
87311.0,2021,2351,2050,stand-talk
87312.0,2022,2352,2051,stand-talk
87313.0,2027,2360,2049,stand-talk
87314.0,2021,2358,2055,stand-talk
87315.0,2025,2355,2052,stand-talk
87316.0,2024,2346,2050,stand-talk
87317.0,2021,2340,2048,stand-talk
87318.0,2027,2343,2055,stand-talk
87319.0,2026,2345,2059,stand-talk
87320.0,2016,2341,2056,stand-talk
87321.0,2020,2347,2053,stand-talk
87322.0,2021,2357,2044,stand-talk
87323.0,2024,2351,2053,stand-talk
87324.0,2030,2349,2048,stand-talk
87325.0,2026,2349,2054,stand-talk
87326.0,2022,2350,2054,stand-talk
87327.0,2018,2347,2054,stand-talk
87328.0,2022,2350,2055,stand-talk
87329.0,2027,2351,2060,stand-talk
87330.0,2020,2350,2058,stand-talk
87331.0,2018,2349,2057,stand-talk
87332.0,2023,2352,2063,stand-talk
87333.0,2017,2351,2054,stand-talk
87334.0,2017,2347,2061,stand-talk
87335.0,2014,2355,2056,stand-talk
87336.0,2022,2351,2059,stand-talk
87337.0,2035,2344,2070,stand-talk
87338.0,2021,2350,2058,stand-talk
87339.0,2025,2346,2061,stand-talk
87340.0,2030,2355,2064,stand-talk
87341.0,2019,2355,2062,stand-talk
87342.0,2020,2355,2061,stand-talk
87343.0,2020,2350,2063,stand-talk
87344.0,2026,2346,2059,stand-talk
87345.0,2023,2353,2060,stand-talk
87346.0,2026,2351,2055,stand-talk
87347.0,2023,2349,2053,stand-talk
87348.0,2023,2351,2055,stand-talk
87349.0,2022,2349,2056,stand-talk
87350.0,2023,2346,2065,stand-talk
87351.0,2022,2349,2064,stand-talk
87352.0,2022,2348,2058,stand-talk
87353.0,2026,2351,2052,stand-talk
87354.0,2032,2350,2054,stand-talk
87355.0,2025,2353,2057,stand-talk
87356.0,2024,2349,2052,stand-talk
87357.0,2021,2349,2048,stand-talk
87358.0,2028,2341,2052,stand-talk
87359.0,2022,2335,2057,stand-talk
87360.0,2023,2340,2059,stand-talk
87361.0,2028,2343,2067,stand-talk
87362.0,2027,2347,2059,stand-talk
87363.0,2027,2344,2056,stand-talk
87364.0,2029,2349,2052,stand-talk
87365.0,2029,2344,2054,stand-talk
87366.0,2026,2354,2050,stand-talk
87367.0,2022,2351,2050,stand-talk
87368.0,2031,2351,2049,stand-talk
87369.0,2022,2351,2055,stand-talk
87370.0,2027,2350,2048,stand-talk
87371.0,2021,2347,2049,stand-talk
87372.0,2030,2351,2053,stand-talk
87373.0,2028,2350,2046,stand-talk
87374.0,2021,2347,2047,stand-talk
87375.0,2019,2346,2053,stand-talk
87376.0,2029,2338,2060,stand-talk
87377.0,2034,2350,2047,stand-talk
87378.0,2027,2352,2051,stand-talk
87379.0,2023,2349,2052,stand-talk
87380.0,2016,2353,2047,stand-talk
87381.0,2019,2352,2051,stand-talk
87382.0,2022,2353,2054,stand-talk
87383.0,2020,2353,2054,stand-talk
87384.0,2020,2352,2054,stand-talk
87385.0,2027,2347,2055,stand-talk
87386.0,2028,2343,2053,stand-talk
87387.0,2026,2347,2052,stand-talk
87388.0,2024,2349,2047,stand-talk
87389.0,2023,2351,2050,stand-talk
87390.0,2030,2350,2050,stand-talk
87391.0,2024,2348,2049,stand-talk
87392.0,2031,2348,2053,stand-talk
87393.0,2030,2347,2054,stand-talk
87394.0,2027,2349,2044,stand-talk
87395.0,2028,2348,2047,stand-talk
87396.0,2027,2345,2055,stand-talk
87397.0,2027,2343,2052,stand-talk
87398.0,2031,2346,2053,stand-talk
87399.0,2029,2349,2044,stand-talk
87400.0,2028,2352,2051,stand-talk
87401.0,2027,2352,2045,stand-talk
87402.0,2028,2346,2048,stand-talk
87403.0,2031,2348,2046,stand-talk
87404.0,2026,2349,2049,stand-talk
87405.0,2023,2347,2050,stand-talk
87406.0,2025,2345,2048,stand-talk
87407.0,2027,2345,2049,stand-talk
87408.0,2024,2351,2047,stand-talk
87409.0,2025,2350,2043,stand-talk
87410.0,2026,2350,2046,stand-talk
87411.0,2026,2347,2046,stand-talk
87412.0,2031,2347,2045,stand-talk
87413.0,2025,2347,2049,stand-talk
87414.0,2026,2350,2049,stand-talk
87415.0,2028,2351,2043,stand-talk
87416.0,2028,2339,2048,stand-talk
87417.0,2029,2342,2051,stand-talk
87418.0,2030,2343,2050,stand-talk
87419.0,2034,2346,2047,stand-talk
87420.0,2030,2350,2052,stand-talk
87421.0,2038,2349,2045,stand-talk
87422.0,2037,2356,2039,stand-talk
87423.0,2032,2351,2045,stand-talk
87424.0,2028,2351,2045,stand-talk
87425.0,2029,2350,2043,stand-talk
87426.0,2029,2351,2043,stand-talk
87427.0,2028,2359,2039,stand-talk
87428.0,2022,2373,2031,stand-talk
87429.0,2028,2363,2037,stand-talk
87430.0,2043,2353,2038,stand-talk
87431.0,2035,2355,2053,stand-talk
87432.0,2037,2349,2044,stand-talk
87433.0,2039,2331,2041,stand-talk
87434.0,2045,2329,2041,stand-talk
87435.0,2060,2320,2041,stand-talk
87436.0,2048,2327,2031,stand-talk
87437.0,2046,2337,2030,stand-talk
87438.0,2041,2345,2023,stand-talk
87439.0,2053,2354,2032,stand-talk
87440.0,2066,2359,2031,stand-talk
87441.0,2063,2352,2034,stand-talk
87442.0,2055,2336,2041,stand-talk
87443.0,2049,2323,2045,stand-talk
87444.0,2048,2317,2042,stand-talk
87445.0,2043,2331,2040,stand-talk
87446.0,2041,2333,2038,stand-talk
87447.0,2046,2348,2043,stand-talk
87448.0,2051,2346,2043,stand-talk
87449.0,2057,2334,2038,stand-talk
87450.0,2072,2317,2026,stand-talk
87451.0,2088,2324,2024,stand-talk
87452.0,2086,2326,2037,stand-talk
87453.0,2090,2319,2037,stand-talk
87454.0,2089,2331,2043,stand-talk
87455.0,2090,2355,2057,stand-talk
87456.0,2088,2365,2075,stand-talk
87457.0,2080,2359,2049,stand-talk
87458.0,2070,2344,2033,stand-talk
87459.0,2059,2317,2044,stand-talk
87460.0,2043,2315,2062,stand-talk
87461.0,2033,2328,2080,stand-talk
87462.0,2039,2356,2079,stand-talk
87463.0,2049,2373,2082,stand-talk
87464.0,2048,2374,2070,stand-talk
87465.0,2043,2365,2076,stand-talk
87466.0,2040,2350,2068,stand-talk
87467.0,2039,2325,2066,stand-talk
87468.0,2044,2329,2071,stand-talk
87469.0,2048,2346,2070,stand-talk
87470.0,2061,2352,2072,stand-talk
87471.0,2080,2346,2057,stand-talk
87472.0,2072,2340,2065,stand-talk
87473.0,2054,2340,2060,stand-talk
87474.0,2046,2336,2057,stand-talk
87475.0,2065,2338,2063,stand-talk
87476.0,2068,2348,2064,stand-talk
87477.0,2066,2347,2065,stand-talk
87478.0,2048,2339,2059,stand-talk
87479.0,2048,2346,2062,stand-talk
87480.0,2045,2341,2064,stand-talk
87481.0,2029,2358,2147,stand-talk
87482.0,2062,2349,2087,stand-talk
87483.0,2049,2340,2077,stand-talk
87484.0,2051,2332,2087,stand-talk
87485.0,2049,2309,2094,stand-talk
87486.0,2038,2305,2088,stand-talk
87487.0,2036,2317,2070,stand-talk
87488.0,2030,2341,2077,stand-talk
87489.0,2032,2380,2081,stand-talk
87490.0,2031,2367,2075,stand-talk
87491.0,2041,2353,2079,stand-talk
87492.0,2043,2351,2095,stand-talk
87493.0,2038,2341,2101,stand-talk
87494.0,2038,2347,2095,stand-talk
87495.0,2039,2357,2100,stand-talk
87496.0,2038,2358,2098,stand-talk
87497.0,2033,2357,2089,stand-talk
87498.0,2033,2340,2101,stand-talk
87499.0,2042,2331,2108,stand-talk
87500.0,2035,2334,2099,stand-talk
87501.0,2028,2342,2102,stand-talk
87502.0,2038,2341,2100,stand-talk
87503.0,2048,2335,2101,stand-talk
87504.0,2036,2340,2107,stand-talk
87505.0,2048,2336,2107,stand-talk
87506.0,2041,2343,2101,stand-talk
87507.0,2044,2338,2102,stand-talk
87508.0,2042,2345,2099,stand-talk
87509.0,2038,2343,2094,stand-talk
87510.0,2047,2350,2091,stand-talk
87511.0,2049,2349,2086,stand-talk
87512.0,2045,2346,2081,stand-talk
87513.0,2049,2345,2085,stand-talk
87514.0,2043,2337,2081,stand-talk
87515.0,2055,2333,2080,stand-talk
87516.0,2048,2336,2078,stand-talk
87517.0,2057,2336,2079,stand-talk
87518.0,2054,2336,2078,stand-talk
87519.0,2050,2334,2075,stand-talk
87520.0,2052,2331,2075,stand-talk
87521.0,2051,2330,2075,stand-talk
87522.0,2064,2331,2075,stand-talk
87523.0,2063,2338,2071,stand-talk
87524.0,2063,2340,2072,stand-talk
87525.0,2069,2344,2071,stand-talk
87526.0,2055,2339,2064,stand-talk
87527.0,2058,2337,2069,stand-talk
87528.0,2064,2335,2061,stand-talk
87529.0,2066,2326,2065,stand-talk
87530.0,2069,2328,2068,stand-talk
87531.0,2071,2327,2065,stand-talk
87532.0,2072,2334,2060,stand-talk
87533.0,2068,2330,2065,stand-talk
87534.0,2072,2339,2068,stand-talk
87535.0,2081,2331,2062,stand-talk
87536.0,2074,2333,2056,stand-talk
87537.0,2086,2337,2060,stand-talk
87538.0,2082,2337,2056,stand-talk
87539.0,2081,2335,2055,stand-talk
87540.0,2074,2330,2069,stand-talk
87541.0,2078,2321,2050,stand-talk
87542.0,2080,2330,2055,stand-talk
87543.0,2068,2333,2058,stand-talk
87544.0,2075,2349,2052,stand-talk
87545.0,2079,2346,2053,stand-talk
87546.0,2080,2354,2058,stand-talk
87547.0,2067,2342,2065,stand-talk
87548.0,2068,2334,2065,stand-talk
87549.0,2067,2328,2065,stand-talk
87550.0,2064,2338,2060,stand-talk
87551.0,2065,2338,2059,stand-talk
87552.0,2063,2339,2058,stand-talk
