timestamp,accX,accY,accZ,class
0,1820,2181,1589,computer
1,1910,2127,1696,computer
2,1965,2088,1841,computer
3,1996,2135,1529,computer
4,1944,2082,1653,computer
5,2027,2057,1719,computer
6,1973,2066,1691,computer
7,1926,2007,1733,computer
8,1847,2055,1700,computer
9,1992,1868,1565,computer
10,1945,1933,1610,computer
11,1966,1934,1630,computer
12,1985,2046,1626,computer
13,1968,2062,1719,computer
14,1980,2113,1729,computer
15,1980,2018,1688,computer
16,2022,2077,1631,computer
17,2011,2141,1626,computer
18,1991,2142,1714,computer
19,1993,2104,1668,computer
20,1995,2101,1676,computer
21,1957,2129,1706,computer
22,2020,2105,1636,computer
23,1974,2076,1620,computer
24,1977,2123,1640,computer
25,1897,2221,1623,computer
26,2035,2092,1667,computer
27,1988,2039,1783,computer
28,1986,2135,1640,computer
29,2154,2203,1596,computer
30,2082,2162,1589,computer
31,2057,2177,1607,computer
32,2021,2132,1692,computer
33,2021,2104,1647,computer
34,2034,2149,1661,computer
35,2027,2134,1637,computer
36,2144,2291,1711,computer
37,1994,2161,1712,computer
38,2124,2066,1670,computer
39,1904,2242,1744,computer
40,2066,2450,1688,computer
41,2036,2303,1662,computer
42,2028,2275,1694,computer
43,2020,2319,1687,computer
44,2013,2266,1742,computer
45,1995,2269,1748,computer
46,1950,2249,1681,computer
47,1945,2167,1713,computer
48,1918,2175,1717,computer
49,1934,2117,1706,computer
50,1899,2181,1642,computer
51,1984,2364,1715,computer
52,1973,2359,1680,computer
53,1902,2326,1757,computer
54,1868,2313,1727,computer
55,1840,2265,1709,computer
56,1769,2107,1692,computer
57,1831,2028,2010,computer
58,1615,2139,1874,computer
59,1762,2174,1698,computer
60,1852,2025,1493,computer
61,1705,2107,1710,computer
62,1875,2363,1695,computer
63,1941,2146,1756,computer
64,1734,2196,1708,computer
65,1745,2089,1762,computer
66,1769,2068,1760,computer
67,1770,2129,1709,computer
68,1765,2170,1680,computer
69,1735,2165,1699,computer
70,1728,2167,1656,computer
71,1741,2120,1772,computer
72,1848,2109,1732,computer
73,1885,2022,1812,computer
74,2242,2661,1447,computer
75,1914,2012,1617,computer
76,1903,2228,1785,computer
77,2077,2422,1805,computer
78,2020,2081,1758,computer
79,1935,2065,1801,computer
80,2007,2023,1860,computer
81,2070,2121,1678,computer
82,2017,2210,1794,computer
83,2069,1974,1592,computer
84,2067,2162,1526,computer
85,2096,2321,1616,computer
86,2324,1879,1489,computer
87,1903,1972,1648,computer
88,1986,2008,1553,computer
89,1978,2000,1586,computer
90,1739,2041,1146,computer
91,2499,2092,1558,computer
92,2157,1416,1227,computer
93,2211,1173,3283,computer
94,2048,1428,1655,computer
95,2125,1824,1725,computer
96,1468,1755,1385,computer
97,2357,1662,1873,computer
98,2398,1847,1989,computer
99,2003,1816,1960,computer
100,2176,1948,1545,computer
101,2289,1803,1722,computer
102,1992,1842,1748,computer
103,2408,1717,1779,computer
