timestamp,accX,accY,accZ,class
47500.0,1991,2322,1928,0
47501.0,2007,2324,1919,0
47502.0,2030,2319,1933,0
47503.0,2029,2306,1950,0
47504.0,2010,2318,1957,0
47505.0,1956,2357,1972,0
47506.0,1928,2395,2017,0
47507.0,1970,2358,1993,0
47508.0,1988,2333,1980,0
47509.0,2008,2352,1965,0
47510.0,1992,2356,1991,0
47511.0,1995,2354,1988,0
47512.0,2006,2319,1965,0
47513.0,1998,2323,1949,0
47514.0,1998,2346,1921,0
47515.0,1969,2347,1902,0
47516.0,1941,2373,1890,0
47517.0,1971,2375,1896,0
47518.0,2069,2336,1896,0
47519.0,2084,2285,1929,0
47520.0,2005,2302,1928,0
47521.0,1979,2342,1943,0
47522.0,1997,2342,1912,0
47523.0,2012,2345,1893,0
47524.0,2018,2354,1878,0
47525.0,2033,2350,1873,0
47526.0,2038,2347,1881,0
47527.0,2048,2365,1896,0
47528.0,2056,2382,1919,0
47529.0,2068,2425,1949,0
47530.0,2057,2460,1981,0
47531.0,2051,2451,1998,0
47532.0,2060,2402,2076,0
47533.0,2080,2325,2055,0
47534.0,2073,2268,2022,0
47535.0,2053,2260,2051,0
47536.0,2042,2279,2039,0
47537.0,2050,2317,2022,0
47538.0,2038,2348,2072,0
47539.0,2040,2360,2090,0
47540.0,2054,2342,2082,0
47541.0,2060,2319,2059,0
47542.0,2068,2281,2026,0
47543.0,2074,2258,2002,0
47544.0,2074,2271,1991,0
47545.0,2066,2282,2004,0
47546.0,2060,2323,2010,0
47547.0,2057,2341,2007,0
47548.0,2047,2342,1982,0
47549.0,2068,2327,1943,0
47550.0,2093,2341,1931,0
47551.0,2104,2343,1952,0
47552.0,2095,2342,1956,0
47553.0,2085,2334,1956,0
47554.0,2081,2322,1949,0
47555.0,2076,2319,1934,0
47556.0,2079,2322,1938,0
47557.0,2081,2336,1946,0
47558.0,2086,2337,1980,0
47559.0,2098,2355,1986,0
47560.0,2095,2378,1961,0
47561.0,2100,2402,1946,0
47562.0,2081,2404,1956,0
47563.0,2078,2399,1964,0
47564.0,2090,2388,1977,0
47565.0,2067,2351,1974,0
47566.0,2015,2318,1963,0
47567.0,1968,2295,1943,0
47568.0,1940,2299,1941,0
47569.0,1941,2329,1943,0
47570.0,1972,2348,1959,0
47571.0,2009,2359,1954,0
47572.0,2040,2342,1947,0
47573.0,2062,2306,1921,0
