timestamp,accX,accY,accZ,class
32750.0,2177,2302,1802,standing-up
32751.0,2186,2301,1801,standing-up
32752.0,2181,2310,1796,standing-up
32753.0,2181,2310,1791,standing-up
32754.0,2187,2305,1798,standing-up
32755.0,2186,2306,1798,standing-up
32756.0,2182,2306,1800,standing-up
32757.0,2181,2310,1805,standing-up
32758.0,2180,2305,1803,standing-up
32759.0,2181,2310,1799,standing-up
32760.0,2179,2308,1799,standing-up
32761.0,2181,2305,1803,standing-up
32762.0,2183,2306,1802,standing-up
32763.0,2190,2304,1797,standing-up
32764.0,2185,2308,1794,standing-up
32765.0,2182,2303,1798,standing-up
32766.0,2183,2307,1796,standing-up
32767.0,2183,2303,1794,standing-up
32768.0,2179,2307,1797,standing-up
32769.0,2179,2304,1805,standing-up
32770.0,2177,2305,1807,standing-up
32771.0,2181,2310,1802,standing-up
32772.0,2179,2303,1798,standing-up
32773.0,2171,2303,1800,standing-up
32774.0,2179,2307,1799,standing-up
32775.0,2179,2309,1800,standing-up
32776.0,2184,2307,1794,standing-up
32777.0,2189,2306,1793,standing-up
32778.0,2181,2302,1787,standing-up
32779.0,2184,2310,1793,standing-up
32780.0,2181,2307,1807,standing-up
32781.0,2174,2307,1804,standing-up
32782.0,2178,2305,1801,standing-up
32783.0,2178,2303,1801,standing-up
32784.0,2183,2308,1791,standing-up
32785.0,2178,2304,1798,standing-up
32786.0,2182,2307,1794,standing-up
32787.0,2176,2303,1806,standing-up
32788.0,2184,2303,1794,standing-up
32789.0,2182,2307,1803,standing-up
32790.0,2180,2309,1803,standing-up
32791.0,2178,2309,1802,standing-up
32792.0,2180,2308,1795,standing-up
32793.0,2186,2311,1791,standing-up
32794.0,2184,2306,1800,standing-up
32795.0,2180,2306,1802,standing-up
32796.0,2177,2312,1810,standing-up
32797.0,2183,2309,1811,standing-up
32798.0,2183,2304,1807,standing-up
32799.0,2190,2302,1798,standing-up
32800.0,2187,2308,1790,standing-up
32801.0,2185,2303,1788,standing-up
32802.0,2182,2308,1799,standing-up
32803.0,2179,2308,1801,standing-up
32804.0,2180,2305,1799,standing-up
32805.0,2182,2305,1798,standing-up
32806.0,2173,2300,1803,standing-up
32807.0,2177,2305,1799,standing-up
32808.0,2182,2305,1798,standing-up
32809.0,2183,2302,1802,standing-up
32810.0,2176,2289,1794,standing-up
32811.0,2176,2290,1795,standing-up
32812.0,2181,2293,1797,standing-up
32813.0,2182,2295,1797,standing-up
32814.0,2184,2296,1799,standing-up
32815.0,2187,2300,1799,standing-up
32816.0,2186,2300,1799,standing-up
32817.0,2183,2303,1799,standing-up
32818.0,2182,2298,1801,standing-up
32819.0,2178,2307,1797,standing-up
32820.0,2181,2303,1796,standing-up
32821.0,2180,2303,1796,standing-up
32822.0,2183,2303,1801,standing-up
32823.0,2181,2303,1800,standing-up
32824.0,2186,2301,1793,standing-up
32825.0,2183,2300,1798,standing-up
32826.0,2184,2302,1799,standing-up
32827.0,2186,2307,1798,standing-up
32828.0,2179,2298,1797,standing-up
32829.0,2182,2303,1798,standing-up
32830.0,2182,2305,1806,standing-up
32831.0,2187,2303,1793,standing-up
32832.0,2183,2303,1791,standing-up
32833.0,2183,2305,1802,standing-up
32834.0,2182,2306,1802,standing-up
32835.0,2181,2305,1797,standing-up
32836.0,2184,2302,1800,standing-up
32837.0,2185,2307,1799,standing-up
32838.0,2181,2307,1794,standing-up
32839.0,2181,2308,1797,standing-up
32840.0,2177,2311,1804,standing-up
32841.0,2182,2308,1797,standing-up
32842.0,2182,2306,1803,standing-up
32843.0,2186,2306,1800,standing-up
