timestamp,accX,accY,accZ,class
80585.0,2082,2538,2060,walk-talk
80586.0,2082,2535,2058,walk-talk
80587.0,2087,2539,2057,walk-talk
80588.0,2083,2538,2055,walk-talk
80589.0,2077,2544,2061,walk-talk
80590.0,2080,2544,2063,walk-talk
80591.0,2073,2544,2057,walk-talk
80592.0,2078,2543,2064,walk-talk
80593.0,2080,2538,2061,walk-talk
80594.0,2086,2544,2058,walk-talk
80595.0,2081,2547,2060,walk-talk
80596.0,2082,2540,2059,walk-talk
80597.0,2086,2539,2058,walk-talk
80598.0,2084,2550,2062,walk-talk
80599.0,2075,2541,2063,walk-talk
80600.0,2073,2544,2067,walk-talk
80601.0,2074,2542,2058,walk-talk
80602.0,2072,2549,2065,walk-talk
80603.0,2083,2545,2062,walk-talk
80604.0,2075,2543,2054,walk-talk
80605.0,2084,2537,2059,walk-talk
80606.0,2078,2538,2065,walk-talk
80607.0,2078,2541,2067,walk-talk
80608.0,2082,2539,2064,walk-talk
80609.0,2087,2540,2059,walk-talk
80610.0,2083,2538,2054,walk-talk
80611.0,2082,2538,2058,walk-talk
80612.0,2076,2538,2062,walk-talk
80613.0,2082,2546,2065,walk-talk
80614.0,2084,2546,2061,walk-talk
80615.0,2081,2547,2055,walk-talk
80616.0,2080,2540,2057,walk-talk
80617.0,2084,2540,2056,walk-talk
80618.0,2088,2545,2059,walk-talk
80619.0,2083,2539,2059,walk-talk
80620.0,2085,2539,2057,walk-talk
80621.0,2085,2539,2060,walk-talk
80622.0,2083,2539,2062,walk-talk
80623.0,2079,2546,2061,walk-talk
80624.0,2086,2538,2055,walk-talk
80625.0,2084,2541,2059,walk-talk
80626.0,2080,2542,2058,walk-talk
80627.0,2087,2540,2055,walk-talk
80628.0,2081,2543,2065,walk-talk
80629.0,2080,2546,2056,walk-talk
80630.0,2083,2543,2062,walk-talk
80631.0,2083,2534,2055,walk-talk
80632.0,2087,2541,2046,walk-talk
80633.0,2081,2532,2057,walk-talk
80634.0,2077,2538,2062,walk-talk
80635.0,2081,2539,2065,walk-talk
80636.0,2076,2541,2059,walk-talk
80637.0,2070,2542,2058,walk-talk
80638.0,2081,2542,2060,walk-talk
80639.0,2075,2543,2054,walk-talk
80640.0,2081,2548,2054,walk-talk
80641.0,2085,2544,2051,walk-talk
80642.0,2076,2537,2054,walk-talk
80643.0,2081,2540,2050,walk-talk
80644.0,2085,2542,2059,walk-talk
80645.0,2082,2533,2059,walk-talk
80646.0,2077,2538,2053,walk-talk
80647.0,2074,2541,2053,walk-talk
80648.0,2077,2542,2054,walk-talk
80649.0,2083,2539,2046,walk-talk
80650.0,2077,2541,2051,walk-talk
80651.0,2084,2541,2062,walk-talk
80652.0,2083,2542,2060,walk-talk
80653.0,2078,2541,2057,walk-talk
80654.0,2082,2534,2046,walk-talk
80655.0,2081,2542,2050,walk-talk
80656.0,2080,2539,2052,walk-talk
80657.0,2082,2536,2059,walk-talk
80658.0,2080,2539,2055,walk-talk
80659.0,2079,2539,2050,walk-talk
80660.0,2085,2541,2059,walk-talk
80661.0,2083,2541,2059,walk-talk
80662.0,2084,2543,2053,walk-talk
