user-id,timestamp,accX,accY,accZ
20,58651932324000,0.84,5.05,8.54
20,58651982311000,0.93,5.13,8.47
20,58652032330000,0.69,4.94,8.43
20,58652082348000,0.65,5.01,8.62
20,58652132305000,0.93,5.01,8.54
20,58652182324000,0.72,5.05,8.5
20,58652232342000,0.69,5.09,8.66
20,58652282330000,0.57,5.24,8.73
20,58652332348000,0.61,5.18,8.62
20,58652382336000,1.04,5.37,8.39
20,58652432293000,1.23,5.24,8.39
20,58652482342000,1.08,5.13,8.35
20,58652532330000,1.23,5.24,8.28
20,58652582317000,0.95,5.24,8.62
20,58652632305000,0.76,5.22,8.62
20,58652682324000,1.12,5.33,8.43
20,58652732311000,1.31,5.33,8.28
20,58652782299000,1.46,5.33,8.24
20,58652832348000,1.33,5.28,8.31
20,58652882336000,1.14,5.18,8.5
20,58652932324000,1.08,5.09,8.54
20,58652982342000,0.84,5.05,8.58
20,58653032299000,1.04,5.05,8.5
20,58653082348000,0.95,5.18,8.66
20,58653150341000,0.65,5.18,8.54
20,58653202282000,0.76,5.01,8.69
20,58653252300000,0.8,4.94,8.66
20,58653252300000,0.8,4.94,8.66
20,58653312328000,0.84,4.9,8.66
20,58653362316000,0.5,4.9,8.73
20,58653412304000,0.15,4.9,8.81
20,58653462322000,0.08,4.82,8.92
20,58653512371000,0.27,4.79,8.77
20,58653562328000,0.46,4.82,8.85
20,58653612316000,0.46,4.9,8.77
20,58653662304000,0.42,4.9,8.69
20,58653712292000,0.5,4.9,8.73
20,58653762341000,0.61,4.75,8.66
20,58653812328000,0.38,4.9,8.77
20,58653862347000,0.31,4.9,8.62
20,58653912304000,0.53,4.9,8.69
20,58653962322000,0.5,4.94,8.73
20,58654012249000,0.5,4.94,8.62
20,58654062328000,0.65,4.99,8.69
20,58654112347000,0.5,4.86,8.66
20,58654162335000,0.31,4.9,8.69
20,58654212292000,0.57,4.86,8.69
20,58654262341000,0.46,4.82,8.77
20,58654312298000,0.42,4.86,8.77
20,58654362347000,0.5,4.79,8.73
20,58654412335000,0.42,4.75,8.77
20,58654462353000,0.38,4.71,8.81
20,58654512341000,0.34,4.79,8.85
20,58654562359000,0.31,4.82,8.81
20,58654612316000,0.5,4.82,8.77
20,58654662335000,0.5,4.75,8.81
20,58654712322000,0.34,4.67,8.85
20,58654762341000,0.38,4.63,8.89
20,58654812328000,0.19,4.75,8.77
20,58654862316000,0.38,4.75,8.73
20,58654912335000,0.46,4.79,8.85
20,58654962322000,0.38,4.79,8.73
20,58655012280000,0.57,4.82,8.77
20,58655062298000,0.61,4.82,8.69
20,58655112347000,0.42,4.75,8.77
20,58655162335000,0.27,4.71,8.85
20,58655212322000,0.31,4.71,8.89
20,58655262310000,0.38,4.79,8.77
20,58655312328000,0.46,4.82,8.81
20,58655362316000,0.5,4.82,8.73
20,58655412335000,0.57,4.75,8.77
20,58655462322000,0.42,4.82,8.81
20,58655512310000,0.46,4.82,8.81
20,58655562328000,0.61,4.86,8.66
20,58655612316000,0.69,4.86,8.62
20,58655662335000,0.61,4.67,8.69
20,58655712292000,0.57,4.75,8.69
20,58655762341000,0.5,4.79,8.77
20,58655812298000,0.53,4.86,8.77
20,58655862347000,0.5,4.79,8.77
20,58655912304000,0.53,4.75,8.77
20,58655962322000,0.42,4.67,8.81
20,58656012280000,0.42,4.63,8.81
20,58656122112000,0.53,4.9,8.81
20,58656122112000,0.53,4.9,8.81
20,58656172283000,0.57,4.86,8.73
20,58656222393000,0.53,4.86,8.81
20,58656272381000,0.42,4.82,8.73
20,58656322338000,0.53,4.75,8.77
20,58656382305000,0.5,4.56,8.81
20,58656432293000,0.69,4.67,8.81
20,58656482342000,0.61,4.82,8.77
20,58656532330000,0.65,5.01,8.62
20,58656582348000,0.72,5.13,8.54
20,58656632305000,0.95,5.13,8.5
20,58656682324000,0.93,5.05,8.58
20,58656732311000,0.65,5.05,8.66
20,58656782330000,0.42,4.99,8.77
20,58656832378000,0.5,5.05,8.73
20,58656882336000,0.57,5.01,8.62
20,58656932324000,0.61,5.05,8.66
20,58656982342000,0.65,5.01,8.58
20,58657032330000,0.61,4.94,8.69
20,58657082317000,0.61,4.99,8.73
20,58657132336000,0.53,4.94,8.66
20,58657182324000,0.57,4.99,8.62
20,58657232311000,0.57,4.99,8.69
20,58657282299000,0.5,4.94,8.69
20,58657332348000,0.46,4.9,8.77
20,58657382305000,0.46,4.86,8.73
20,58657432293000,0.38,4.86,8.81
20,58657432293000,0.38,4.86,8.81
20,58657532330000,0.42,4.86,8.77
20,58657582348000,0.46,4.82,8.73
20,58657632305000,0.53,4.9,8.73
20,58657682324000,0.42,4.86,8.81
20,58657732311000,0.46,4.86,8.69
20,58657782330000,0.42,4.9,8.77
20,58657832317000,0.38,4.86,8.77
20,58657882336000,0.42,4.9,8.73
20,58657932293000,0.38,4.9,8.85
20,58657982342000,0.5,4.86,8.69
20,58658032299000,0.65,4.9,8.69
20,58658082348000,0.46,4.86,8.66
20,58658132336000,0.23,4.82,8.81
20,58658182263000,0.23,4.82,8.85
20,58658232281000,0.23,4.82,8.77
20,58658282330000,0.38,4.86,8.73
20,58658332348000,0.46,4.79,8.77
20,58658382305000,0.57,4.79,8.73
20,58658432293000,0.57,4.82,8.73
20,58658482311000,0.5,4.82,8.77
20,58658532299000,0.5,4.9,8.77
20,58658582348000,0.72,5.05,8.66
20,58658632336000,0.8,5.18,8.58
20,58658682324000,0.93,5.24,8.39
20,58658732342000,0.99,5.41,8.43
20,58658782330000,1.04,5.43,8.35
20,58658832348000,1.23,5.6,8.24
20,58658882336000,1.38,5.67,8.2
20,58658932324000,1.5,5.63,8.12
20,58658982342000,1.54,5.83,8.05
20,58659032330000,1.57,5.9,7.93
20,58659082348000,1.88,5.9,7.74
20,58659132305000,1.88,5.94,7.89
20,58659182354000,1.65,5.79,7.86
20,58659232311000,1.65,5.86,7.97
20,58659282299000,1.65,5.86,8.01
20,58659332348000,1.54,5.9,7.97
