timestamp,x-axis,y-axis,z-axis
-0.000825,0.15,0.53,-0.03
-0.0008422833333333335,0.33,0.52,0.28
-0.0008244833333333335,0.17,0.46,-0.01
-0.0008422833333333335,0.21,0.25,-0.04
-0.0008249833333333333,0.05,0.28,-0.06
-0.0008534833333333334,0.02,0.38,-0.06
-0.0008148166666666667,0.06,0.47,0.05
-0.0008280500000000001,0.41,0.37,0.05
-0.0008366833333333333,0.63,0.77,0.28
-0.0008412666666666667,0.40,0.82,0.21
-0.0008255000000000001,0.12,0.43,0.16
-0.0008417833333333334,0.22,0.38,0.12
-0.0008249833333333333,0.01,0.26,0.04
-0.0008422833333333335,0.06,0.14,0.03
-0.0008255000000000001,0.15,0.28,0.02
-0.0008280500000000001,0.09,0.48,0.26
-0.0008361833333333334,0.18,0.29,0.08
-0.0008422833333333335,0.25,0.36,0.07
-0.0008244833333333335,0.26,0.43,0.18
-0.0008412666666666667,0.25,0.70,0.24
-0.0008255000000000001,0.23,0.62,-0.06
-0.0008422833333333335,0.44,0.69,-0.06
-0.000825,0.04,0.69,-0.17
-0.0008417666666666667,0.20,0.51,0.05
-0.000825,0.16,0.36,-0.03
-0.0008417666666666667,0.17,0.38,0.05
-0.0016647333333333334,0.24,0.38,0.09
-0.0008244833333333335,0.09,0.26,-0.05
-0.0008412666666666667,0.27,0.39,-0.07
-0.0008331333333333334,0.33,0.36,-0.03
-0.0008326166666666666,0.29,0.40,0.09
-0.0008255166666666667,0.56,0.76,0.23
-0.00084075,0.34,0.80,0.17
-0.0008255000000000001,0.20,0.48,0.15
-0.0008392333333333334,0.09,0.35,0.14
-0.0008275333333333334,0.04,0.35,0.05
-0.0008387333333333333,0.03,0.20,0.01
-0.0008275333333333334,0.16,0.27,-0.00
-0.0008382166666666668,0.21,0.45,0.16
-0.0008285500000000001,0.27,0.35,0.18
-0.0008372000000000001,0.24,0.29,0.05
-0.00084075,0.23,0.44,0.19
-0.0008244833333333335,0.33,0.54,0.17
-0.0008428,0.22,0.68,-0.12
-0.0008239666666666667,0.38,0.82,0.08
-0.0008417833333333334,0.06,0.60,-0.23
-0.0008244833333333335,0.22,0.55,-0.04
-0.0008428,0.18,0.36,-0.02
-0.0008249833333333333,0.12,0.42,0.01
-0.0008417833333333334,0.24,0.47,0.03
-0.0008249833333333333,0.29,0.40,0.03
-0.0008417833333333334,0.25,0.35,0.02
-0.0008244833333333335,0.20,0.26,-0.05
-0.0008422833333333335,0.13,0.30,-0.08
-0.000825,0.18,0.51,-0.01
-0.0008427833333333333,0.22,0.29,0.01
-0.000825,0.37,0.41,0.15
-0.0008412666666666667,0.51,0.80,0.24
-0.0008255000000000001,0.31,0.74,0.18
-0.0008285500000000001,0.13,0.35,0.11
-0.0008366833333333333,0.21,0.40,0.16
-0.0008417833333333334,0.02,0.32,0.05
-0.0008255000000000001,0.08,0.19,-0.01
-0.0008412666666666667,0.07,0.39,0.16
-0.0009887666666666668,0.18,0.43,0.24
-0.0008341500000000001,0.28,0.27,0.13
-0.0008321166666666668,0.36,0.32,0.12
-0.0008331333333333334,0.36,0.34,0.15
-0.0008331166666666667,0.18,0.76,-0.06
-0.00083365,0.22,0.75,0.12
-0.0008331166666666667,0.19,0.69,-0.17
-0.00083365,0.19,0.65,-0.17
-0.0008326166666666666,0.28,0.40,0.02
-0.0008341500000000001,0.11,0.39,0.04
-0.0008331333333333334,0.12,0.34,0.02
-0.0008336333333333333,0.22,0.32,0.06
-0.0008336333333333333,0.20,0.33,0.03
-0.0008321166666666668,0.10,0.15,-0.09
-0.0008336333333333333,0.34,0.40,-0.00
-0.00083365,0.34,0.31,0.15
-0.0008331166666666667,0.49,0.55,0.18
-0.0008346666666666668,0.37,0.89,-0.05
-0.0016627,0.32,0.79,0.00
0.0,0.09,0.58,0.02
-0.0008356666666666667,0.09,0.58,0.02
-0.0008336333333333333,-0.11,0.37,0.13
-0.00083365,0.11,0.41,0.26
-0.0008331333333333334,0.08,0.31,0.15
-0.0008326166666666666,0.42,0.36,-0.09
-0.0008341500000000001,0.75,0.36,-0.20
-0.0008326166666666666,0.27,0.43,0.14
-0.00083465,-0.04,0.72,0.19
-0.0008326333333333334,0.08,0.59,-0.01
-0.0008331166666666667,0.05,0.36,-0.19
-0.00083365,0.12,0.53,-0.15
-0.0008331166666666667,0.16,0.47,-0.07
-0.00083365,0.21,0.44,0.14
-0.0008331333333333334,0.12,0.47,-0.06
-0.0008341333333333334,0.12,0.47,-0.09
-0.0008326333333333334,0.14,0.46,-0.05
-0.0008341333333333334,0.19,0.47,-0.07
-0.0008326333333333334,0.21,0.48,-0.06
-0.0008336333333333333,0.23,0.47,-0.04
-0.0008326166666666666,0.31,0.60,-0.11
-0.00083365,0.41,0.54,0.06
-0.0008326166666666666,0.28,0.50,0.11
-0.00083465,0.00,0.66,-0.11
-0.0008331333333333334,0.08,0.57,-0.12
-0.0008321166666666668,0.28,0.48,-0.05
-0.0008341500000000001,0.21,0.52,-0.08
-0.0008326166666666666,0.06,0.43,-0.04
-0.0008341500000000001,0.07,0.35,-0.01
-0.0008331333333333334,0.03,0.29,0.04
-0.0008331166666666667,0.13,0.26,0.09
-0.0008331333333333334,0.34,0.48,0.21
-0.0008336333333333333,0.59,0.68,0.18
-0.0008331333333333334,0.30,0.22,0.01
-0.00083365,0.05,0.57,-0.15
-0.0008331166666666667,0.15,0.76,0.14
-0.00083365,-0.02,0.29,-0.00
-0.0008331166666666667,0.17,0.50,-0.23
-0.00083365,0.19,0.49,-0.08
-0.0008326166666666666,0.21,0.42,0.15
-0.0008341500000000001,0.15,0.48,-0.10
-0.0008331333333333334,0.21,0.46,0.00
-0.0008326166666666666,0.26,0.41,0.07
-0.0008341500000000001,0.26,0.32,0.09
-0.0008331333333333334,0.04,0.27,-0.03
-0.0008336333333333333,0.07,0.36,-0.12
-0.0008331333333333334,0.17,0.33,-0.01
-0.00083465,0.27,0.44,0.13
-0.0008321166666666668,0.50,0.41,0.00
-0.0008336333333333333,0.55,0.85,0.29
-0.0008326166666666666,0.16,0.84,0.29
-0.0008341500000000001,0.33,0.35,0.13
-0.0008321166666666668,0.05,0.33,0.08
-0.00083465,-0.06,0.28,-0.03
-0.0008326333333333334,0.06,0.12,-0.04
